N	3gram	Tiupa_Hudo	RusskieA
1	в том что	15	49
2	состоит в том	3	29
3	и т д	5	21
4	тем не менее	6	14
5	в xix в	2	13
6	о том что	14	10
7	том что в	4	9
8	в данном случае	3	8
9	для того чтобы	2	8
10	подобно тому как	4	8
11	в это время	2	6
12	не может быть	5	6
13	так же как	2	6
14	в связи с	3	5
15	к тому что	8	5
16	можно было бы	5	4
17	же как и	2	3
18	по отношению к	15	3
19	с точки зрения	5	3
20	до сих пор	3	3
21	все же не	2	3
22	на то что	2	3
23	в этом и	2	2
24	мы уже знаем	2	2
25	в этом отношении	4	2
26	о том как	4	2
27	но тем не	2	2
28	как и в	5	2
29	ту или иную	2	2
30	не только в	4	2
31	и в этом	3	2
32	с одной стороны	4	2
33	пока еще не	2	2
34	и т п	10	2
35	в этой связи	5	2
36	но все же	2	2
