N	2gram	Tiupa_Anal	Poddanst
1	не только	40	17
2	и в	36	14
3	и не	14	12
4	в этом	19	10
5	в отношении	2	10
6	но в	8	9
7	то же	7	9
8	в том	16	9
9	в качестве	22	9
10	н и	2	8
11	в пределах	5	8
12	в то	8	7
13	только в	9	7
14	же время	7	7
15	но и	26	6
16	было бы	6	6
17	в ней	2	6
18	с другой	10	5
19	не в	9	5
20	о в	2	5
21	может быть	19	5
22	по себе	6	4
23	что в	15	4
24	если бы	2	4
25	л и	2	4
26	на пути	2	4
27	и е	3	4
28	и потому	3	4
29	в своем	7	4
30	том что	19	4
31	а также	5	4
32	а л	2	4
33	в русской	9	4
34	и к	7	4
35	как бы	14	4
36	и если	2	4
37	то что	5	4
38	не может	3	4
39	а в	17	4
40	же в	5	4
41	что мы	2	3
42	и как	5	3
43	с тем	2	3
44	в сравнении	2	3
45	но не	13	3
46	тем самым	8	3
47	сравнении с	2	3
48	это не	4	3
49	т е	2	3
50	с точки	2	3
51	сводится к	5	3
52	столь же	7	3
53	мы не	4	3
54	я и	6	3
55	в себе	7	3
56	точки зрения	3	3
57	одной стороны	3	3
58	в нем	3	3
59	между тем	8	3
60	и без	3	3
61	могут быть	4	3
62	прежде всего	7	3
63	о н	2	3
64	хотя и	4	3
65	тот же	3	3
66	с одной	3	3
67	с ними	2	3
68	не о	2	2
69	да и	3	2
70	в них	4	2
71	в сочетании	4	2
72	в жизни	2	2
73	в мире	17	2
74	если в	3	2
75	одна из	6	2
76	есть не	2	2
77	отношения к	6	2
78	о т	2	2
79	в эту	2	2
80	а ц	2	2
81	более чем	2	2
82	и тем	3	2
83	в его	12	2
84	с этим	4	2
85	и вот	2	2
86	в общем	4	2
87	не менее	9	2
88	говорить о	6	2
89	церкви и	2	2
90	время в	2	2
91	о и	2	2
92	со стороны	12	2
93	осуществляется в	2	2
94	именно в	4	2
95	и з	2	2
96	в начале	10	2
97	тем более	3	2
98	все это	5	2
99	в частности	19	2
100	а не	16	2
101	не было	3	2
102	ц и	2	2
103	мысль о	3	2
104	одних и	2	2
105	например в	2	2
106	не будем	2	2
107	полной мере	3	2
108	во всех	4	2
109	в ее	5	2
110	в полной	3	2
111	как раз	8	2
112	есть в	2	2
113	к чему	2	2
114	в значительной	3	2
115	того что	4	2
116	в силу	2	2
117	из них	4	2
118	не столько	4	2
119	отнюдь не	7	2
