N	3gram	Losev_Vesc	Istorich
1	и т д	36	142
2	с другой стороны	3	46
3	мы видим что	2	30
4	с одной стороны	3	28
5	так же как	2	27
6	в том что	9	25
7	не может быть	22	24
8	тем не менее	11	23
9	вместе с тем	3	23
10	но все же	2	23
11	о том что	4	22
12	не только в	5	19
13	мы видели что	3	16
14	в данном случае	2	15
15	о том как	4	15
16	на то что	7	14
17	в то время	4	13
18	то время как	4	13
19	что иное как	12	11
20	т е в	7	11
21	не что иное	12	11
22	можно было бы	3	10
23	более или менее	4	9
24	друг с другом	2	9
25	подобно тому как	5	8
26	и то что	5	8
27	во всяком случае	2	7
28	этой точки зрения	3	6
29	с этой точки	3	6
30	все же не	3	6
31	мы не можем	3	6
32	это значит что	25	6
33	для того чтобы	2	5
34	есть не что	8	5
35	то что он	2	5
36	т д и	11	5
37	мы еще не	2	5
38	в том чтобы	2	5
39	содержит в себе	11	4
40	то это значит	3	4
41	это и есть	4	4
42	можно сказать что	3	4
43	с точки зрения	6	4
44	сами по себе	3	4
45	и тем не	5	4
46	вопрос о том	2	4
47	так или иначе	5	4
48	только то что	3	4
49	все то что	2	3
50	и то же	5	3
51	бы то ни	12	3
52	а так как	2	3
53	только тогда когда	2	3
54	то ни было	12	3
55	она может быть	2	3
56	не только не	4	3
57	и что они	3	3
58	это так то	2	3
59	дело в том	4	3
60	и не только	6	3
61	что мы имеем	2	3
62	руки и ноги	2	3
63	если это так	2	3
64	к тому что	2	3
65	не может считаться	2	3
66	само по себе	4	3
67	по сравнению с	7	3
68	потому что я	2	3
69	то и другое	6	2
70	а не только	2	2
71	но уже сейчас	2	2
72	в самом деле	7	2
73	сам по себе	4	2
74	т е не	5	2
75	она не может	3	2
76	а не в	2	2
77	но если это	3	2
78	хотя бы в	2	2
79	в этом и	2	2
80	сама по себе	7	2
81	то ясно что	2	2
82	он ничего не	2	2
83	не потому что	5	2
84	т е если	2	2
85	не говорит о	2	2
86	т е на	2	2
87	уже не может	3	2
88	но в чем	2	2
89	из того что	3	2
90	не было ни	2	2
91	том что он	2	2
92	указывает на то	3	2
93	одно и то	5	2
94	но то что	3	2
95	может быть только	6	2
96	и таким образом	2	2
97	в свою очередь	5	2
98	мы имеем дело	2	2
99	равно как и	4	2
