N	3gram	Losev_Prob	Hudozhes
1	в том что	7	8
2	в то же	4	7
3	с другой стороны	7	6
4	более или менее	7	6
5	для того чтобы	9	5
6	той или иной	5	5
7	так или иначе	7	4
8	того или иного	6	4
9	не может быть	5	4
10	тот или иной	3	3
11	с точки зрения	3	3
12	с одной стороны	4	3
13	в том числе	2	3
14	тем не менее	25	3
15	подобно тому как	2	3
16	в этом смысле	8	3
17	в связи с	7	3
18	можно сказать что	6	3
19	и того же	2	3
20	отношение знака к	4	3
21	и в самом	2	3
22	одного и того	2	3
23	бы то ни	2	2
24	в таком случае	14	2
25	том числе и	2	2
26	в самом деле	4	2
27	может быть и	5	2
28	тех или иных	2	2
29	сама по себе	6	2
