N	2gram	Losev_Vesc	NovoeSre
1	а не	34	17
2	и в	44	16
3	не может	44	16
4	во имя	3	15
5	совсем не	2	12
6	и не	57	11
7	и есть	40	10
8	истории и	2	9
9	что в	11	9
10	жизни и	6	8
11	как не	2	8
12	в том	15	8
13	он не	4	8
14	не будет	13	7
15	может быть	37	7
16	как и	15	7
17	в этом	17	7
18	это есть	8	7
19	никогда не	5	6
20	ни в	11	6
21	не в	14	6
22	но это	14	6
23	с его	2	6
24	не только	48	5
25	в жизни	5	5
26	должен быть	5	5
27	все это	7	5
28	в нем	6	5
29	с ее	10	5
30	в ней	14	5
31	должно быть	8	4
32	и для	13	4
33	есть лишь	2	4
34	не имеет	2	4
35	прежде всего	17	4
36	не менее	11	4
37	не было	4	4
38	и потому	8	4
39	и мы	5	4
40	перестает быть	3	4
41	то что	47	4
42	о том	11	4
43	это не	9	4
44	потому что	25	4
45	и все	6	4
46	быть может	3	4
47	значит что	32	4
48	тому как	5	3
49	но и	19	3
50	подобно тому	5	3
51	с другой	8	3
52	не значит	11	3
53	в ее	8	3
54	она не	9	3
55	к тому	3	3
56	к ее	3	3
57	в россии	2	3
58	и пр	10	3
59	что такое	20	3
60	жизни в	3	3
61	в своей	6	3
62	еще не	12	3
63	в истории	3	3
64	человека и	3	3
65	должна быть	8	3
66	как в	3	3
67	конечно не	2	3
68	не есть	79	3
69	сказать что	21	3
70	во всех	5	3
71	вопрос о	6	3
72	это было	2	3
73	не существует	4	3
74	к реальному	2	3
75	наряду с	2	3
76	в основе	4	3
77	с тем	8	3
78	в одну	2	2
79	время как	4	2
80	в себе	23	2
81	что она	23	2
82	будет уже	3	2
83	как будто	2	2
84	и с	11	2
85	одна из	6	2
86	том чтобы	2	2
87	для этого	5	2
88	себя в	11	2
89	но не	9	2
90	нет и	4	2
91	что все	2	2
92	и от	4	2
93	того чтобы	4	2
94	и это	17	2
95	хотя бы	9	2
96	когда мы	6	2
97	я называю	4	2
98	же как	3	2
99	а в	6	2
100	но в	8	2
101	том что	13	2
102	не к	3	2
103	и на	2	2
104	с этим	4	2
105	бытия в	2	2
106	есть в	4	2
107	и что	22	2
108	ли это	9	2
109	все эти	5	2
110	я уже	2	2
111	мы не	8	2
112	в смысле	22	2
113	вот почему	3	2
114	можно было	6	2
115	это и	12	2
116	у него	3	2
117	равно как	4	2
118	от всякого	4	2
119	уже не	15	2
120	по существу	3	2
121	как это	4	2
122	другой стороны	3	2
123	так же	4	2
124	так и	4	2
125	ни к	3	2
126	нем нет	2	2
127	силы и	2	2
128	но для	2	2
129	одной стороны	3	2
130	но она	3	2
131	в то	11	2
132	хотя и	5	2
133	мысли и	5	2
134	мы говорим	6	2
135	этом смысле	2	2
136	с одной	3	2
137	и формы	2	2
138	но я	2	2
139	и даже	12	2
140	ведь и	6	2
141	вместе с	4	2
142	я не	7	2
