N	2gram	Bakhtin_Fr	VrazhdaK
1	в году	11	18
2	не только	21	9
3	и что	2	8
4	в этом	28	8
5	и в	68	8
6	что в	14	7
7	но и	17	7
8	и все	16	7
9	то что	11	7
10	но в	20	6
11	как и	17	6
12	в котором	3	6
13	в начале	5	6
14	в нем	12	6
15	и с	15	6
16	о нем	3	6
17	все же	6	6
18	в романе	24	6
19	и даже	7	6
20	и не	25	5
21	не было	7	5
22	об этом	3	5
23	то же	14	5
24	в то	14	5
25	же время	13	5
26	у него	14	5
27	между тем	3	5
28	уже в	4	4
29	в своих	7	4
30	это не	5	4
31	в виду	8	4
32	все это	6	4
33	при этом	5	4
34	о том	5	4
35	в ней	6	4
36	как бы	7	4
37	так же	3	4
38	что он	7	4
39	в истории	5	4
40	с ним	3	4
41	и детей	2	4
42	может быть	10	4
43	и у	2	3
44	в том	12	3
45	в чем	3	3
46	одним из	2	3
47	его в	7	3
48	в париже	5	3
49	далеко не	3	3
50	что у	2	3
51	и во	6	3
52	в своем	11	3
53	том что	6	3
54	в его	21	3
55	в связи	7	3
56	и о	5	3
57	раз в	4	3
58	и его	26	3
59	и как	5	3
60	в этот	2	3
61	он был	5	3
62	он не	11	3
63	связи с	8	3
64	к этому	6	3
65	но он	9	3
66	в конце	8	3
67	с его	6	3
68	тем что	6	3
69	никогда не	2	2
70	с нею	2	2
71	и то	2	2
72	в них	19	2
73	уже не	2	2
74	в мире	6	2
75	одна из	3	2
76	и т.п	17	2
77	начиная с	3	2
78	в эти	2	2
79	в той	7	2
80	для него	7	2
81	и это	5	2
82	с точки	4	2
83	мы знаем	3	2
84	а в	3	2
85	а также	6	2
86	в этой	15	2
87	том же	4	2
88	в нашей	2	2
89	в своей	11	2
90	как раз	8	2
91	же в	2	2
92	но как	5	2
93	и он	2	2
94	в себе	5	2
95	еще не	3	2
96	точки зрения	8	2
97	о чем	3	2
98	это в	4	2
99	после этого	2	2
100	таким образом	22	2
101	и ее	3	2
102	во время	17	2
103	историю о	2	2
104	что я	2	2
105	отношения к	2	2
106	в свою	3	2
107	так в	4	2
108	их в	7	2
109	рядом с	5	2
110	в эту	7	2
111	не может	5	2
112	и образы	3	2
113	из них	8	2
114	в это	2	2
115	не менее	2	2
116	его на	2	2
117	там же	2	2
118	но это	5	2
119	на основе	3	2
120	этот момент	2	2
121	вместе с	4	2
122	об их	2	2
123	и далее	3	2
124	отношение к	11	2
