N	2gram	Tiupa_Anal	PoTuStor
1	может быть	33	17
2	и в	30	16
3	в этом	31	9
4	таким образом	5	9
5	прежде всего	8	9
6	и с	2	8
7	в психике	2	8
8	точки зрения	10	8
9	совершенно не	2	8
10	не может	26	8
11	и его	9	8
12	сказать что	2	7
13	не только	30	7
14	с его	3	7
15	с точки	6	6
16	самом деле	3	6
17	я и	8	6
18	и к	5	6
19	для него	5	6
20	при этом	20	6
21	ни в	5	5
22	все эти	3	5
23	как бы	15	5
24	только для	3	5
25	нуждается в	9	5
26	еще не	5	5
27	в чем	2	5
28	отношение к	2	5
29	как мы	3	4
30	и на	10	4
31	все это	2	4
32	на самом	2	4
33	его в	2	4
34	в его	15	4
35	но и	29	4
36	и не	33	4
37	и все	5	4
38	но в	11	4
39	в этой	12	4
40	но мы	2	4
41	с ее	2	4
42	и наконец	2	4
43	так как	3	4
44	и их	2	4
45	все что	3	4
46	только в	8	4
47	в нем	3	4
48	хотя бы	4	4
49	с ними	2	4
50	можно сказать	6	4
51	так и	16	4
52	в один	4	4
53	отнюдь не	22	4
54	и даже	10	4
55	художественного творчества	2	4
56	едва ли	4	3
57	что в	7	3
58	даже не	2	3
59	и как	6	3
60	и потому	2	3
61	на этой	2	3
62	а в	11	3
63	в том	36	3
64	с другими	4	3
65	в области	4	3
66	те же	3	3
67	только на	3	3
68	крайней мере	4	3
69	и есть	3	3
70	в этих	3	3
71	в конечном	6	3
72	отношения к	4	3
73	с их	2	3
74	как это	5	3
75	то что	11	3
76	реальности и	2	3
77	во всех	5	3
78	по крайней	4	3
79	могут быть	12	3
80	вместе с	6	3
81	в одном	3	3
82	этом смысле	3	3
83	на этом	4	3
84	том что	21	3
85	в основе	6	3
86	один из	4	2
87	никогда не	4	2
88	что мы	3	2
89	может иметь	2	2
90	для этого	2	2
91	и для	3	2
92	что не	3	2
93	нашего времени	3	2
94	и по	2	2
95	вообще не	2	2
96	что и	5	2
97	не менее	5	2
98	ее в	2	2
99	было бы	4	2
100	не могут	3	2
101	сводится к	6	2
102	но отнюдь	2	2
103	о том	11	2
104	то же	12	2
105	как и	23	2
106	что он	3	2
107	говорить о	3	2
108	того же	7	2
109	в своей	7	2
110	себя и	5	2
111	ни было	4	2
112	из этих	2	2
113	в самом	12	2
114	в начале	3	2
115	с этой	2	2
116	в свое	3	2
117	в частности	32	2
118	он не	4	2
119	у него	5	2
120	при всей	4	2
121	и о	3	2
122	не есть	8	2
123	к другим	2	2
124	за пределы	6	2
125	к этому	2	2
126	что на	3	2
127	конечном счете	5	2
128	нет и	2	2
129	не знает	4	2
130	в пределах	11	2
131	и т.п	13	2
132	является по	2	2
133	быть может	2	2
134	есть в	4	2
135	мы уже	2	2
136	не будет	3	2
137	на основе	3	2
138	с ним	6	2
139	на протяжении	2	2
140	между собой	2	2
