N	3gram	Bakhtin_fo	Analitik
1	в том что	4	25
2	не может быть	4	19
3	по отношению к	3	18
4	в то же	10	16
5	о том что	2	15
6	той или иной	3	14
7	в данном случае	2	14
8	то же время	13	14
9	в отличие от	3	14
10	к тому же	2	13
11	с одной стороны	3	9
12	в этом отношении	5	8
13	не только в	6	8
14	как и в	3	8
15	с точки зрения	9	8
16	одного и того	6	6
17	и того же	6	6
18	по природе своей	2	6
19	но и в	5	5
20	в этом ряду	2	5
21	в той или	2	5
22	для того чтобы	11	4
23	в соответствии с	2	4
24	и в этом	2	4
25	то есть в	2	3
26	и т п	18	3
27	как раз и	2	3
28	и как бы	2	3
29	в том числе	7	3
30	в связи с	12	3
31	сами по себе	2	3
32	дело в том	2	3
33	одно и то	4	2
34	как если бы	2	2
35	и то же	4	2
36	с самим собою	4	2
37	но в то	2	2
38	прежде всего в	3	2
39	с самим собой	2	2
40	со всех сторон	2	2
41	друг с другом	5	2
42	одних и тех	2	2
43	и тех же	2	2
44	тем более что	2	2
45	до сих пор	4	2
46	в борьбе с	2	2
47	и прежде всего	4	2
48	и в сущности	3	2
49	в широком смысле	3	2
