N	2gram	Propp_Isto	TeoriaLi
1	в качестве	5	33
2	не только	30	24
3	и в	41	24
4	в частности	3	23
5	может быть	19	22
6	в том	14	20
7	при этом	7	20
8	тогда как	4	18
9	и не	12	17
10	а в	12	15
11	но и	20	14
12	так и	8	14
13	а не	9	14
14	в себе	3	14
15	но не	8	13
16	представляет собой	8	13
17	в этом	19	12
18	то же	12	12
19	но в	7	12
20	сводится к	3	12
21	в его	4	12
22	том что	18	11
23	точки зрения	4	11
24	своего рода	7	11
25	и его	11	11
26	по отношению	3	10
27	отношению к	3	10
28	как это	6	10
29	что в	21	10
30	в данном	8	9
31	не в	12	9
32	с другой	20	9
33	в то	6	9
34	только в	10	9
35	не может	19	8
36	как бы	8	8
37	в своей	4	8
38	в своем	3	7
39	а также	2	7
40	мы имеем	27	7
41	отношение к	6	7
42	в области	3	7
43	на смену	2	7
44	в самом	2	7
45	однако в	2	7
46	не столько	4	7
47	в нем	12	7
48	тем самым	3	6
49	другой стороны	17	6
50	со стороны	3	6
51	не менее	5	6
52	героя и	5	6
53	еще не	13	6
54	то что	12	6
55	или менее	3	6
56	как и	8	6
57	более или	3	6
58	в русской	8	6
59	или иначе	2	6
60	уже не	8	6
61	в ее	3	6
62	в основе	2	6
63	с его	4	6
64	данном случае	7	5
65	как в	17	5
66	ни в	4	5
67	и тем	4	5
68	для того	2	5
69	и о	2	5
70	не случайно	3	5
71	так или	2	5
72	могут быть	3	5
73	того что	7	5
74	он не	8	5
75	можно сказать	3	5
76	никогда не	16	4
77	сказать что	5	4
78	его в	7	4
79	это не	14	4
80	так в	10	4
81	и ее	6	4
82	в форме	4	4
83	в другом	2	4
84	в силу	2	4
85	в их	4	4
86	в этих	16	4
87	что он	29	4
88	в литературе	2	4
89	далеко не	3	4
90	к тому	4	4
91	того же	3	4
92	мира и	2	4
93	в целом	2	4
94	со своей	2	4
95	и что	15	4
96	или даже	3	4
97	и сам	3	4
98	отношения к	2	4
99	не знает	2	4
100	хотя и	3	4
101	но он	4	4
102	даже в	2	3
103	и то	3	3
104	перед нами	4	3
105	герой не	4	3
106	во всех	8	3
107	из этих	6	3
108	одной стороны	12	3
109	о чем	2	3
110	в которой	2	3
111	не все	4	3
112	в иной	3	3
113	тем не	4	3
114	и как	3	3
115	если бы	3	3
116	или в	11	3
117	с этой	7	3
118	а именно	12	3
119	и вот	2	3
120	никто не	2	3
121	с одной	12	3
122	и др	4	3
123	а с	3	3
124	не с	2	3
125	в жизни	2	3
126	их в	3	3
127	именно в	2	3
128	потому что	13	3
129	имеем в	8	3
130	прежде всего	6	3
131	не будет	6	3
132	а на	2	3
133	все эти	8	3
134	о ней	2	3
135	и по	7	3
136	связи с	3	3
137	в связи	3	3
138	таким образом	15	3
139	например в	6	3
140	в этой	2	3
141	в одном	2	3
142	вовсе не	6	3
143	вслед за	2	3
144	между двумя	2	3
145	но она	2	2
146	не от	3	2
147	не могут	3	2
148	право на	5	2
149	восходит к	3	2
150	так же	6	2
151	если в	3	2
152	но как	4	2
153	тем более	2	2
154	дело не	5	2
155	не всегда	6	2
156	что она	6	2
157	отличается от	4	2
158	об этом	7	2
159	и даже	3	2
160	в конце	4	2
161	и здесь	13	2
162	превращается в	10	2
163	способность к	2	2
164	от своего	2	2
165	у нас	4	2
166	к своему	4	2
167	только на	2	2
168	и другие	10	2
169	у него	16	2
170	на вопрос	5	2
171	в чем	5	2
172	вместе с	17	2
173	в одно	2	2
174	не могло	2	2
175	на котором	3	2
176	здесь мы	11	2
177	одной из	4	2
178	рассказ о	2	2
179	вытекает из	2	2
180	к нему	8	2
181	как такой	2	2
182	в сказании	3	2
183	тот кто	5	2
184	и это	9	2
185	ее в	3	2
186	тому что	2	2
187	могло быть	2	2
188	от всех	2	2
189	о том	15	2
190	что такое	2	2
191	не вполне	5	2
192	мы легко	2	2
193	образом и	3	2
194	оно не	2	2
195	должен быть	2	2
196	и на	12	2
197	вступает в	4	2
198	на себя	3	2
199	этой точки	3	2
200	однако все	2	2
201	из которых	3	2
202	он и	3	2
203	один из	7	2
204	в них	4	2
205	по себе	2	2
206	подобных случаях	2	2
207	здесь не	4	2
208	что и	13	2
209	перед ним	2	2
210	и больше	3	2
211	к другому	2	2
212	с ними	2	2
213	и наоборот	2	2
214	не просто	3	2
215	и некоторые	2	2
216	все это	9	2
217	только о	2	2
218	что они	5	2
219	как будто	4	2
220	обращается к	4	2
221	могут служить	2	2
