N	3gram	Tiupa_Disk	Narrotol
1	в том что	18	18
2	в данном случае	6	17
3	не только в	2	13
4	по отношению к	13	11
5	в отличие от	12	11
6	о том что	8	9
7	к тому же	4	9
8	не сводится к	4	8
9	в то же	7	8
10	той или иной	6	8
11	в этом отношении	4	8
12	в соответствии с	4	8
13	то же время	9	8
14	не может быть	5	8
15	можно сказать что	3	6
16	с одной стороны	12	6
17	состоит в том	3	6
18	мы имеем дело	3	6
19	но при этом	3	5
20	и все же	3	5
21	подобно тому как	4	5
22	и вследствие этого	2	5
23	в свою очередь	3	5
24	во всяком случае	2	4
25	в конечном счете	2	4
26	в равной степени	2	4
27	то же самое	2	3
28	свидетель и судия	2	3
29	речь идет о	2	3
30	тогда как в	5	3
31	и не может	3	3
32	при всей своей	2	3
33	существенную роль в	4	3
34	того или иного	2	3
35	по сути дела	3	3
36	с точки зрения	3	3
37	пока еще не	3	3
38	едва ли не	2	3
39	несет в себе	3	3
40	по природе своей	6	3
41	дело в том	3	3
42	а в том	2	3
43	и то что	2	3
44	одно и то	2	2
45	ни о чем	2	2
46	события свидетель и	2	2
47	в русской литературе	2	2
48	и то же	2	2
49	в строгом значении	3	2
50	более или менее	2	2
51	а с другой	4	2
52	самого рассказывания в	2	2
53	не в том	3	2
54	в е годы	2	2
55	одного и того	4	2
56	по своей природе	3	2
57	на мой взгляд	3	2
58	первого и второго	2	2
59	в частности в	2	2
60	главное действующее лицо	2	2
61	[...] в нем	3	2
62	действующее лицо события	2	2
63	в силу своей	2	2
64	по этой причине	2	2
65	и того же	4	2
66	времени и пространства	2	2
67	сами по себе	2	2
68	и в то	2	2
69	с той или	2	2
70	событие самого рассказывания	2	2
71	лицо события свидетель	2	2
72	говорящего и слушающих	2	2
