N	3gram	Ircho_Kome	Psycholo
1	в том что	13	78
2	для того чтобы	3	70
3	на то что	2	55
4	и т п	7	37
5	о том что	6	34
6	то же самое	2	31
7	с одной стороны	5	28
8	до сих пор	3	23
9	и т д	4	22
10	к тому что	3	20
11	с другой стороны	6	20
12	с самого начала	2	16
13	во всяком случае	4	14
14	в этом отношении	3	14
15	в то время	8	14
16	можно было бы	3	13
17	то время как	6	13
18	в конце концов	4	12
19	то что он	2	11
20	вместе с тем	4	10
21	том что он	4	10
22	не в состоянии	3	9
23	что он не	2	9
24	в отличие от	3	9
25	речь идет о	5	8
26	и таким образом	2	8
27	что и в	2	7
28	как и в	2	7
29	в этом смысле	2	7
30	тем не менее	2	6
31	именно потому что	2	6
32	что у него	3	6
33	до самого конца	3	5
34	к тому же	12	4
35	одна из них	2	4
36	каждый из них	2	4
37	за то что	4	4
38	таким образом в	2	4
39	в этой области	2	4
40	только потому что	2	4
41	бы то ни	4	3
42	после того как	3	3
43	в это время	3	3
44	в то же	5	3
45	по отношению к	5	3
46	то же время	5	3
47	друг от друга	2	3
48	едва ли не	6	3
49	то ни было	4	2
50	но и в	2	2
51	в связи с	3	2
52	в одном из	4	2
53	и тем что	2	2
54	представление о том	2	2
55	не означает что	2	2
56	так или иначе	4	2
57	и столь же	2	2
58	в той же	2	2
