N	3gram	Vygotskiy_	EvropaiE
1	с точки зрения	11	16
2	с одной стороны	8	8
3	в том что	41	6
4	этой точки зрения	4	5
5	для того чтобы	14	5
6	с этой точки	4	5
7	так же как	9	5
8	той или иной	2	4
9	и в этом	2	4
10	того или иного	2	4
11	само по себе	3	4
12	заключает в себе	3	3
13	в известном смысле	2	3
14	во всяком случае	10	3
15	же как и	6	3
16	в этом отношении	9	3
17	в этом смысле	7	3
18	хотя бы и	2	3
19	можно было бы	8	3
20	друг с другом	10	3
21	из того что	3	2
22	то что в	3	2
23	с другой стороны	5	2
24	только в том	4	2
25	друг от друга	2	2
26	тому или иному	4	2
27	на то что	5	2
28	в качестве орудия	2	2
29	так и в	2	2
30	как мы видели	4	2
31	заключается в том	18	2
32	в свою очередь	3	2
33	по нашему мнению	2	2
34	по сравнению с	4	2
35	не может быть	5	2
36	имеет место в	2	2
