N	3gram	Vinokur_Vv	slovoVRo
1	и т п	5	72
2	не может быть	10	19
3	в то же	6	18
4	то же время	6	18
5	той или иной	3	15
6	с точки зрения	4	15
7	в отличие от	4	14
8	с одной стороны	4	11
9	и т д	39	10
10	в этом случае	6	9
11	во всяком случае	5	8
12	в зависимости от	3	8
13	но в то	3	7
14	и в особенности	4	7
15	большей или меньшей	3	6
16	с другой стороны	5	6
17	но все же	4	6
18	в том что	15	5
19	в этом отношении	4	5
20	не только в	4	5
21	может быть и	2	5
22	хотя бы и	2	5
23	как мы уже	2	5
24	по отношению к	4	5
25	одной стороны и	3	4
26	для того чтобы	22	4
27	а также и	2	4
28	до сих пор	7	4
29	можно сказать что	3	4
30	в свою очередь	2	4
31	не могут быть	2	4
32	одно и то	2	3
33	в широком смысле	7	3
34	как мы видели	3	3
35	и то же	2	3
36	в собственном смысле	3	3
37	в данном случае	4	3
38	в связи с	2	3
39	тех или иных	3	3
40	сама по себе	3	3
41	и не могут	2	2
42	в первом случае	2	2
43	дело не с	2	2
44	вовсе не в	2	2
45	о том что	13	2
46	можно было бы	4	2
47	в известном смысле	3	2
48	и в том	4	2
49	уже не только	2	2
50	этой точки зрения	2	2
51	и в этом	4	2
52	с этой точки	2	2
53	имеет дело с	2	2
54	тем не менее	9	2
55	а между тем	2	2
