N	2gram	Losev_Vesc	Literetu
1	а не	34	50
2	и не	57	47
3	не только	48	46
4	и в	44	44
5	может быть	37	43
6	но и	19	41
7	тогда как	3	40
8	в том	15	39
9	в этом	17	38
10	том что	13	32
11	в частности	3	30
12	то что	47	29
13	в качестве	4	27
14	то же	12	26
15	как и	15	23
16	в то	11	23
17	не в	14	22
18	так и	4	22
19	того что	16	22
20	себя в	11	22
21	не может	44	22
22	я и	8	21
23	же время	4	21
24	в себе	23	20
25	прежде всего	17	19
26	я в	3	19
27	как бы	19	18
28	то есть	2	17
29	точки зрения	10	17
30	в его	5	17
31	с другой	8	17
32	в этой	4	16
33	в жизни	5	16
34	тем самым	2	15
35	со стороны	9	15
36	не менее	11	15
37	в целом	3	15
38	я не	7	15
39	только в	23	15
40	что он	7	14
41	однако в	3	14
42	и даже	12	14
43	в своем	9	13
44	как это	4	13
45	с одной	3	13
46	но не	9	13
47	уже не	15	13
48	и его	4	13
49	к себе	4	12
50	в данном	6	12
51	в своей	6	12
52	еще не	12	12
53	о том	11	12
54	одной стороны	3	12
55	никогда не	5	11
56	данном случае	2	11
57	это не	9	11
58	в другом	3	11
59	с его	2	11
60	и сам	3	11
61	не столько	2	11
62	как в	3	11
63	а в	6	11
64	или иначе	5	11
65	в основе	4	11
66	вместе с	4	11
67	этом отношении	2	10
68	для себя	6	10
69	что в	11	10
70	так или	5	10
71	отнюдь не	8	10
72	в ее	8	10
73	жизни в	3	10
74	из них	7	10
75	и на	2	10
76	потому что	25	10
77	не случайно	2	10
78	жизни и	6	10
79	одно из	2	9
80	к тому	3	9
81	один из	5	9
82	с этой	6	9
83	что я	26	9
84	одна из	6	8
85	в конце	3	8
86	быть может	3	8
87	все же	18	8
88	по существу	3	8
89	но в	8	8
90	того же	5	8
91	уже в	2	8
92	на себя	5	8
93	что не	11	8
94	для него	8	8
95	исходит из	2	8
96	и как	12	8
97	слова и	7	8
98	тем что	7	8
99	в своих	3	8
100	той же	2	8
101	с точки	6	8
102	как раз	16	8
103	из того	3	7
104	в их	4	7
105	не как	2	7
106	по своей	3	7
107	и тем	7	7
108	для этого	5	7
109	другой стороны	3	7
110	и для	13	7
111	по преимуществу	2	7
112	перестает быть	3	7
113	у нас	9	7
