N	2gram	Tiupa_Anal	VrazhdaK
1	не только	30	9
2	и что	2	8
3	в этом	31	8
4	и в	30	8
5	что в	7	7
6	но и	29	7
7	и все	5	7
8	то что	11	7
9	но в	11	6
10	как и	23	6
11	в котором	5	6
12	в начале	3	6
13	в нем	3	6
14	и с	2	6
15	о нем	4	6
16	все же	4	6
17	в романе	2	6
18	и даже	10	6
19	и не	33	5
20	то же	12	5
21	в то	10	5
22	же время	7	5
23	у него	5	5
24	между тем	7	5
25	несмотря на	5	4
26	это не	7	4
27	в виду	2	4
28	все это	2	4
29	при этом	20	4
30	о том	11	4
31	как бы	15	4
32	х годов	2	4
33	что он	3	4
34	с ним	6	4
35	может быть	33	4
36	в том	36	3
37	в чем	2	3
38	одним из	3	3
39	его в	2	3
40	далеко не	6	3
41	и во	3	3
42	в своем	2	3
43	том что	21	3
44	в его	15	3
45	в связи	2	3
46	и о	3	3
47	и его	9	3
48	и как	6	3
49	он был	3	3
50	он не	4	3
51	о себе	2	3
52	речь идет	2	3
53	связи с	2	3
54	к этому	2	3
55	на то	2	3
56	я не	2	3
57	в конце	4	3
58	с его	3	3
59	тем что	2	3
60	никогда не	4	2
61	же не	3	2
62	и то	4	2
63	уже не	6	2
64	в мире	14	2
65	и т.п	13	2
66	место в	3	2
67	нашего времени	3	2
68	в той	8	2
69	для него	5	2
70	при помощи	2	2
71	с точки	6	2
72	а в	11	2
73	а также	8	2
74	в этой	12	2
75	тогда как	30	2
76	столь же	7	2
77	том же	2	2
78	в своей	7	2
79	как раз	5	2
80	в себе	17	2
81	еще не	5	2
82	точки зрения	10	2
83	о чем	3	2
84	тем более	2	2
85	таким образом	5	2
86	его и	3	2
87	отношения к	4	2
88	на место	3	2
89	на это	2	2
90	в эту	3	2
91	не может	26	2
92	из них	2	2
93	ответ на	3	2
94	не менее	5	2
95	и стал	2	2
96	отнюдь не	22	2
97	а с	3	2
98	не мог	3	2
99	на основе	3	2
100	вместе с	6	2
101	в известном	2	2
102	отношение к	2	2
