N	3gram	Tiupa_Vved	Dialekti
1	в том что	10	25
2	не может быть	6	18
3	тем не менее	3	16
4	то же время	4	15
5	в то же	5	14
6	о том что	6	12
7	с другой стороны	2	12
8	на то что	2	11
9	и стало быть	3	11
10	в самом деле	2	10
11	подобно тому как	3	9
12	той или иной	4	7
13	не в том	3	7
14	более или менее	2	6
15	во всяком случае	3	6
16	с одной стороны	9	6
17	на самом деле	4	5
18	тем более не	2	5
19	то же самое	2	4
20	в данном случае	15	4
21	к тому же	6	4
22	одной стороны и	3	4
23	в этом отношении	7	4
24	можно было бы	2	4
25	как и в	2	3
26	хотя и не	2	3
27	речь идет о	3	3
28	не только в	3	3
29	как будто бы	3	3
30	не зависит от	2	2
31	бы и не	2	2
32	не было и	2	2
33	друг от друга	2	2
34	на первый взгляд	3	2
35	в свою очередь	5	2
36	мы имеем дело	5	2
