N	2gram	Nazirov_Tr	OGranits
1	и в	18	13
2	и его	6	12
3	прежде всего	4	9
4	и не	7	8
5	не может	5	8
6	может быть	7	8
7	в его	3	7
8	не только	8	6
9	как бы	7	6
10	то что	4	6
11	все же	5	5
12	но в	6	4
13	то же	5	4
14	все это	4	4
15	никогда не	2	3
16	и то	2	3
17	и все	4	3
18	в ее	2	3
19	вряд ли	2	3
20	как и	5	3
21	не в	2	3
22	в себе	4	3
23	что в	4	3
24	так и	5	3
25	в одном	2	3
26	но и	4	3
27	в самом	2	2
28	своего рода	3	2
29	в этом	9	2
30	данном случае	2	2
31	уже в	3	2
32	в том	2	2
33	тем что	2	2
34	несмотря на	5	2
35	в целом	4	2
36	с г	2	2
37	не имеет	2	2
38	том что	4	2
39	а как	2	2
40	в данном	2	2
41	все эти	3	2
42	так же	4	2
43	в нем	4	2
44	при этом	3	2
45	и ее	2	2
46	еще в	2	2
47	как в	3	2
48	мог бы	3	2
49	к тому	2	2
50	не мог	2	2
51	для него	3	2
