N	3gram	Voloshinov	RusskieA
1	в этом случае	3	12
2	вместе с тем	2	11
3	о том что	2	10
4	для того чтобы	7	8
5	как мы увидим	2	7
6	как мы видели	3	6
7	не может быть	2	6
8	в связи с	2	5
9	к тому что	2	5
10	мы видели что	2	5
11	не что иное	2	4
12	как мы уже	3	4
13	что иное как	2	4
14	с тем и	2	3
15	по отношению к	2	3
16	с точки зрения	5	3
17	мы уже видели	3	3
18	мы не имеем	2	3
19	в свою очередь	4	3
20	на самом деле	3	2
21	тех случаях когда	2	2
22	в тех случаях	2	2
23	можно сказать что	2	2
24	в этом отношении	2	2
25	ту или иную	4	2
26	не только в	3	2
27	мы увидим что	2	2
28	для наших целей	2	2
29	но все же	3	2
30	равно как и	2	2
