N	3gram	Losev_Dial	Vvedenie
1	и т д	38	39
2	в том что	12	15
3	о том что	6	13
4	не может быть	12	10
5	тем не менее	10	9
6	в то же	3	6
7	в самом деле	6	6
8	то же время	3	6
9	не что иное	6	5
10	во всяком случае	3	5
11	что иное как	6	5
12	с другой стороны	3	5
13	по крайней мере	10	4
14	в данном случае	3	4
15	так или иначе	2	4
16	само по себе	8	4
17	т е в	4	4
18	в этом отношении	2	4
19	и в этом	4	4
20	с одной стороны	3	4
21	с точки зрения	25	4
22	той или иной	2	3
23	в чем же	2	3
24	есть не что	3	3
25	в зависимости от	3	3
26	и тем не	2	3
27	тех или иных	2	3
28	сама по себе	11	3
29	одно и то	2	2
30	и то же	2	2
31	одной и той	4	2
32	и той же	4	2
33	т д в	2	2
34	сам по себе	6	2
35	подобно тому как	5	2
36	этой точки зрения	4	2
37	с этой точки	4	2
38	не в том	5	2
39	вовсе не в	3	2
40	точно так же	3	2
41	не говоря уже	6	2
42	т е не	4	2
43	в связи с	3	2
44	не могут быть	3	2
