N	2gram	Berdyaev_V	Sovremen
1	мы не	2	9
2	и в	16	7
3	в этом	4	7
4	и не	20	6
5	как и	4	6
6	все эти	3	5
7	прежде всего	2	5
8	нет и	2	4
9	это не	2	4
10	не только	2	4
11	в том	3	4
12	как бы	5	4
13	их в	3	4
14	так как	9	4
15	жизни и	3	4
16	а в	2	4
17	для нас	2	3
18	и мы	3	3
19	и потому	7	3
20	но в	3	3
21	но мы	2	3
22	не в	3	3
23	еще не	8	3
24	одна из	2	3
25	и все	4	3
26	все это	5	3
27	в нем	4	3
28	а не	7	3
29	в конце	3	3
30	что все	4	2
31	не могут	2	2
32	в его	4	2
33	к чему	3	2
34	и что	3	2
35	во всяком	2	2
36	и во	2	2
37	и есть	4	2
38	что в	3	2
39	уже не	2	2
40	и они	3	2
41	могут быть	2	2
42	тот же	3	2
43	говорить о	4	2
44	и будет	3	2
