N	3gram	Berdyaev_M	Istorich
1	до сих пор	5	30
2	в том что	3	25
3	не может быть	22	24
4	вместе с тем	5	23
5	в иной мир	2	23
6	о том что	3	22
7	не только в	2	19
8	после того как	2	15
9	по отношению к	4	14
10	мы увидим что	4	13
11	в то время	2	13
12	то время как	2	13
13	но и в	4	12
14	что иное как	4	11
15	не что иное	4	11
16	как и в	2	10
17	что и в	3	10
18	и вместе с	4	9
19	подобно тому как	2	8
20	что он не	3	7
21	потому что он	3	7
22	с тем что	3	7
23	но это не	3	6
24	это значит что	3	6
25	для того чтобы	4	5
26	есть не что	3	5
27	в свою противоположность	4	4
28	он живет в	2	4
29	это и есть	7	4
30	он не может	2	4
31	тем что он	2	4
32	но он не	3	3
33	как будто бы	2	3
34	и он же	3	3
35	в том смысле	2	3
36	по сравнению с	2	3
37	а не только	3	2
38	и в конце	2	2
39	может быть и	2	2
40	она никогда не	3	2
41	он не только	2	2
42	а не в	4	2
43	не могут быть	2	2
44	это не значит	2	2
45	к тому чтобы	2	2
46	и не может	2	2
47	и те же	2	2
48	у него нет	4	2
49	что это не	2	2
50	и той же	2	2
51	может быть назван	3	2
52	и в нем	3	2
53	одной и той	2	2
