N	2gram	Losev_Prob	EvropaiC
1	таким образом	9	34
2	в том	19	31
3	и в	64	24
4	том что	26	20
5	все эти	15	19
6	не может	18	18
7	то что	72	18
8	может быть	29	17
9	до сих	6	15
10	все же	7	15
11	сих пор	6	15
12	точки зрения	5	14
13	в этом	30	13
14	все это	11	13
15	в своем	7	12
16	с этим	7	12
17	самом деле	10	12
18	между тем	3	12
19	но и	23	11
20	не только	37	10
21	так и	17	10
22	во всех	9	10
23	как и	7	10
24	все что	2	10
25	как бы	18	10
26	в результате	6	9
27	и не	63	9
28	не в	6	9
29	что в	21	9
30	и все	9	9
31	на то	12	9
32	того же	3	9
33	потому что	24	9
34	при этом	8	9
35	и что	21	9
36	так же	12	8
37	из этих	5	8
38	или менее	7	8
39	если бы	8	8
40	для того	10	8
41	идет речь	2	8
42	к тому	5	8
43	более или	7	8
44	в самом	10	8
45	знаем что	2	8
46	того чтобы	10	8
47	с точки	3	8
48	мы говорили	5	8
49	ясно что	7	8
50	на самом	9	7
51	для этого	5	7
52	о которых	6	7
53	в сознании	5	7
54	так как	16	7
55	в силу	2	7
56	что он	11	7
57	того что	18	7
58	о котором	4	7
59	не менее	26	7
60	о том	25	7
61	из этого	2	7
62	что и	2	7
63	в этой	14	7
64	по существу	2	7
65	что при	2	7
66	вместе с	4	7
67	отличается от	2	6
68	только в	19	6
69	все они	2	6
70	еще не	18	6
71	и при	4	6
72	так что	12	6
73	в то	7	6
74	должна быть	2	6
75	и для	10	6
76	с другой	8	6
77	в общем	5	6
78	говорили выше	2	6
79	и если	9	6
80	и на	11	6
81	мы можем	8	6
82	несмотря на	6	6
83	что с	2	6
84	как на	3	6
85	с ним	4	6
86	и от	3	5
87	его в	9	5
88	но все	5	5
89	в себе	16	5
90	в состоянии	2	5
91	должно быть	3	5
92	оказывается что	4	5
93	в которой	2	5
94	случае если	2	5
95	лишь в	4	5
96	и их	4	5
97	ничем не	2	5
98	между собою	9	5
99	многие из	2	5
100	из них	3	5
101	что это	4	5
102	так или	7	5
103	по своему	14	5
104	что все	9	5
105	далеко не	9	5
106	но в	19	5
107	именно в	5	5
108	или иначе	7	5
109	и без	6	5
110	а потому	2	5
111	и с	12	5
112	и к	2	5
113	другой стороны	7	5
114	не будет	11	5
115	в его	12	5
116	как будто	6	5
117	быть и	5	5
118	никогда не	8	4
119	и то	15	4
120	самого себя	2	4
121	в такой	3	4
122	не могут	6	4
123	мы должны	5	4
124	что эта	2	4
125	всех этих	11	4
126	хотя бы	15	4
127	то ни	3	4
128	чем больше	4	4
129	тем не	25	4
130	в конце	13	4
131	которых мы	2	4
132	конце концов	11	4
133	то же	10	4
134	в их	7	4
135	в области	8	4
136	одним из	2	4
137	в виде	20	4
138	совершенно не	7	4
139	что его	4	4
140	между собой	5	4
141	что для	4	4
142	с тем	6	4
143	в в	2	4
144	этом случае	6	4
145	все прочие	2	4
146	представление об	2	4
147	не есть	49	4
148	из которых	2	4
149	что мы	23	4
150	том случае	2	4
151	связи с	8	4
152	этой области	5	4
153	в таком	18	4
154	он не	5	4
155	это есть	10	4
156	мы сказали	2	4
157	если мы	16	4
158	в дальнейшем	5	4
159	хотя и	8	4
160	мы уже	8	4
161	даже в	2	3
162	данном случае	10	3
163	представление о	6	3
164	и вообще	13	3
165	вопрос о	4	3
166	что их	4	3
167	тем самым	11	3
168	при помощи	21	3
169	это не	7	3
170	что если	5	3
171	и потому	3	3
172	и до	3	3
173	гораздо больше	2	3
174	тем более	13	3
175	в настоящее	17	3
176	в тех	2	3
177	каждый из	3	3
178	бы в	3	3
179	но даже	3	3
180	которые не	5	3
181	от того	2	3
182	настоящее время	17	3
183	даже если	4	3
184	только что	2	3
185	в этих	7	3
186	конечно не	3	3
187	в связи	7	3
188	и наконец	3	3
189	одного и	2	3
190	у нас	31	3
191	они должны	2	3
192	но по	2	3
193	прежде всего	17	3
194	с одной	4	3
195	одно из	2	3
196	в жизни	3	3
197	но не	13	3
198	очень много	3	3
199	а наоборот	3	3
200	и это	13	3
201	в данном	16	3
202	на этой	4	3
203	а в	7	3
204	бы то	2	3
205	на почве	2	3
206	не вполне	4	3
207	в нем	14	3
208	указывают на	2	3
209	что оно	4	3
210	тогда когда	4	3
211	не то	4	3
212	для нас	11	3
213	сказали что	2	3
214	ближе к	2	3
215	эти элементы	3	3
216	должны быть	2	3
217	сейчас же	3	3
218	было бы	16	3
219	и по	3	3
220	и может	2	3
221	ничего общего	14	3
222	в истории	6	3
223	в с	2	3
224	если же	4	3
225	в нашем	3	3
226	как для	2	3
227	же как	2	3
228	и того	5	3
229	заключается в	2	3
230	уже и	6	3
231	тот же	4	3
232	говорить что	2	3
233	как мы	10	3
234	мы будем	3	3
235	образом и	3	2
236	конечно в	2	2
237	только мы	2	2
238	одна из	4	2
239	другими словами	8	2
240	с которыми	4	2
241	помнить что	3	2
242	то в	6	2
243	то и	7	2
244	независимо от	2	2
245	только то	6	2
246	но как	11	2
247	между этими	2	2
248	что под	3	2
249	и ее	9	2
250	есть только	16	2
251	не очень	4	2
252	не потому	2	2
253	на одном	2	2
254	то время	2	2
255	и поэтому	2	2
256	что она	8	2
257	при таком	2	2
258	то есть	61	2
259	в другом	2	2
260	а это	5	2
261	но если	6	2
262	до тех	4	2
263	потому и	2	2
264	для себя	9	2
265	однако это	3	2
266	зависимости от	2	2
267	входящих в	2	2
268	на первый	5	2
269	этих двух	2	2
270	в виду	10	2
271	не было	7	2
272	следовательно и	3	2
273	он должен	2	2
274	в частности	5	2
275	по его	3	2
276	что они	5	2
277	же касается	3	2
278	никто не	2	2
279	не знает	4	2
280	в одно	5	2
281	эти последние	2	2
282	и будет	2	2
283	не стоит	2	2
284	для него	2	2
285	только тогда	4	2
286	на нее	2	2
287	есть в	9	2
288	и так	2	2
289	в эту	2	2
290	не имеет	8	2
291	общего с	10	2
292	это обстоятельство	3	2
293	для этой	2	2
294	также и	22	2
295	тому что	6	2
296	к нему	5	2
297	она не	5	2
298	на том	5	2
299	в самой	3	2
300	гораздо более	6	2
301	в котором	5	2
302	тех пор	4	2
303	если это	2	2
304	их в	6	2
305	в своих	3	2
306	будет иметь	2	2
307	этот вопрос	2	2
308	к другу	2	2
309	о них	3	2
310	что на	4	2
311	в которых	4	2
312	одной стороны	4	2
313	но для	3	2
314	между прочим	3	2
315	и те	2	2
316	отнюдь не	15	2
317	по этому	6	2
318	в них	8	2
319	только не	4	2
320	можно ли	9	2
321	что же	18	2
322	всяком случае	11	2
323	друг к	2	2
324	он тоже	2	2
325	сводится к	3	2
326	во всяком	18	2
327	и уже	4	2
328	во внимание	2	2
329	что многие	2	2
330	говорить о	14	2
331	то с	9	2
332	в общей	2	2
333	и особенно	4	2
334	и его	3	2
335	в сущности	2	2
336	и только	7	2
337	а следовательно	2	2
338	и сам	3	2
339	во всей	4	2
340	заметим что	2	2
341	и весь	4	2
342	и более	4	2
343	что эти	2	2
344	но с	2	2
345	только один	3	2
346	той же	2	2
347	для всякого	2	2
348	вовсе не	60	2
349	мы и	8	2
350	в основе	4	2
351	тем же	2	2
352	при условии	5	2
