N	3gram	Voloshinov	EvropaiC
1	в том что	9	16
2	до сих пор	10	15
3	по отношению к	9	11
4	друг с другом	2	9
5	более или менее	3	8
6	с точки зрения	31	8
7	на самом деле	5	7
8	для того чтобы	7	7
9	на то что	2	7
10	так или иначе	2	5
11	в самом деле	13	5
12	к тому же	2	5
13	тем не менее	3	4
14	с другой стороны	6	4
15	в конце концов	3	4
16	в этом случае	3	4
17	может быть и	8	4
18	о том что	2	4
19	не может быть	23	4
20	то ни было	11	3
21	бы то ни	11	3
22	так же как	2	3
23	в настоящее время	6	3
24	и того же	9	3
25	одного и того	9	3
26	в связи с	12	3
27	же касается до	2	2
28	ничего общего с	2	2
29	с одной стороны	2	2
30	между этими двумя	2	2
31	во всяком случае	4	2
32	но все же	4	2
33	рано или поздно	2	2
34	то же время	7	2
35	в высшей степени	5	2
36	том что он	3	2
37	в то же	7	2
38	а следовательно и	2	2
39	как и все	2	2
40	в свою очередь	5	2
