N	2gram	Losev_Prob	EvropaiE
1	и в	64	37
2	в отношении	7	32
3	в пределах	2	25
4	точки зрения	5	23
5	что в	21	21
6	не только	37	18
7	с точки	3	17
8	в то	7	16
9	хотя бы	15	15
10	то же	10	15
11	в своем	7	14
12	но в	19	14
13	но и	23	14
14	и не	63	14
15	в качестве	3	14
16	в этом	30	12
17	в том	19	11
18	в их	7	11
19	в области	8	11
20	так и	17	10
21	с и	2	10
22	т е	2	9
23	так же	12	9
24	в смысле	2	9
25	не может	18	9
26	отнюдь не	15	9
27	в себе	16	9
28	прежде всего	17	9
29	только в	19	9
30	одной стороны	4	8
31	между тем	3	8
32	в ее	3	8
33	думать что	2	8
34	было бы	16	8
35	в своей	8	8
36	с одной	4	8
37	к тому	5	8
38	по своему	14	7
39	нам кажется	2	7
40	также и	22	7
41	с другой	8	7
42	а также	6	7
43	как и	7	7
44	так как	16	7
45	между прочим	3	7
46	того что	18	7
47	том что	26	6
48	в последние	3	6
49	во всех	9	6
50	то есть	61	6
51	и даже	19	6
52	может быть	29	6
53	и на	11	6
54	стороны и	3	6
55	того чтобы	10	6
56	для того	10	6
57	на то	12	6
58	то что	72	6
59	как бы	18	6
60	вовсе не	60	6
61	но не	13	5
62	от этого	2	5
63	тем самым	11	5
64	и по	3	5
65	и потому	3	5
66	но если	6	5
67	в той	2	5
68	как мы	10	5
69	со стороны	2	5
70	не в	6	5
71	в виде	20	5
72	в частности	5	5
73	же как	2	5
74	как нам	2	5
75	даже в	2	4
76	сказать что	33	4
77	в каком	7	4
78	вопрос о	4	4
79	и притом	6	4
80	не имеет	8	4
81	или иного	6	4
82	или иной	8	4
83	во многих	4	4
84	можно сказать	9	4
85	то в	6	4
86	независимо от	2	4
87	именно в	5	4
88	в самом	10	4
89	но даже	3	4
90	из числа	2	4
91	мы не	6	4
92	для нас	11	4
93	по себе	20	4
94	несмотря на	6	4
95	тем более	13	4
96	мира в	2	4
97	той или	10	4
98	не на	4	4
99	как это	7	4
100	то ни	3	4
101	того или	8	4
102	бы то	2	4
103	никогда не	8	3
104	с тем	6	3
105	и от	3	3
106	и для	10	3
107	ни на	5	3
108	и только	7	3
109	в данной	2	3
110	о том	25	3
111	россии как	2	3
112	ли это	2	3
113	в данном	16	3
114	в общем	5	3
115	вообще не	5	3
116	того же	3	3
117	в которых	4	3
118	можно было	8	3
119	этом смысле	8	3
120	бы и	5	3
121	и к	2	3
122	в результате	6	3
123	мы можем	8	3
124	уже и	6	3
125	не будет	11	3
126	из них	3	3
127	в них	8	3
128	можно ли	9	3
129	всяком случае	11	3
130	место в	2	3
131	на себя	2	3
132	что и	2	3
133	и тем	16	3
134	тем что	10	3
135	говорит о	4	3
136	этом отношении	2	3
137	не является	12	3
138	потому что	24	3
139	себе не	3	3
140	в таком	18	3
141	представляет собой	2	3
142	как в	5	3
143	как на	3	3
144	в известной	2	3
145	ее в	2	3
146	во всяком	18	3
147	дело в	3	3
148	известной степени	2	3
149	есть в	9	2
150	данном случае	10	2
151	для понимания	2	2
152	и если	9	2
153	представление о	6	2
154	на этот	3	2
155	кажется что	2	2
156	если в	2	2
157	в его	12	2
158	наше внимание	2	2
159	отношений между	2	2
160	не есть	49	2
161	и этот	4	2
162	чем больше	4	2
163	что это	4	2
164	в эту	2	2
165	что к	2	2
166	при помощи	21	2
167	и то	15	2
168	что если	5	2
169	утверждать что	2	2
170	к нему	5	2
171	не могут	6	2
172	как же	6	2
173	помнить что	3	2
174	она не	5	2
175	а в	7	2
176	с этим	7	2
177	мы должны	5	2
178	или по	5	2
179	с другими	6	2
180	все другие	4	2
181	в котором	5	2
182	тому чтобы	2	2
183	но как	11	2
184	как оно	3	2
185	далеко не	9	2
186	в своих	3	2
187	поскольку он	2	2
188	и еще	3	2
189	и поэтому	2	2
190	и с	12	2
191	бы в	3	2
192	этот вопрос	2	2
193	не нужно	6	2
194	в случае	5	2
195	что на	4	2
196	могут быть	2	2
197	по преимуществу	4	2
198	не говоря	8	2
199	другой стороны	7	2
200	есть ли	2	2
201	что все	9	2
202	но еще	2	2
203	в значительной	2	2
204	тогда когда	4	2
205	и та	2	2
206	на язык	2	2
207	и можно	3	2
208	и как	10	2
209	не можем	2	2
210	что же	18	2
211	есть не	10	2
212	или вернее	3	2
213	если бы	8	2
214	для них	5	2
215	в этих	7	2
216	или хотя	2	2
217	в силу	2	2
218	частности в	2	2
219	и того	5	2
220	в других	5	2
221	а не	21	2
222	мы видим	2	2
223	и что	21	2
224	значение только	3	2
225	и во	4	2
226	или точнее	4	2
227	и наконец	3	2
228	то не	2	2
229	же в	5	2
230	но именно	5	2
231	и чем	2	2
232	и все	9	2
233	или в	5	2
234	таким образом	9	2
235	а именно	16	2
236	это значит	4	2
237	в истории	6	2
238	он не	5	2
239	как будто	6	2
240	во всей	4	2
241	относятся к	3	2
242	но по	2	2
243	что эти	2	2
244	ведь и	2	2
245	говоря уже	6	2
246	поскольку они	2	2
247	в этой	14	2
248	но с	2	2
249	а тем	3	2
250	между собой	5	2
251	для этих	2	2
252	хотя и	8	2
253	должна быть	2	2
254	эти последние	2	2
255	вместе с	4	2
256	заключается в	2	2
257	он сам	2	2
258	и более	4	2
259	при условии	5	2
