N	2gram	Nazirov_Vr	RusskieA
1	и в	8	79
2	в том	3	64
3	том что	3	59
4	что в	7	57
5	т е	3	54
6	не только	9	41
7	во время	2	38
8	в этом	8	33
9	как бы	4	31
10	но и	7	31
11	п в	2	30
12	как и	6	28
13	может быть	4	28
14	в этот	3	26
15	а н	2	25
16	одна из	2	24
17	о том	4	23
18	при этом	4	22
19	это не	4	20
20	а в	2	20
21	там же	2	20
22	из них	2	19
23	все это	4	18
24	то что	7	17
25	об этом	5	17
26	таким образом	2	17
27	вместе с	2	17
28	для нас	4	14
29	не менее	2	14
30	в них	2	14
31	и не	5	14
32	и с	6	14
33	и что	8	14
34	к этому	3	13
35	не может	2	13
36	еще не	2	13
37	уже не	2	13
38	тем что	3	12
39	но это	2	11
40	далеко не	3	11
41	его в	3	10
42	между тем	5	10
43	все же	6	10
44	а также	2	10
45	о чем	2	9
46	том же	2	9
47	но в	6	9
48	и все	7	9
49	в честь	2	9
50	то же	5	9
51	так же	4	8
52	после этого	2	8
53	в россии	5	8
54	их в	2	8
55	же в	2	8
56	связи с	3	8
57	в своем	3	7
58	начиная с	2	7
59	а с	2	7
60	в это	2	7
61	и как	3	7
62	в эти	2	7
63	в этой	2	6
64	и у	3	6
65	в в	2	6
66	в нем	6	6
67	так в	2	6
68	в году	18	6
69	же как	2	6
70	и о	3	6
71	к себе	2	5
72	что он	4	5
73	к ним	2	5
74	в свою	2	5
75	в то	5	5
76	тогда как	2	5
77	в связи	3	5
78	не было	5	5
79	в его	3	5
80	его с	2	5
81	в русских	2	5
82	отнюдь не	2	5
83	с ним	4	5
84	и ее	2	4
85	и а	2	4
86	его и	2	4
87	несмотря на	4	4
88	что у	3	4
89	в котором	6	4
90	в своих	4	4
91	уже в	4	4
92	в ней	4	4
93	на основе	2	4
94	но он	3	4
95	никогда не	2	3
96	в виду	4	3
97	мы знаем	2	3
98	и это	2	3
99	точки зрения	2	3
100	же не	2	3
101	и во	3	3
102	в своей	2	3
103	он был	3	3
104	место в	2	3
105	и то	2	3
106	это в	2	3
107	в эту	2	3
108	на первый	2	3
109	на то	3	3
110	в русской	3	3
111	довольно много	2	3
112	с точки	2	3
113	и его	3	3
114	в период	2	3
115	время и	2	2
116	в себе	2	2
117	в конце	3	2
118	отношение к	2	2
119	одним из	3	2
120	в момент	2	2
121	на место	2	2
122	в него	2	2
123	он пишет	2	2
124	ответ на	2	2
125	с нею	2	2
126	для него	2	2
127	с его	3	2
128	в одну	2	2
129	он не	3	2
130	и он	2	2
131	в начале	6	2
132	тем более	2	2
133	и даже	6	2
134	считал что	3	2
135	россии в	2	2
136	целый ряд	4	2
137	что есть	3	2
138	в чем	3	2
139	года в	7	2
140	у него	5	2
141	о которой	2	2
