N	3gram	Trubetskoy	Komedia
1	в том что	7	29
2	до сих пор	5	16
3	то же время	10	16
4	в то же	10	16
5	о том что	2	13
6	для того чтобы	6	11
7	вместе с тем	3	9
8	бы то ни	4	7
9	в конце концов	3	7
10	во всяком случае	6	7
11	с точки зрения	9	6
12	что он не	2	5
13	к тому что	2	4
14	можно было бы	3	4
15	более или менее	4	3
16	друг от друга	2	3
17	друг с другом	14	3
18	на то что	4	3
19	о том чтобы	2	3
20	в большинстве случаев	2	2
21	только в том	2	2
22	таким же образом	2	2
23	надо признать что	2	2
24	точно так же	2	2
25	и в том	2	2
26	в этом случае	3	2
