N	2gram	Berdyaev_O	Tvorches
1	у достоевского	19	91
2	и в	19	56
3	как бы	3	41
4	в его	7	37
5	романах достоевского	3	32
6	в романах	4	30
7	достоевского в	3	27
8	не только	11	24
9	но в	2	24
10	и его	4	23
11	и не	13	23
12	а в	5	23
13	как и	6	23
14	достоевского не	4	22
15	в этом	12	22
16	в том	5	21
17	из подполья	11	21
18	что в	4	21
19	том что	2	19
20	он не	7	19
21	может быть	11	19
22	в преступлении	4	19
23	потому что	9	19
24	у него	22	18
25	то что	5	18
26	преступлении и	3	18
27	что он	3	17
28	все это	6	17
29	и на	2	17
30	и наказании	3	17
31	никогда не	9	16
32	достоевский не	4	16
33	прежде всего	9	16
34	достоевского с	2	16
35	не может	4	16
36	в бесах	3	16
37	но и	13	16
38	в творчестве	5	16
39	в этой	5	15
40	с его	4	15
41	и с	2	15
42	это не	3	14
43	о том	3	13
44	а не	11	13
45	все же	2	11
46	в своей	2	11
47	для него	5	11
48	что достоевский	2	11
49	героев достоевского	2	11
50	иван карамазов	2	10
51	не в	11	10
52	так и	2	10
53	уже в	2	10
54	в русской	3	10
55	герои достоевского	4	10
56	в самом	5	10
57	когда он	3	10
58	он сам	4	10
59	в нем	10	9
60	записки из	3	9
61	и от	3	9
62	человека в	11	9
63	жизни в	2	9
64	для достоевского	5	9
65	в своих	3	9
66	в душе	2	9
67	в себе	3	8
68	человека и	10	8
69	ивана карамазова	7	8
70	так как	2	8
71	к этому	2	8
72	еще не	3	8
73	романов достоевского	2	8
74	хотя и	2	8
75	в записках	3	7
76	творчество достоевского	2	7
77	достоевского и	5	7
78	достоевского к	2	7
79	человеческой личности	6	7
80	и он	8	7
81	в которой	2	7
82	в этих	3	7
83	его в	2	6
84	записках из	3	6
85	так что	2	6
86	и все	10	6
87	все эти	4	6
88	о великом	6	6
89	и ее	3	6
90	хотя бы	3	6
91	достоевского нет	2	6
92	записок из	5	6
93	достоевского но	2	6
94	с ним	3	6
95	ничего не	2	5
96	в идиоте	4	5
97	до конца	7	5
98	великом инквизиторе	6	5
99	в своем	2	5
100	быть может	3	5
101	что не	4	5
102	что и	2	5
103	в ее	2	5
104	что они	2	5
105	в истории	2	5
106	в россии	5	5
107	что человек	3	5
108	мысли и	3	5
109	что у	2	5
110	самого достоевского	3	5
111	не было	9	5
112	и потому	2	4
113	в человеке	9	4
114	человеческой души	6	4
115	того что	3	4
116	что все	2	4
117	к нему	3	4
118	могут быть	3	4
119	о его	5	4
120	нет ничего	7	4
121	о достоевском	2	4
122	тем что	2	4
123	на земле	4	4
124	него в	5	4
125	мити карамазова	2	4
126	и есть	3	4
127	в дневнике	2	4
128	легенда о	2	4
129	личности и	2	4
130	достоевского есть	4	4
131	но он	7	4
132	человек был	3	3
133	не есть	2	3
134	для человека	2	3
135	от него	7	3
136	в другом	2	3
137	отношение к	5	3
138	как к	2	3
139	к человеку	9	3
140	достоевского он	7	3
141	совсем не	2	3
142	никто не	3	3
143	сказать что	2	3
144	не все	2	3
145	более всего	3	3
146	к ней	2	3
147	в этот	2	3
148	мысль о	2	3
149	лишь в	7	3
150	и вот	3	3
151	ее в	2	3
152	для того	3	3
153	во имя	3	3
154	на западе	2	3
155	человека к	2	3
156	что для	2	3
157	человеческих отношений	4	3
158	и к	2	3
159	его героев	2	3
160	по себе	2	3
161	мертвого дома	2	3
162	о человеке	29	2
163	не могут	3	2
164	свободы и	2	2
165	сразу же	2	2
166	ведь это	2	2
167	он всегда	7	2
168	и против	2	2
169	и очень	2	2
170	с тем	2	2
171	он в	2	2
172	произведений достоевского	2	2
173	что же	2	2
174	дневнике писателя	2	2
175	того чтобы	4	2
176	было бы	3	2
177	он был	8	2
178	к достоевскому	2	2
179	не могли	2	2
180	раскрывается в	5	2
181	же это	2	2
182	и нет	2	2
183	из мертвого	2	2
184	образ человека	2	2
185	должен был	2	2
186	и о	2	2
187	иваном карамазовым	2	2
188	не имеет	2	2
189	этом он	2	2
190	все что	3	2
191	человека его	3	2
192	зла в	2	2
193	человек и	4	2
194	о которой	2	2
195	в глубине	7	2
196	достоевского было	3	2
