N	2gram	Tiupa_Teor	formyVre
1	и в	24	148
2	в этом	12	73
3	то есть	22	70
4	в романе	3	58
5	в нем	7	51
6	прежде всего	3	46
7	и не	17	37
8	в его	12	36
9	и его	11	36
10	вовсе не	3	35
11	но и	14	33
12	то же	12	32
13	частной жизни	2	32
14	не только	24	32
15	в литературе	4	32
16	но в	12	31
17	так и	14	29
18	времени в	2	27
19	может быть	22	27
20	не в	9	26
21	как и	6	25
22	как бы	8	25
23	человеческой жизни	3	24
24	точки зрения	11	24
25	в то	9	23
26	времени и	2	23
27	только в	9	23
28	то что	6	22
29	в том	20	22
30	жизни в	2	21
31	все эти	3	21
32	связи с	3	21
33	во всех	3	21
34	же время	8	21
35	в своем	7	19
36	и др	3	19
37	и для	3	19
38	и на	2	19
39	у него	2	18
40	еще не	6	18
41	таким образом	3	18
42	человека и	2	17
43	при этом	20	17
44	в пределах	5	17
45	того же	4	16
46	в связи	3	16
47	в основе	6	16
48	не может	8	16
49	никогда не	4	15
50	в них	2	15
51	лишь в	10	15
52	в пространстве	2	15
53	в одном	3	15
54	с точки	3	15
55	с его	6	15
56	вместе с	2	15
57	так же	2	14
58	все это	2	14
59	и как	3	14
60	в конце	2	14
61	как раз	3	14
62	а не	14	14
63	роль в	3	13
64	в их	4	13
65	в частности	23	13
66	а в	15	13
67	того чтобы	5	13
68	для того	5	13
69	как в	5	13
70	в самом	7	13
71	отнюдь не	3	12
72	но не	13	12
73	потому что	3	12
74	он не	5	12
75	что в	10	12
76	его в	4	11
77	между ними	6	11
78	хотя и	4	11
79	ни в	5	11
80	мира и	4	11
81	этом мире	2	10
82	здесь не	2	10
83	в ее	6	10
84	и другие	2	10
85	входит в	4	10
86	уже не	6	10
87	в большинстве	2	10
88	и того	4	10
89	на основе	2	10
90	могут быть	5	9
91	одного и	4	9
92	том что	11	9
93	и даже	2	9
94	мира в	3	9
95	и это	2	9
96	с другой	9	9
97	для него	5	9
98	есть в	3	9
99	в самой	2	9
100	их в	3	9
101	оно не	2	9
102	отношения к	4	9
103	это не	4	8
104	или иной	7	8
105	для себя	3	8
106	и прежде	2	8
107	и потому	3	8
108	в произведении	3	8
109	к тому	4	8
110	отношение к	7	8
111	том числе	3	8
112	в целом	4	8
113	и т.п	7	8
114	один из	2	8
115	хронотоп в	3	8
116	что и	2	8
117	здесь мы	2	8
118	и то	3	8
119	а также	7	8
120	и по	3	8
121	если бы	3	8
122	героя и	6	8
123	в этих	4	8
124	отношению к	10	8
125	с одной	3	8
126	в жизни	3	8
127	в мире	26	8
128	и к	3	8
129	в виду	5	8
130	на фоне	2	8
131	жизни но	2	8
132	во времени	4	7
133	для всех	2	7
134	в себе	14	7
135	отличие от	7	7
136	не знает	4	7
137	того что	5	7
138	между собой	3	7
139	в той	2	7
140	место в	7	7
141	себя и	2	7
142	например в	3	7
143	имеет место	3	7
144	из этих	3	7
145	в которой	3	7
146	с ее	4	7
147	в эпизоде	3	7
148	не могло	2	7
149	ее в	2	7
150	в отличие	7	7
151	в форме	4	7
152	в себя	5	7
153	но он	4	7
154	в отношении	4	6
155	не могут	2	6
156	и ее	4	6
157	в присутствии	2	6
158	своей жизни	2	6
159	одной из	2	6
160	могло быть	2	6
161	одной стороны	3	6
162	между двумя	3	6
163	в качестве	33	6
164	во всей	3	6
165	сказать что	4	6
166	только и	2	6
167	за пределы	2	6
168	не является	5	6
169	автора и	2	6
170	о том	2	6
171	именно в	3	6
172	имеем в	3	6
173	в таком	3	6
174	о чем	3	5
175	по своей	8	5
176	он должен	3	5
177	только на	2	5
178	мире и	2	5
179	xix века	2	5
180	с другими	6	5
181	с ними	2	5
182	той или	3	5
183	не на	4	5
184	что они	2	5
185	в этой	3	5
186	одно и	2	5
187	числе и	2	5
188	мы имеем	7	5
189	в своей	8	5
190	по преимуществу	5	5
191	об этом	2	5
192	в порядке	3	5
193	с этой	3	5
194	самим собою	2	5
195	и является	2	5
196	далеко не	4	5
197	но на	2	5
198	или в	3	5
199	нового времени	3	5
200	даже в	3	4
201	перед нами	3	4
202	так в	4	4
203	по себе	2	4
204	при всей	2	4
205	по отношению	10	4
206	в другом	4	4
207	и т.д	4	4
208	что он	4	4
209	и о	5	4
210	жизни на	2	4
211	в одно	2	4
212	в тексте	19	4
213	в чем	2	4
214	другой стороны	6	4
215	а затем	2	4
216	принадлежит к	3	4
217	быть и	2	4
218	в данном	9	4
219	включает в	2	4
220	тем более	2	4
221	в глаза	2	4
222	и вот	3	4
223	у нас	2	4
224	вследствие этого	2	4
225	игра с	2	4
226	всей его	2	4
227	жизни как	5	4
228	со своей	4	4
229	несмотря на	2	4
230	к жизни	2	4
231	иного рода	3	4
232	это и	2	4
233	совершенно иной	2	4
234	в нашем	4	4
235	еще и	2	3
236	в соответствии	3	3
237	вступает в	2	3
238	а на	3	3
239	до известной	2	3
240	картины мира	3	3
241	в произведениях	2	3
242	как это	10	3
243	как уже	2	3
244	тому что	2	3
245	культуры в	3	3
246	все прочие	3	3
247	вещами и	2	3
248	не входит	2	3
249	не столько	7	3
250	в аспекте	2	3
251	на этом	2	3
252	известной степени	3	3
253	во внешнем	2	3
254	но она	2	3
255	не могли	2	3
256	дело в	2	3
257	это было	2	3
258	в значительной	2	3
259	и здесь	2	3
260	тот или	3	3
261	ни к	3	3
262	при всем	2	3
263	по своему	4	3
264	от всех	2	3
265	можно сказать	5	3
266	строго говоря	2	3
267	на почве	5	3
268	если мы	2	3
269	в свою	4	3
270	жизни а	2	3
271	к другому	2	3
272	мы в	2	3
273	в слове	4	3
274	ни был	2	3
275	не обязательно	3	3
276	тем же	2	3
277	данном случае	5	2
278	в каком	2	2
279	или даже	4	2
280	самим собой	4	2
281	идет о	2	2
282	на себя	2	2
283	о жизни	2	2
284	с чем	2	2
285	одну из	2	2
286	если в	2	2
287	и притом	3	2
288	в иной	3	2
289	свою очередь	3	2
290	к более	2	2
291	лишь один	2	2
292	должен быть	2	2
293	мыслится как	5	2
294	самом деле	2	2
295	литературного произведения	11	2
296	в искусстве	9	2
297	к нему	2	2
298	соединении с	2	2
299	а только	4	2
300	была бы	3	2
301	во втором	3	2
302	картина мира	6	2
303	отношении к	4	2
304	в узком	3	2
305	и читателей	2	2
306	но как	2	2
307	в состав	6	2
308	в поэзии	2	2
309	и некоторые	2	2
310	своей природе	3	2
311	о его	2	2
312	на котором	2	2
313	никто не	3	2
314	без исключения	4	2
315	этого слова	4	2
316	жизни то	2	2
317	роман и	2	2
318	с их	2	2
319	имеет в	2	2
320	то в	2	2
321	события в	2	2
322	себя в	7	2
323	для такого	2	2
324	отличается от	2	2
325	к своему	2	2
326	нашем случае	2	2
327	с человеком	2	2
328	ни для	2	2
329	человека с	3	2
330	за пределами	5	2
331	в мировой	2	2
332	в единое	3	2
333	образом и	2	2
334	личности и	4	2
335	соответствии с	2	2
336	на мир	2	2
337	я не	2	2
338	говорить о	4	2
339	и особенно	2	2
340	места для	2	2
341	только о	2	2
342	и сам	4	2
343	в организации	3	2
344	основе своей	2	2
345	жить и	2	2
