N	2gram	Propp_Russ	EvropaiC
1	таким образом	10	34
2	в том	33	31
3	и в	59	24
4	том что	33	20
5	все эти	5	19
6	не может	6	18
7	то что	10	18
8	может быть	14	17
9	народа в	2	15
10	все же	7	15
11	точки зрения	3	14
12	в этом	18	13
13	все это	12	13
14	в своем	3	12
15	с этим	4	12
16	между тем	9	12
17	но и	20	11
18	не только	28	10
19	так и	8	10
20	во всех	6	10
21	как и	19	10
22	все что	2	10
23	как бы	18	10
24	и не	6	9
25	не в	2	9
26	что в	35	9
27	и все	4	9
28	на то	2	9
29	потому что	15	9
30	при этом	11	9
31	и что	8	9
32	так же	7	8
33	из этих	6	8
34	чем у	2	8
35	для того	6	8
36	к тому	4	8
37	а и	7	8
38	того чтобы	6	8
39	с точки	3	8
40	на самом	3	7
41	для этого	6	7
42	так как	25	7
43	в силу	2	7
44	что он	2	7
45	того что	6	7
46	не менее	3	7
47	о том	14	7
48	что и	8	7
49	в этой	4	7
50	по существу	7	7
51	что при	2	7
52	вместе с	16	7
53	только в	4	6
54	у них	2	6
55	еще не	7	6
56	и при	2	6
57	так что	4	6
58	в то	3	6
59	и для	3	6
60	и на	14	6
61	мы можем	2	6
62	несмотря на	4	6
63	тогда как	4	6
64	что с	2	6
65	как на	2	6
66	с ним	2	6
67	и от	2	5
68	его в	9	5
69	но все	3	5
70	должно быть	2	5
71	к этому	7	5
72	в которой	3	5
73	на все	3	5
74	и их	4	5
75	из них	12	5
76	что это	4	5
77	по своему	2	5
78	у него	2	5
79	что все	2	5
80	далеко не	5	5
81	но в	5	5
82	именно в	3	5
83	и с	12	5
84	и к	3	5
85	в целом	2	5
86	между двумя	2	5
87	в его	3	5
88	других народов	2	5
89	как будто	6	5
90	быть и	3	5
91	и то	2	4
92	мы должны	3	4
93	всех этих	2	4
94	тем не	3	4
95	и у	5	4
96	ее и	2	4
97	та же	4	4
98	то же	6	4
99	в их	5	4
100	том же	6	4
101	в области	3	4
102	а с	6	4
103	одним из	2	4
104	в виде	10	4
105	в течение	7	4
106	между собой	4	4
107	что для	4	4
108	с тем	14	4
109	в в	3	4
110	этом случае	9	4
111	из которых	2	4
112	в народе	2	4
113	связи с	6	4
114	в таком	5	4
115	в дальнейшем	2	4
116	народ и	2	4
117	хотя и	3	4
118	мы уже	2	4
119	данном случае	8	3
120	представление о	5	3
121	вопрос о	4	3
122	это не	14	3
123	что если	2	3
124	и потому	3	3
125	что по	7	3
126	и до	3	3
127	на земле	3	3
128	в настоящее	3	3
129	в тех	5	3
130	каждый из	3	3
131	но даже	2	3
132	которые не	3	3
133	настоящее время	3	3
134	очевидно что	2	3
135	с этой	2	3
136	в этих	3	3
137	и других	9	3
138	в связи	4	3
139	и наконец	2	3
140	как у	2	3
141	у нас	11	3
142	прежде всего	2	3
143	отличие от	4	3
144	жизнь и	2	3
145	в разных	3	3
146	образом в	2	3
147	как известно	2	3
148	одно из	6	3
149	в жизни	2	3
150	но не	7	3
151	очень много	2	3
152	рассматриваться как	2	3
153	и это	2	3
154	в данном	7	3
155	на этой	3	3
156	а в	16	3
157	в нем	3	3
158	в ней	3	3
159	основаны на	2	3
160	тогда когда	4	3
161	для нас	12	3
162	же не	2	3
163	с в	12	3
164	в эти	4	3
165	было бы	3	3
166	и по	10	3
167	таким же	4	3
168	ничего общего	3	3
169	только одно	2	3
170	случаях когда	2	3
171	во всем	2	3
172	в нашем	2	3
173	же как	5	3
174	тот же	2	3
175	как мы	11	3
176	чем в	4	3
177	одна из	12	2
178	нет в	2	2
179	то и	4	2
180	независимо от	3	2
181	а к	3	2
182	к ним	4	2
183	и ее	3	2
184	то время	3	2
185	и поэтому	3	2
186	что она	4	2
187	по происхождению	3	2
188	то есть	3	2
189	из нее	2	2
190	свою очередь	2	2
191	но если	2	2
192	борьбы с	2	2
193	на каждом	3	2
194	друг друга	3	2
195	должен быть	2	2
196	как не	2	2
197	к тем	4	2
198	не будут	2	2
199	на первый	3	2
200	в виду	3	2
201	не было	3	2
202	следовательно и	2	2
203	он должен	2	2
204	в частности	2	2
205	по его	2	2
206	что они	8	2
207	такой же	3	2
208	в один	2	2
209	и из	3	2
210	в одно	2	2
211	показывают что	3	2
212	только тогда	3	2
213	мы видели	3	2
214	что такие	2	2
215	свой народ	2	2
216	на нее	5	2
217	есть в	2	2
218	от них	4	2
219	том чтобы	3	2
220	и так	2	2
221	представления об	2	2
222	в эту	3	2
223	не имеет	9	2
224	можно встретить	2	2
225	для этой	3	2
226	что у	3	2
227	тому что	4	2
228	к нему	3	2
229	она не	4	2
230	в котором	2	2
231	их в	7	2
232	и там	2	2
233	ту же	2	2
234	в своих	3	2
235	в свою	3	2
236	этот вопрос	4	2
237	к другу	2	2
238	о них	2	2
239	что на	5	2
240	в которых	8	2
241	и начало	2	2
242	между прочим	2	2
243	на этом	6	2
244	и те	3	2
245	отнюдь не	3	2
246	по этому	4	2
247	в них	10	2
248	ко всему	2	2
249	так чтобы	2	2
250	друг к	2	2
251	и некоторые	3	2
252	а затем	5	2
253	них в	2	2
254	народов европы	2	2
255	с ними	6	2
256	но вместе	3	2
257	говорить о	2	2
258	себя и	2	2
259	не более	2	2
260	и его	2	2
261	сходство с	3	2
262	которого в	2	2
263	во всей	2	2
264	и более	3	2
265	что эти	2	2
266	этого слова	3	2
267	все в	2	2
268	имеет место	3	2
269	к таким	4	2
