N	2gram	Vinokur_St	VeschiIm
1	т е	21	81
2	и не	23	57
3	не только	36	48
4	то что	27	48
5	не может	10	46
6	и в	61	45
7	может быть	16	39
8	и т	36	39
9	т д	25	38
10	а не	19	37
11	значит что	3	32
12	что я	3	26
13	потому что	13	25
14	было бы	21	24
15	не просто	2	24
16	в себе	3	23
17	что она	5	23
18	по себе	3	23
19	только в	11	23
20	сказать что	9	22
21	и что	8	22
22	что такое	2	20
23	как бы	8	20
24	с нею	3	19
25	что это	5	19
26	но и	28	19
27	что же	6	19
28	есть только	2	18
29	все же	12	18
30	в этом	37	18
31	и это	4	17
32	прежде всего	11	17
33	так как	7	17
34	что мы	5	17
35	того что	14	16
36	таким образом	16	16
37	как раз	10	16
38	в том	56	15
39	как и	11	15
40	в ней	9	15
41	не в	15	14
42	и то	6	14
43	но это	9	14
44	том что	49	13
45	это и	5	13
46	и для	4	13
47	в самом	14	13
48	то ни	2	13
49	ничего не	6	12
50	но если	5	12
51	совершенно не	7	12
52	что в	41	12
53	точки зрения	16	12
54	что и	8	12
55	что они	9	12
56	и как	2	12
57	то же	7	12
58	еще не	4	12
59	и даже	8	12
60	о том	30	12
61	и с	6	12
62	не значит	3	12
63	бы то	2	12
64	еще и	5	11
65	в то	10	11
66	не менее	8	11
67	что не	3	11
68	вовсе не	24	11
69	тем не	4	11
70	д и	2	11
71	и их	3	11
72	и пр	4	11
73	также и	10	11
74	ни в	5	11
75	и только	3	11
76	крайней мере	2	10
77	в чем	4	10
78	что оно	4	10
79	по крайней	2	10
80	ясно что	10	10
81	это не	8	9
82	нисколько не	3	9
83	со стороны	7	9
84	так что	8	9
85	в своем	8	9
86	она не	3	9
87	бы и	4	9
88	хотя бы	8	9
89	бы в	2	9
90	в результате	5	9
91	у нас	12	9
92	на то	5	9
93	но не	5	9
94	ни с	3	9
95	но что	2	9
96	говорить о	3	9
97	и его	11	9
98	в отношении	11	8
99	его в	4	8
100	и потому	3	8
101	даже не	5	8
102	что он	23	8
103	но в	16	8
104	в ее	6	8
105	мы не	3	8
106	все это	13	8
107	должна быть	3	8
108	можно сказать	2	8
109	что значит	2	8
110	мы имеем	2	8
111	отличается от	2	8
112	если бы	11	8
113	с тем	3	8
114	для него	10	8
115	с другой	11	8
116	тут не	3	8
117	не потому	3	7
118	с именем	2	7
119	и тем	3	7
120	из них	11	7
121	самом деле	14	7
122	а в	18	7
123	можно ли	5	7
124	все эти	7	7
125	в сущности	2	7
126	е в	3	7
127	я не	13	7
128	то не	3	7
129	тем что	6	7
130	вообще не	5	7
131	с этой	5	7
132	ни на	3	7
133	оно не	3	7
134	и тогда	2	7
135	без всякого	2	7
136	никогда не	7	6
137	в каком	4	6
138	вопрос о	9	6
139	для себя	3	6
140	ведь и	3	6
141	и все	3	6
142	так или	3	6
143	а если	2	6
144	в нем	9	6
145	должны быть	4	6
146	и до	2	6
147	в своей	12	6
148	и вообще	5	6
149	в данном	16	6
150	можно было	14	6
151	дело в	9	6
152	с полной	2	6
153	на почве	2	6
154	или иначе	3	6
155	этот вопрос	6	6
156	их в	2	6
157	несмотря на	4	6
158	в той	9	6
159	жизни и	6	6
160	с точки	10	6
161	в одном	7	6
162	да и	4	5
163	как к	3	5
164	должен быть	3	5
165	вместе с	5	5
166	себе в	2	5
167	как это	6	5
168	того же	4	5
169	даже и	2	5
170	и без	4	5
171	между прочим	10	5
172	то это	3	5
173	мы находим	4	5
174	на себя	3	5
175	в его	19	5
176	в каком-то	2	5
177	хотя и	4	5
