N	2gram	Vygotskiy_	Stilisti
1	и в	47	42
2	как бы	13	30
3	не только	36	28
4	прежде всего	9	22
5	и т.д	4	21
6	внутренней речи	78	18
7	то же	16	16
8	но и	19	16
9	и не	27	14
10	не может	23	13
11	может быть	20	13
12	как и	19	12
13	точки зрения	39	11
14	что мы	14	11
15	мы уже	5	11
16	в себе	14	10
17	и как	7	10
18	ситуации и	3	10
19	отнюдь не	2	10
20	мы должны	7	10
21	в этом	47	10
22	как мы	24	10
23	в то	10	9
24	для того	24	9
25	все же	7	9
26	то что	40	9
27	при этом	4	9
28	мы не	10	9
29	тем самым	14	8
30	ничего не	2	8
31	так как	25	8
32	и это	2	8
33	с тем	8	8
34	в ней	5	8
35	что же	3	8
36	таким образом	38	8
37	никогда не	7	7
38	и от	6	7
39	в которой	16	7
40	мы можем	7	7
41	зависимости от	6	7
42	и той	5	7
43	так и	8	7
44	потому что	26	7
45	слов и	6	7
46	только в	24	7
47	а не	7	7
48	и на	4	7
49	того чтобы	26	7
50	в зависимости	6	7
51	было бы	12	7
52	и его	14	7
53	той же	13	7
54	и тем	10	7
55	одно и	3	6
56	или иной	2	6
57	когда мы	2	6
58	бы в	7	6
59	во всех	9	6
60	не в	7	6
61	в области	5	6
62	язык в	2	6
63	точку зрения	4	6
64	в конце	5	6
65	речи и	36	6
66	в нем	6	6
67	в свою	3	6
68	в процессе	12	6
69	на его	3	6
70	в его	7	6
71	слова в	7	6
72	в этой	7	6
73	с помощью	18	6
74	и то	10	5
75	все время	3	5
76	в сознании	11	5
77	и следовательно	8	5
78	в нашем	6	5
79	связанных с	2	5
80	внутренняя речь	17	5
81	слова и	10	5
82	не является	4	5
83	и наконец	4	5
84	и их	7	5
85	самом деле	6	5
86	как это	7	5
87	а с	3	5
88	мы видели	10	5
89	но все	2	5
90	и является	5	5
91	тому что	14	5
92	а в	3	5
93	но в	9	5
94	в самом	15	5
95	и с	5	5
96	уже в	3	5
97	в той	7	5
98	с точки	31	5
99	же самое	12	5
100	в живом	3	5
101	вместе с	19	5
102	что это	7	4
103	слово не	4	4
104	в одном	4	4
105	так же	26	4
106	внешней речи	18	4
107	само собой	2	4
108	вопроса о	2	4
109	его в	7	4
110	если бы	8	4
111	лишь в	3	4
112	были бы	5	4
113	свою очередь	3	4
114	слова как	5	4
115	у нас	3	4
116	того что	27	4
117	которой мы	2	4
118	всего в	2	4
119	самого начала	13	4
120	можно было	7	4
121	мы показали	2	4
122	один из	3	4
123	одной и	5	4
124	и все	5	4
125	в каждом	3	4
126	с самого	13	4
127	к тому	13	4
128	о том	5	4
129	что такое	2	4
130	точка зрения	2	4
131	если мы	6	4
132	и к	11	4
133	речь и	5	4
134	в целом	7	4
135	мы называем	2	4
136	языка и	6	4
137	мы видим	10	4
138	во внутренней	4	4
139	той или	2	4
140	все это	5	4
141	в качестве	9	4
142	заключает в	2	4
143	можно сказать	9	4
144	в слове	11	4
145	и без	2	4
146	тем же	8	4
147	сказать что	18	3
148	на самом	3	3
149	внешней речью	3	3
150	мы ни	2	3
151	слово и	10	3
152	и развития	3	3
153	это не	6	3
154	слова но	3	3
155	том что	28	3
156	нуждается в	5	3
157	в начале	6	3
158	внутреннюю речь	12	3
159	но для	2	3
160	перед нами	3	3
161	словом и	10	3
162	внешняя речь	3	3
163	деятельности и	4	3
164	о своем	2	3
165	внутренней и	2	3
166	об этом	4	3
167	и слово	4	3
168	и даже	3	3
169	этого слова	5	3
170	от того	6	3
171	и здесь	5	3
