N	2gram	Vinokur_Vv	VLabPisa
1	таким образом	21	32
2	в этом	35	29
3	не только	26	26
4	и в	35	26
5	и т	45	25
6	может быть	30	23
7	хотя бы	6	20
8	и не	13	20
9	т е	40	18
10	не может	19	17
11	т д	39	16
12	в том	38	15
13	в его	12	15
14	этом отношении	4	14
15	в силу	3	14
16	прежде всего	10	13
17	все это	6	13
18	в частности	3	12
19	как это	5	12
20	в качестве	8	12
21	что в	13	11
22	с другой	8	11
23	из них	4	11
24	то же	11	10
25	не могут	6	10
26	но и	7	10
27	и др	2	10
28	о том	16	10
29	по этому	3	10
30	к этому	3	9
31	об этом	6	9
32	т п	5	9
33	в своем	3	8
34	том что	30	8
35	не следует	3	8
36	на основании	5	8
37	могут быть	6	8
38	другой стороны	5	8
39	все эти	3	8
40	было бы	7	8
41	только в	16	8
42	вместе с	6	8
43	это не	8	7
44	из этих	9	7
45	во всех	2	7
46	по отношению	4	7
47	то что	19	7
48	отношению к	4	7
49	тому что	2	7
50	как и	7	7
51	в нем	13	7
52	в конечном	3	7
53	этому поводу	3	7
54	не было	2	7
55	говорит о	3	7
56	а не	5	7
57	произведения и	2	7
58	не в	10	6
59	в то	6	6
60	в себе	4	6
61	все же	9	6
62	том же	2	6
63	так и	2	6
64	один из	6	6
65	в зависимости	3	6
66	и его	6	6
67	бы и	3	6
68	между тем	10	6
69	никогда не	3	5
70	сказать что	6	5
71	в одном	4	5
72	в результате	4	5
73	зависимости от	3	5
74	работы над	6	5
75	в их	12	5
76	одним из	5	5
77	и при	2	5
78	к тому	4	5
79	как бы	7	5
80	в них	5	5
81	в целом	5	5
82	следует понимать	2	5
83	связи с	3	5
84	вот почему	3	5
85	же время	6	5
86	и есть	3	5
87	одна из	3	4
88	и ее	4	4
89	только что	4	4
90	в виду	5	4
91	это только	4	4
92	что он	5	4
93	по существу	2	4
94	с тем	6	4
95	должен быть	4	4
96	в самом	13	4
97	как раз	4	4
98	в ее	11	4
99	познания и	2	4
100	в своей	4	4
101	в связи	2	4
102	них не	2	4
103	можно сказать	4	4
104	в этой	3	4
105	из его	2	4
106	чем же	3	4
107	например в	2	3
108	при помощи	3	3
109	и к	3	3
110	с этим	3	3
111	мы имеем	4	3
112	так же	3	3
113	но как	2	3
114	например что	3	3
115	этот процесс	4	3
116	бы в	2	3
117	в форме	2	3
118	в значительной	3	3
119	в конце	3	3
120	его в	6	3
121	и как	9	3
122	тому как	2	3
123	если бы	3	3
124	это делает	2	3
125	подобно тому	2	3
126	как он	6	3
127	него в	2	3
128	значительной мере	2	3
129	как о	4	3
130	для того	23	3
131	у нас	2	3
132	как на	12	3
133	того что	12	3
134	так называемые	2	3
135	мы видели	3	3
136	этот вопрос	7	3
137	имеет свою	2	3
138	а в	6	3
139	или меньшей	3	3
140	в котором	4	3
141	именно в	8	3
142	точки зрения	12	3
143	даже и	4	3
144	в которых	6	3
145	в работе	3	3
146	что оно	2	3
147	между ними	3	3
148	большей или	3	3
149	что не	5	3
150	жизни и	2	3
151	того чтобы	22	3
152	что и	5	3
153	этой области	3	3
154	что они	2	3
155	в слове	3	3
156	вовсе не	6	3
157	да и	4	2
158	или иной	3	2
159	образом по	2	2
160	и потому	2	2
161	до нас	3	2
162	как например	6	2
163	еще и	4	2
164	обычно и	2	2
165	отношении что	3	2
166	то это	3	2
167	другом месте	2	2
168	о чем	4	2
169	одной стороны	4	2
170	крайней мере	4	2
171	можно было	8	2
172	этого рода	9	2
173	могут не	2	2
174	который по	2	2
175	в каждом	4	2
176	при всей	2	2
177	должно быть	2	2
178	что она	3	2
179	в другом	3	2
180	а во-вторых	2	2
181	что нет	2	2
182	и даже	6	2
183	от того	3	2
184	вообще и	3	2
185	от характера	4	2
186	конце концов	2	2
187	единого и	2	2
188	связана с	4	2
189	а как	5	2
190	в особенности	4	2
191	конечном итоге	3	2
192	в области	4	2
193	у них	2	2
194	понятно что	3	2
195	еще не	4	2
196	после этого	2	2
197	в течение	5	2
198	по крайней	4	2
199	в известной	3	2
200	в чем	4	2
201	сих пор	7	2
202	с одной	4	2
203	после того	2	2
204	же самое	3	2
205	что даже	3	2
206	заключается в	4	2
207	то о	2	2
208	не с	3	2
209	одной из	4	2
210	так например	6	2
211	том чтобы	6	2
212	но не	9	2
213	и для	4	2
214	искусства и	2	2
215	ни с	2	2
216	стороны и	3	2
217	также и	20	2
218	не менее	9	2
219	только с	4	2
220	но в	10	2
221	следует что	2	2
222	каждой из	6	2
223	на то	2	2
224	в общем	14	2
225	могло бы	2	2
226	что такое	12	2
227	зависит от	3	2
228	не вполне	4	2
229	в своих	2	2
230	ни одна	2	2
231	себе и	2	2
232	в ней	3	2
233	и заключается	4	2
234	будто бы	2	2
235	на вопрос	6	2
236	для которых	3	2
237	том отношении	3	2
238	труда и	2	2
239	этой точки	2	2
240	на этом	3	2
241	тогда когда	4	2
242	из которых	3	2
243	он и	2	2
244	не столько	2	2
245	что мы	2	2
246	смысле слова	7	2
247	представить себе	7	2
248	по себе	11	2
249	всяком случае	5	2
250	для них	2	2
251	внимание на	5	2
252	действительность в	4	2
253	как об	9	2
254	а затем	2	2
255	же как	3	2
256	он сам	3	2
257	говорить о	5	2
258	по его	2	2
259	только о	2	2
260	е в	4	2
261	и сам	3	2
262	должна быть	2	2
263	в различных	5	2
264	но с	5	2
265	в большей	7	2
266	хотя и	5	2
267	во всяком	5	2
268	до сих	7	2
269	того как	3	2
