N	3gram	Trubetskoy	Literetu
1	в то же	2	21
2	то же время	2	21
3	в том что	16	21
4	по отношению к	11	12
5	с одной стороны	2	12
6	в данном случае	3	11
7	не может быть	4	11
8	о том что	4	10
9	так или иначе	5	10
10	с точки зрения	8	8
11	с другой стороны	4	7
12	к тому же	5	6
13	тем не менее	4	5
14	в связи с	3	5
15	бы то ни	3	4
16	то ни было	3	4
17	и то что	3	4
18	во всяком случае	2	3
19	на самом деле	7	3
20	в самом деле	5	3
21	на то что	7	3
22	ничего общего с	2	3
23	в целом ряде	3	3
24	в том же	3	3
25	в свою очередь	2	3
26	что же касается	2	2
27	для того чтобы	7	2
28	только то что	2	2
29	в этом случае	4	2
30	а с другой	2	2
31	лишь тогда когда	2	2
32	а и в	7	2
33	вместе с тем	3	2
