N	2gram	Tiupa_Disk	VrazhdaK
1	в году	3	18
2	не только	36	9
3	и что	2	8
4	в этом	29	8
5	и в	27	8
6	что в	8	7
7	но и	22	7
8	и все	5	7
9	то что	10	7
10	но в	15	6
11	как и	27	6
12	в котором	7	6
13	в начале	2	6
14	в нем	16	6
15	и с	2	6
16	о нем	3	6
17	все же	8	6
18	и даже	4	6
19	и не	25	5
20	не было	9	5
21	об этом	3	5
22	то же	12	5
23	в то	8	5
24	же время	9	5
25	между тем	5	5
26	уже в	2	4
27	целый ряд	2	4
28	в своих	6	4
29	это не	5	4
30	в виду	2	4
31	все это	2	4
32	при этом	22	4
33	о том	12	4
34	в ней	2	4
35	как бы	9	4
36	х годов	2	4
37	что он	6	4
38	в истории	5	4
39	может быть	29	4
40	человека в	6	3
41	в том	29	3
42	в чем	2	3
43	одним из	2	3
44	далеко не	10	3
45	и во	2	3
46	в своем	11	3
47	том что	27	3
48	в его	9	3
49	и о	4	3
50	и его	4	3
51	и как	9	3
52	в русской	4	3
53	он не	4	3
54	речь идет	2	3
55	связи с	4	3
56	записки охотника	2	3
57	к этому	4	3
58	русской литературе	2	3
59	с его	9	3
60	тем что	4	3
61	никогда не	3	2
62	и то	4	2
63	в них	6	2
64	уже не	7	2
65	в мире	9	2
66	к ним	3	2
67	и т.п	18	2
68	место в	2	2
69	нашего времени	2	2
70	в той	2	2
71	для него	9	2
72	и это	3	2
73	с точки	3	2
74	а в	5	2
75	а также	15	2
76	он сам	2	2
77	в этой	5	2
78	тогда как	28	2
79	столь же	6	2
80	его с	2	2
81	в своей	10	2
82	но как	2	2
83	и он	2	2
84	в себе	22	2
85	еще не	20	2
86	точки зрения	6	2
87	о чем	4	2
88	это в	4	2
89	таким образом	4	2
90	и ее	5	2
91	в период	2	2
92	в момент	2	2
93	отношения к	2	2
94	время и	2	2
95	в свою	3	2
96	их в	2	2
97	не может	17	2
98	о романе	2	2
99	из них	6	2
100	этот человек	2	2
101	не менее	6	2
102	там же	3	2
103	но это	3	2
104	к себе	2	2
105	отнюдь не	11	2
106	а с	8	2
107	вместе с	3	2
108	отношение к	6	2
