N	2gram	Berdyaev_N	KulturaY
1	и в	16	84
2	в том	8	74
3	потому что	4	68
4	не только	5	60
5	в этом	7	57
6	и не	11	52
7	может быть	7	47
8	том что	2	44
9	того чтобы	2	44
10	что в	9	44
11	хотя бы	2	37
12	а не	17	33
13	можно было	2	32
14	не в	6	30
15	прежде всего	4	30
16	и пр	3	30
17	не менее	4	28
18	все эти	2	28
19	уже не	2	26
20	не может	16	25
21	то что	4	25
22	вопрос о	3	24
23	еще не	3	24
24	с другой	3	24
25	так и	2	23
26	но и	3	20
27	и что	2	20
28	но в	2	19
29	о том	4	19
30	все это	5	18
31	к тому	3	18
32	с тем	3	18
33	и с	2	18
34	вместе с	2	18
35	это не	4	17
36	как это	2	17
37	другой стороны	2	17
38	в русском	2	16
39	но не	2	16
40	а в	2	15
41	должно быть	4	15
42	лишь в	6	15
43	ни к	2	15
44	том чтобы	2	15
45	не было	4	15
46	в них	4	14
47	хотя и	2	14
48	я не	2	14
49	сказать что	3	14
50	что такое	3	14
51	и на	2	14
52	в ней	5	14
53	это и	2	13
54	по существу	2	13
55	что она	2	13
56	для этого	2	12
57	как в	3	12
58	могут быть	2	12
59	должен быть	5	11
60	должна быть	3	11
61	в нем	5	11
62	он не	8	11
63	так же	2	10
64	в то	2	10
65	как и	7	10
66	с этим	2	10
67	этом смысле	2	10
68	конечно не	3	10
69	xix века	5	9
70	что все	2	9
71	и для	4	9
72	в своей	3	9
73	но это	6	9
74	не имеет	4	9
75	ни в	6	9
76	но для	2	9
77	мы говорим	2	9
78	и есть	10	9
79	с одной	2	8
80	с его	6	8
81	не есть	3	8
82	и потому	4	7
83	не знает	6	7
84	она не	3	7
85	одной стороны	2	7
86	когда мы	2	7
87	в истории	3	7
88	и должно	2	7
89	есть в	2	7
90	есть лишь	4	7
91	не значит	3	7
92	в себе	2	6
93	роль в	2	6
94	в ее	3	6
95	как будто	2	6
96	за пределы	3	6
97	мы не	2	6
98	никогда не	6	5
99	и к	5	5
100	в духе	3	5
101	по своему	4	5
102	смысле слова	3	5
103	и от	2	5
104	и даже	2	5
105	как не	8	5
106	у него	2	5
107	на протяжении	2	5
108	все они	2	4
109	в наши	3	4
110	не имеют	2	4
111	быть в	2	4
112	и все	4	4
113	и было	2	4
114	же как	2	4
115	вот почему	2	4
116	это есть	7	4
117	ли это	2	4
118	такой же	2	4
119	формы и	2	4
120	том и	2	4
121	наше время	4	4
122	не к	2	4
123	в смысле	2	4
124	и это	2	4
125	помнить что	2	3
126	в наше	3	3
127	наряду с	3	3
128	в россии	3	3
129	который в	2	3
130	и мы	4	3
131	все время	2	3
132	к ним	3	3
133	в одну	2	3
134	но она	2	3
135	нет и	2	3
136	мысли и	2	3
137	к жизни	3	3
138	эпохи и	4	3
139	с их	2	3
140	наши дни	3	3
141	будет уже	2	3
142	ведь и	2	2
143	культуры в	5	2
144	большую роль	4	2
145	не могла	2	2
146	в обществе	2	2
147	для чего	2	2
148	жизни и	8	2
149	думать что	2	2
150	революции и	3	2
151	одна из	2	2
152	может уже	2	2
153	я уже	2	2
154	это было	3	2
155	еще до	2	2
156	от всякого	2	2
157	не означает	3	2
158	время как	2	2
159	в жизни	5	2
160	и творчества	2	2
161	не будет	7	2
162	равно как	2	2
163	зависит от	2	2
164	перейти к	3	2
165	лицом к	3	2
166	тому как	3	2
167	связана с	2	2
