N	2gram	Nazirov_Vr	Tragedij
1	и в	8	18
2	петра верховенского	2	17
3	в романе	6	10
4	в бесах	10	9
5	в году	18	9
6	в этом	8	9
7	не только	9	8
8	и не	5	7
9	достоевский в	8	7
10	петр верховенский	3	7
11	он сам	2	7
12	как бы	4	7
13	и с	6	7
14	может быть	4	7
15	же время	5	6
16	что он	4	6
17	но в	6	6
18	и его	3	6
19	у него	5	6
20	несмотря на	4	5
21	у достоевского	4	5
22	все же	6	5
23	это не	4	5
24	то же	5	5
25	как и	6	5
26	не может	2	5
27	в то	5	5
28	что в	7	4
29	еще не	2	4
30	но и	7	4
31	об этом	5	4
32	том что	3	4
33	в этой	2	4
34	и что	8	4
35	так же	4	4
36	и все	7	4
37	все это	4	4
38	в нем	6	4
39	что я	2	4
40	то что	7	4
41	достоевский не	3	4
42	но это	2	4
43	что достоевский	4	4
44	я не	3	4
45	и даже	6	4
46	в себе	2	4
47	и как	3	3
48	в мире	2	3
49	уже в	4	3
50	в своем	3	3
51	при этом	4	3
52	в его	3	3
53	сам достоевский	3	3
54	достоевского в	7	3
55	ставрогина и	3	3
56	и он	2	3
57	отнюдь не	2	3
58	о чем	2	3
59	достоевский уже	3	3
60	для него	2	3
61	в конце	3	3
62	с ним	4	3
63	никогда не	2	2
64	и дети	2	2
65	и то	2	2
66	одна из	2	2
67	тем что	3	2
68	и детей	4	2
69	его в	3	2
70	в письмах	2	2
71	как же	2	2
72	что князь	3	2
73	о том	4	2
74	роман достоевского	2	2
75	столь же	2	2
76	он не	3	2
77	и ее	2	2
78	уже не	2	2
79	по мнению	2	2
80	и это	2	2
81	права на	2	2
82	в том	3	2
83	году в	2	2
84	в глазах	2	2
85	отцы и	2	2
86	ставрогина он	3	2
87	не мог	2	2
88	с его	3	2
89	он был	3	2
90	в это	2	2
91	отношение к	2	2
