N	2gram	Propp_Isto	KFilosof
1	может быть	19	45
2	в его	4	42
3	в нем	12	32
4	не может	19	29
5	и не	12	28
6	и в	41	28
7	по отношению	3	26
8	в котором	3	24
9	отношению к	3	22
10	в себе	3	21
11	и его	11	18
12	только в	10	18
13	в своем	3	17
14	в ее	3	17
15	а не	9	17
16	в этом	19	15
17	не в	12	13
18	точки зрения	4	13
19	но не	8	12
20	и это	9	12
21	к нему	8	12
22	ни в	4	12
23	в своей	4	11
24	во всех	8	11
25	все эти	8	11
26	это не	14	10
27	в целом	2	10
28	все это	9	10
29	и есть	2	10
30	в их	4	9
31	для нее	2	9
32	но и	20	9
33	как бы	8	9
34	и все	6	9
35	если бы	3	8
36	не было	3	8
37	со стороны	3	8
38	быть только	2	8
39	жизни и	3	8
40	было бы	4	8
41	и здесь	13	7
42	должен быть	2	7
43	то что	12	7
44	уже не	8	7
45	конечно не	2	7
46	и только	4	7
47	что и	13	7
48	во всем	2	7
49	вовсе не	6	7
50	ее и	2	6
51	отношение к	6	6
52	но эта	2	6
53	в том	14	6
54	но все	5	6
55	не имеет	6	6
56	и действительно	4	6
57	но это	5	6
58	он не	8	6
59	никогда не	16	5
60	от его	2	5
61	его в	7	5
62	все же	14	5
63	я могу	2	5
64	не только	30	5
65	мы имеем	27	5
66	но как	4	5
67	его как	2	5
68	то же	12	5
69	еще не	13	5
70	не знает	2	5
71	а в	12	5
72	но в	7	5
73	как и	8	5
74	именно в	2	5
75	что я	2	5
76	в одном	2	5
77	там где	7	5
78	с ним	9	5
79	в основе	2	5
80	что это	6	4
81	тем самым	3	4
82	нет в	2	4
83	том что	18	4
84	что в	21	4
85	не по	2	4
86	прежде всего	6	4
87	в чем	5	4
88	здесь мы	11	4
89	к ним	3	4
90	мира и	2	4
91	для нас	8	4
92	с ними	2	4
93	при этом	7	4
94	из него	3	4
95	должна быть	3	4
96	как его	2	4
97	ничего не	7	3
98	в то	6	3
99	от него	6	3
100	здесь не	4	3
101	всех этих	6	3
102	этого мира	2	3
103	в другом	2	3
104	от того	4	3
105	тем что	11	3
106	и тем	4	3
107	та же	5	3
108	для того	2	3
109	в современной	2	3
110	где он	3	3
111	себе и	3	3
112	и тот	3	3
113	и пр	2	3
114	для этой	2	3
115	не менее	5	3
116	независимо от	3	3
117	о том	15	3
118	не могу	2	3
119	мы здесь	3	3
120	что этот	4	3
121	в ней	4	3
122	меня и	2	3
123	вступает в	4	3
124	могут быть	3	3
125	но для	3	3
126	и этим	7	3
127	тогда когда	3	3
128	здесь нет	4	3
129	но здесь	5	3
130	и на	12	3
131	что не	3	3
132	на своем	4	3
133	того что	7	3
134	мы не	10	3
135	и делает	2	3
136	из его	2	3
137	меня в	2	3
138	но конечно	2	3
139	тот же	2	3
140	ясно что	2	3
141	и то	3	2
142	кажется что	7	2
143	ее как	2	2
144	я его	3	2
145	к которой	2	2
146	в данном	8	2
147	его к	2	2
148	его с	2	2
149	его на	2	2
150	же с	2	2
151	и ее	6	2
152	и эта	5	2
153	к этому	5	2
154	дело не	5	2
155	вопрос о	6	2
156	в это	3	2
157	к себе	4	2
158	тем не	4	2
159	и как	3	2
160	если я	2	2
161	в виде	5	2
162	а как	2	2
163	и других	2	2
164	в области	3	2
165	а с	3	2
166	что он	29	2
167	из которых	3	2
168	нами в	2	2
169	всех его	2	2
170	так и	8	2
171	всех других	2	2
172	в жизни	2	2
173	с тем	8	2
174	вытекает из	2	2
175	как в	17	2
176	от этого	2	2
177	думать что	3	2
178	в него	4	2
179	тому что	2	2
180	можно ли	2	2
181	она не	3	2
182	дело с	2	2
183	и она	3	2
184	он может	4	2
185	но есть	5	2
186	оно не	2	2
187	имеем в	8	2
188	а по	2	2
189	он имеет	2	2
190	если не	4	2
191	нечто вроде	4	2
192	он и	3	2
193	один из	7	2
194	что за	3	2
195	него и	5	2
196	по себе	2	2
197	потому что	13	2
198	и под	3	2
199	действительно ли	2	2
200	не будет	6	2
201	где его	2	2
202	которой он	3	2
203	этим не	2	2
204	сводится к	3	2
205	и когда	2	2
206	и эти	5	2
207	именно на	2	2
208	в качестве	5	2
209	в этой	2	2
210	с его	4	2
