N	3gram	Vygotskiy_	Freidism
1	с точки зрения	11	15
2	не может быть	3	14
3	в самом деле	29	10
4	в том что	20	9
5	во всяком случае	6	8
6	как мы видели	2	8
7	мы знаем что	2	6
8	с самого начала	10	5
9	сам по себе	2	4
10	мы увидим что	9	4
11	в данном случае	5	4
12	на самом деле	3	4
13	в свою очередь	3	4
14	все то что	13	3
15	мы не можем	2	3
16	мы уже знаем	2	3
17	и той же	3	3
18	о том что	8	3
19	для того чтобы	17	3
20	только то что	3	3
21	а вовсе не	2	3
22	к тому чтобы	4	3
23	до сих пор	6	3
24	одной и той	3	3
25	что все эти	2	3
26	мы видели что	2	3
27	то же самое	12	2
28	ни в каком	2	2
29	том что он	3	2
30	к тому что	5	2
31	ни в какой	2	2
32	все тот же	2	2
33	вовсе не в	2	2
34	то что мы	3	2
35	том что она	3	2
36	заключается в том	10	2
37	мы могли бы	4	2
38	с одной стороны	6	2
39	и может быть	3	2
40	смысл и значение	2	2
41	говорить о том	3	2
42	в таком виде	2	2
43	это и есть	2	2
