N	2gram	Nazirov_Vr	Vladivir
1	и в	8	116
2	то что	7	71
3	и не	5	67
4	в году	18	65
5	не только	9	65
6	у него	5	65
7	в этом	8	53
8	в том	3	52
9	том что	3	51
10	что в	7	48
11	но и	7	47
12	в конце	3	41
13	в его	3	40
14	и с	6	39
15	и даже	6	36
16	там же	2	35
17	что он	4	32
18	не может	2	31
19	о том	4	30
20	никогда не	2	29
21	для него	2	29
22	а в	2	27
23	не было	5	26
24	в то	5	25
25	но в	6	25
26	в себе	2	25
27	и то	2	25
28	и его	3	25
29	а также	2	24
30	точки зрения	2	23
31	может быть	4	23
32	он не	3	23
33	он был	3	22
34	об этом	5	22
35	в своей	2	21
36	вместе с	2	21
37	в своем	3	20
38	для нас	4	20
39	и что	8	20
40	м м	2	19
41	не менее	2	19
42	как раз	2	19
43	в те	3	19
44	таким образом	2	19
45	как и	6	18
46	с его	3	18
47	не мог	2	18
48	в этой	2	17
49	в письме	5	17
50	уже не	2	16
51	все же	6	16
52	а н	2	16
53	и все	7	16
54	в котором	6	16
55	года он	3	16
56	письме к	4	15
57	в эти	2	15
58	в связи	3	15
59	но это	2	15
60	к этому	3	15
61	несмотря на	4	15
62	то же	5	15
63	в своих	4	15
64	уже в	4	14
65	и как	3	14
66	так же	4	13
67	и у	3	12
68	в нем	6	12
69	связи с	3	12
70	и это	2	12
71	и о	3	11
72	я не	3	11
73	при этом	4	11
74	все это	4	11
75	на то	3	11
76	о нем	6	10
77	в ней	4	10
78	в истории	4	10
79	в россии	5	10
80	еще не	2	10
81	отнюдь не	2	10
82	года в	7	10
83	с точки	2	10
84	с ним	4	10
85	это не	4	9
86	но как	2	9
87	о чем	2	9
88	мы знаем	2	9
89	а с	2	9
90	а никольский	2	9
91	в начале	6	9
92	же время	5	9
93	отношения к	2	9
94	но он	3	9
95	отношение к	2	8
96	в петербург	3	8
97	марта года	3	8
98	в чем	3	8
99	как бы	4	8
100	и он	2	8
101	в этот	3	8
102	в париже	3	8
103	тем что	3	8
104	после смерти	2	8
105	в это	2	8
106	который был	3	7
107	при помощи	2	7
108	же в	2	7
109	эти годы	2	7
110	на первый	2	7
111	в них	2	7
112	его в	3	6
113	том же	2	6
114	в виду	4	6
115	его на	2	6
116	в в	2	6
117	летом года	4	6
118	тем более	2	6
119	по мнению	2	6
120	году в	2	6
121	он пишет	2	6
122	он сам	2	6
123	в период	2	6
124	начиная с	2	5
125	место в	2	5
126	во время	2	5
127	во многом	4	5
128	в россию	4	5
129	он писал	2	5
130	что я	2	5
131	далеко не	3	5
132	что у	3	5
133	те годы	2	5
134	в свою	2	5
135	с которым	2	5
136	из них	2	5
137	наряду с	3	4
138	после этого	2	4
139	время он	2	4
140	так в	2	4
141	и во	3	4
142	относился к	3	4
143	чтобы он	3	4
144	в петербургском	2	4
145	об этой	2	4
146	ноября года	2	4
147	в январе	3	4
148	их в	2	4
149	и стал	2	4
150	в ноябре	2	4
151	о которой	2	4
152	время и	2	3
153	и ее	2	3
154	александра ii	5	3
155	же как	2	3
156	европы №	2	3
157	это в	2	3
158	за границей	2	3
159	в вестнике	4	3
160	апреля года	3	3
161	одним из	3	3
162	мая года	2	3
163	он считал	4	3
164	что есть	3	3
165	в мире	2	3
166	вестнике европы	4	3
167	письмо к	2	3
168	что к	2	3
169	человека в	3	2
170	у достоевского	4	2
171	одна из	2	2
172	к себе	2	2
173	и а	2	2
174	в момент	2	2
175	рядом с	2	2
176	ноябре года	2	2
177	ответ на	2	2
178	же не	2	2
179	этот момент	2	2
180	имел в	3	2
181	в нашей	2	2
182	на это	2	2
183	но после	2	2
184	февраля года	4	2
185	январе года	3	2
186	его и	2	2
187	в глазах	2	2
188	человека с	2	2
189	я хотел	3	2
190	приехал в	2	2
191	в русской	3	2
192	году и	2	2
193	в той	2	2
194	и уже	3	2
