N	2gram	Savitsky_P	Myshleni
1	в том	9	195
2	в этом	10	167
3	то что	4	166
4	и в	14	162
5	том что	4	161
6	точки зрения	3	143
7	что в	4	119
8	не только	17	116
9	того что	2	109
10	потому что	3	95
11	может быть	5	89
12	с точки	3	89
13	не может	4	81
14	для того	3	78
15	и не	12	78
16	только в	7	75
17	но и	6	70
18	заключается в	3	67
19	в его	2	67
20	как бы	4	64
21	в качестве	9	60
22	было бы	6	60
23	то же	9	58
24	в отношении	10	55
25	что мы	3	53
26	в силу	2	53
27	по сравнению	2	51
28	мы должны	4	50
29	мы не	3	47
30	если бы	4	46
31	но не	3	45
32	с другой	5	45
33	тем самым	3	43
34	с тем	3	43
35	одной стороны	3	40
36	с одной	3	39
37	в области	11	38
38	не в	5	37
39	и к	4	37
40	в своем	4	36
41	а не	2	36
42	в себе	3	35
43	и как	3	34
44	прежде всего	3	33
45	по себе	4	33
46	именно в	2	32
47	но в	9	32
48	и тем	2	32
49	между тем	3	29
50	могут быть	3	29
51	переход от	2	28
52	с этим	2	28
53	в то	7	27
54	и с	2	27
55	в частности	2	26
56	все это	2	25
57	это не	3	25
58	тот же	3	24
59	в нем	3	24
60	в смысле	6	24
61	в сфере	2	24
62	столь же	3	22
63	в котором	4	20
64	и других	2	20
65	а в	4	20
66	должно быть	2	20
67	из них	2	20
68	как раз	2	20
69	не менее	2	20
70	как на	2	19
71	во всех	2	19
72	во всей	2	18
73	и есть	2	17
74	которую мы	2	16
75	для нас	2	16
76	в которых	5	16
77	тем более	2	15
78	является в	2	15
79	в начале	2	15
80	хотя бы	8	15
81	и это	2	15
82	в них	2	15
83	в виде	2	13
84	отнюдь не	2	13
85	если в	2	13
86	стороны и	2	13
87	и потому	4	12
88	в ее	2	12
89	никак не	2	12
90	в ней	6	12
91	еще более	2	12
92	друг другу	2	11
93	есть не	2	11
94	например в	2	11
95	в пределах	8	11
96	наряду с	3	11
97	не столько	2	11
98	есть в	2	11
99	отношения к	2	11
100	вслед за	3	10
101	том числе	2	10
102	хотя и	3	9
103	говорить о	2	9
104	со стороны	2	8
105	главным образом	2	8
106	в эту	2	8
107	отношении к	5	8
108	с ними	3	7
109	а также	4	7
110	в общем	2	7
111	же в	4	7
112	в жизни	2	7
113	в значительной	2	7
114	из важнейших	2	7
115	заключает в	2	6
116	к началу	2	6
117	в тот	2	6
118	точек зрения	2	6
119	и о	5	6
120	одна из	2	6
121	нужно было	2	6
122	и мы	2	6
123	к чему	2	6
124	слова но	2	5
125	для них	2	5
126	сами по	3	5
127	в ряду	2	5
128	есть нечто	2	5
129	и вот	2	4
130	на пути	4	4
131	время в	2	4
132	думать что	2	4
133	и если	4	4
134	быть может	6	4
135	не к	2	4
136	большей степени	4	4
137	гораздо большей	4	4
138	сказывается в	2	4
139	может ли	2	4
140	в гораздо	4	4
141	не было	2	4
142	она есть	3	3
143	значительной мере	2	3
144	но к	2	3
145	только это	2	3
146	в порядке	3	3
147	и без	3	3
148	может и	2	3
149	что из	2	3
150	сводится к	3	3
151	одних и	2	3
152	своем значении	2	3
153	по характеру	2	3
154	в проблеме	2	3
155	теперь в	2	3
156	да и	2	3
157	но также	4	3
158	и пр	5	3
159	же время	7	3
160	с с	2	2
161	пути в	2	2
162	в которую	2	2
163	более чем	2	2
164	именно как	2	2
165	которое в	2	2
166	исключительно в	2	2
167	для тех	2	2
168	в мире	2	2
169	на этих	2	2
170	и т	3	2
171	мысль о	2	2
172	образом на	2	2
173	не нужно	2	2
174	х и	2	2
175	бы ни	2	2
