N	3gram	Losev_Dial	Stilisti
1	в то же	7	9
2	то же время	8	7
3	в зависимости от	2	7
4	и то же	8	5
5	с точки зрения	18	5
6	одно и то	8	5
7	с самого начала	2	4
8	то же самое	3	4
9	той или иной	4	4
10	то или иное	4	4
11	в конце концов	4	3
12	на самом деле	3	3
13	не только в	2	3
14	но все же	2	3
15	и не только	4	2
16	в связи с	3	2
17	что иное как	4	2
18	только потому что	4	2
19	в самом деле	3	2
20	в этом отношении	2	2
21	не было бы	2	2
22	к тому что	3	2
23	можно сказать что	6	2
24	и в то	3	2
25	есть не что	3	2
26	на первый взгляд	2	2
27	о том что	6	2
28	или хотя бы	2	2
29	связи с этим	2	2
30	не что иное	4	2
31	не может быть	4	2
