N	2gram	Losev_Vesc	Problemy
1	и в	44	106
2	и не	57	90
3	как бы	19	70
4	может быть	37	66
5	т е	79	59
6	в его	5	56
7	в этом	17	52
8	в нем	6	51
9	не может	44	49
10	что он	7	44
11	как и	15	44
12	но и	19	40
13	точки зрения	10	40
14	для него	8	39
15	и его	4	39
16	а не	34	38
17	не только	48	36
18	то же	12	36
19	то что	47	33
20	но в	8	33
21	прежде всего	17	32
22	в то	11	29
23	все это	7	29
24	он не	4	29
25	и все	6	28
26	не в	14	27
27	в одном	6	27
28	к другому	3	27
29	к себе	4	26
30	же время	4	26
31	к нему	3	25
32	в сущности	7	25
33	с точки	6	25
34	и т	37	25
35	в самом	13	25
36	и с	11	25
37	самом деле	7	24
38	не как	2	24
39	с самим	4	24
40	вовсе не	11	24
41	слова и	7	23
42	и на	2	23
43	таким образом	16	22
44	что я	26	22
45	по себе	22	22
46	как мы	6	21
47	никогда не	5	20
48	все же	18	20
49	потому что	25	20
50	только в	23	20
51	что в	11	19
52	с его	2	19
53	слова в	2	19
54	что же	17	19
55	в себе	23	18
56	все эти	5	18
57	уже не	15	18
58	еще не	12	18
59	но не	9	18
60	это не	9	17
61	в том	15	17
62	так и	4	17
63	а в	6	17
64	самим собою	2	17
65	с ним	8	17
66	так же	4	16
67	в другом	3	16
68	если бы	8	16
69	в своей	6	16
70	этом смысле	2	16
71	и для	13	15
72	у него	3	15
73	в отношении	7	14
74	так как	17	14
75	в своем	9	14
76	в конце	3	14
77	я не	7	14
78	и сам	3	14
79	он и	2	14
80	себя самого	4	14
81	как раз	16	14
82	его в	8	13
83	перед нами	3	13
84	и это	17	13
85	в целом	3	13
86	себя и	8	13
87	с другими	8	13
88	на него	3	13
89	но все	3	13
90	точка зрения	5	13
91	том что	13	12
92	слово в	2	12
93	ничего не	12	12
94	так что	9	12
95	к тому	3	12
96	что и	11	12
97	было бы	24	12
98	во всяком	4	12
99	но это	14	12
100	и даже	12	12
101	и как	12	12
102	как в	3	12
103	себе и	2	12
104	отношении к	4	12
105	в котором	4	12
106	и что	22	12
107	у меня	3	12
108	слово и	4	11
109	конце концов	2	11
110	она не	9	11
111	так чтобы	4	11
112	бы и	9	11
113	он сам	2	11
114	должно быть	8	11
115	бы в	9	11
116	а я	3	11
117	тем что	7	11
118	сознания и	2	11
119	или как	3	11
120	с другой	8	11
121	их в	6	11
122	мы уже	3	11
123	как будто	2	11
124	к одному	3	10
125	отношение к	4	10
126	для себя	6	10
127	что не	11	10
128	ведь и	6	10
129	я сам	3	10
130	как не	2	10
131	лишь как	2	10
132	далеко не	2	10
133	в самой	3	10
134	приводит к	2	10
135	той же	2	10
136	с собою	6	10
137	в слове	2	10
138	и потому	8	9
139	или в	3	9
140	раз и	2	9
141	хотя и	5	9
142	да и	5	9
143	другой стороны	3	9
144	хотя бы	9	9
145	друг с	2	9
146	что у	5	9
147	ни в	11	9
148	всяком случае	2	9
149	в той	6	9
150	но он	2	9
151	мы должны	5	8
152	но как	3	8
153	уже в	2	8
154	никак не	7	8
155	как к	5	8
156	это и	12	8
157	и о	4	8
158	того что	16	8
159	здесь не	2	8
160	несмотря на	6	8
161	а что	2	8
162	же не	4	8
163	с ними	4	8
164	и до	6	8
165	не на	2	8
166	должна быть	8	8
167	из его	2	8
168	и от	4	8
169	что это	18	8
170	он есть	2	8
171	знает и	2	8
172	ни было	12	8
