N	3gram	Losev_Vlad	Istorich
1	и т д	3	142
2	с другой стороны	3	46
3	мы знаем что	2	26
4	в том что	13	25
5	не может быть	4	24
6	тем не менее	8	23
7	вместе с тем	2	23
8	точно так же	2	22
9	о том что	9	22
10	не только в	3	19
11	в связи с	7	17
12	после того как	2	15
13	на то что	6	14
14	мы увидим ниже	4	13
15	в то время	6	13
16	то время как	2	13
17	что иное как	2	11
18	не что иное	2	11
19	что и в	2	10
20	более или менее	5	9
21	как мы увидим	2	9
22	что у него	2	8
23	и то что	7	8
24	во всяком случае	8	7
25	что он не	3	7
26	но это не	2	6
27	к тому же	3	6
28	так как он	2	6
29	для того чтобы	3	5
30	то что он	6	5
31	том что в	3	5
32	в том чтобы	4	5
33	нам кажется что	2	4
34	между прочим и	2	4
35	в это время	5	4
36	можно сказать что	3	4
37	так или иначе	3	4
38	бы то ни	2	3
39	дело в том	7	3
40	в связи со	2	3
41	мы сейчас увидим	2	3
42	за то что	2	3
43	и тот же	2	3
44	мы хотели бы	3	3
45	по этому поводу	2	3
46	в ответ на	2	3
47	не в том	3	3
48	один и тот	2	3
49	и в конце	2	2
50	от своего отца	2	2
51	и в том	2	2
52	он не только	2	2
53	и потому что	3	2
54	из них не	2	2
55	хотя и не	2	2
56	это конечно не	2	2
57	на первый план	4	2
58	том что он	4	2
59	то обстоятельство что	2	2
60	главным образом в	2	2
61	в свою очередь	2	2
62	в тех же	2	2
63	хотя бы на	2	2
64	а в том	3	2
