N	3gram	Vygotskiy_	Literetu
1	в то же	2	21
2	то же время	2	21
3	в том что	21	21
4	с одной стороны	6	12
5	в отличие от	4	11
6	не может быть	14	11
7	состоит в том	3	11
8	в конечном счете	6	10
9	о том что	9	10
10	в этом отношении	7	10
11	с точки зрения	12	8
12	с другой стороны	7	7
13	подобно тому как	7	6
14	едва ли не	2	6
15	тем не менее	6	5
16	этой точки зрения	7	5
17	с этой точки	5	5
18	в связи с	2	5
19	при этом как	2	5
20	в том чтобы	9	5
21	бы то ни	2	4
22	и то что	3	4
23	и т п	23	3
24	во всяком случае	7	3
25	то же самое	8	3
26	на самом деле	6	3
27	то что я	2	3
28	в самом деле	13	3
29	только в том	4	3
30	на то что	12	3
31	в области искусства	2	3
32	в целом ряде	2	3
33	и в частности	2	3
34	в одном из	2	3
35	в свою очередь	3	3
36	тех пор пока	2	2
37	для того чтобы	11	2
38	в отношении к	3	2
39	только то что	2	2
40	при этом не	2	2
41	в первый раз	2	2
42	не только не	4	2
43	и в самом	3	2
44	к тому что	2	2
45	можно было бы	2	2
46	вместе с тем	3	2
47	до тех пор	2	2
48	тех или иных	2	2
