N	3gram	Propp_Isto	Vladivir
1	в том что	4	29
2	о том что	5	22
3	тем не менее	6	18
4	и то что	3	14
5	в то время	3	13
6	в связи с	6	12
7	не может быть	6	10
8	вместе с тем	7	10
9	то что он	2	9
10	на то что	3	8
11	это значит что	2	7
12	в это время	2	7
13	точно так же	3	7
14	в данном случае	2	6
15	как мы видели	2	6
16	с другой стороны	10	6
17	то время как	3	5
18	ничего не говорит	2	5
19	не только в	2	5
20	что и в	3	5
21	мы увидим ниже	4	4
22	с одной стороны	7	4
23	для того чтобы	3	4
24	и т д	36	4
25	и вместе с	3	4
26	в том чтобы	2	4
27	в том числе	3	3
28	но это не	2	3
29	не в том	2	3
30	мы знаем что	8	3
31	но вместе с	4	2
32	и то же	2	2
33	если бы мы	3	2
34	после того как	4	2
35	так и в	2	2
36	так же как	10	2
37	мы не будем	3	2
38	до сих пор	7	2
39	как мы увидим	4	2
40	совершенно так же	3	2
41	одно и то	2	2
42	так как в	3	2
43	и тем не	2	2
44	так как он	2	2
45	в этом случае	13	2
46	мы уже видели	2	2
47	что у него	2	2
