N	2gram	Bakhtin_Fr	VrazhdaK
1	в году	13	18
2	не только	24	9
3	в этом	22	8
4	и в	105	8
5	что в	4	7
6	но и	20	7
7	и все	7	7
8	то что	7	7
9	но в	16	6
10	как и	15	6
11	в начале	4	6
12	в нем	16	6
13	и с	8	6
14	о нем	4	6
15	все же	10	6
16	в романе	8	6
17	и даже	10	6
18	и не	34	5
19	не было	3	5
20	об этом	2	5
21	то же	6	5
22	в то	5	5
23	же время	5	5
24	у него	2	5
25	между тем	5	5
26	для нас	5	4
27	уже в	5	4
28	целый ряд	2	4
29	несмотря на	5	4
30	во многом	3	4
31	в своих	8	4
32	это не	4	4
33	в виду	5	4
34	все это	16	4
35	при этом	10	4
36	о том	5	4
37	в ней	7	4
38	как бы	33	4
39	так же	2	4
40	что он	5	4
41	в истории	5	4
42	с ним	6	4
43	может быть	11	4
44	и у	7	3
45	в том	17	3
46	в чем	2	3
47	одним из	4	3
48	его в	7	3
49	который был	3	3
50	далеко не	6	3
51	и во	6	3
52	в своем	11	3
53	том что	9	3
54	в его	24	3
55	в связи	2	3
56	и о	4	3
57	раз в	4	3
58	и его	24	3
59	и как	2	3
60	он был	3	3
61	он не	3	3
62	связи с	5	3
63	к этому	2	3
64	но он	5	3
65	на то	2	3
66	наряду с	2	3
67	в конце	3	3
68	с его	9	3
69	тем что	5	3
70	никогда не	11	2
71	с нею	2	2
72	в них	13	2
73	уже не	3	2
74	одна из	5	2
75	и т.п	26	2
76	начиная с	2	2
77	место в	4	2
78	в него	2	2
79	в той	5	2
80	для него	12	2
81	и это	3	2
82	с точки	6	2
83	а в	4	2
84	в этой	11	2
85	в своей	8	2
86	как раз	3	2
87	он пишет	2	2
88	же в	4	2
89	но как	3	2
90	и он	3	2
91	в себе	7	2
92	еще не	8	2
93	точки зрения	10	2
94	о чем	3	2
95	это в	5	2
96	таким образом	5	2
97	во время	14	2
98	году в	3	2
99	отношения к	5	2
100	на это	2	2
101	так в	4	2
102	их в	3	2
103	рядом с	9	2
104	в эту	6	2
105	не может	9	2
106	и образы	4	2
107	очень хорошо	2	2
108	из них	7	2
109	в это	2	2
110	не менее	2	2
111	его на	2	2
112	там же	2	2
113	но это	5	2
114	к себе	3	2
115	этот момент	3	2
116	отношение к	9	2
