N	3gram	Bakhtin_Fr	DiskursI
1	в том что	8	28
2	в отличие от	3	26
3	с одной стороны	2	14
4	не может быть	4	12
5	в данном случае	4	12
6	то же время	14	10
7	о том что	5	9
8	в то же	14	8
9	в этом отношении	7	8
10	с точки зрения	5	6
11	к тому же	3	6
12	то же самое	3	5
13	и как бы	2	5
14	подобно тому как	2	5
15	с другой стороны	2	5
16	дело в том	4	5
17	и прежде всего	4	4
18	до известной степени	4	4
19	можно сказать что	4	4
20	существенную роль в	3	4
21	то есть в	4	3
22	можно говорить о	2	3
23	более или менее	2	3
24	в том числе	6	3
25	также и в	2	3
26	том числе и	3	3
27	в одной из	2	3
28	точки зрения на	2	2
29	как мы видели	4	2
30	все то что	5	2
31	а также и	4	2
32	в большинстве случаев	5	2
33	но и в	3	2
34	с самого начала	3	2
35	и в то	3	2
36	включает в себя	2	2
37	здесь как и	2	2
38	как и все	5	2
