N	3gram	Propp_Isto	Vladivir
1	в том что	8	29
2	о том что	3	22
3	тем не менее	6	18
4	и то что	4	14
5	в то время	2	13
6	во всяком случае	2	12
7	в связи с	5	12
8	содержит в себе	2	11
9	к тому же	4	11
10	не может быть	4	10
11	на то что	4	8
12	точно так же	8	7
13	в данном случае	6	6
14	том что в	2	6
15	как мы видели	7	6
16	с другой стороны	10	6
17	то время как	2	5
18	не только в	3	5
19	что и в	3	5
20	мы увидим ниже	3	4
21	можно сказать что	2	4
22	не что иное	6	4
23	можно было бы	2	4
24	с одной стороны	2	4
25	что иное как	6	4
26	и т д	30	4
27	мы видели выше	2	3
28	между прочим и	2	3
29	не только не	2	3
30	мы знаем что	8	3
31	мы имеем не	2	2
32	мы уже знаем	3	2
33	после того как	3	2
34	так же как	7	2
35	мы не будем	2	2
36	до сих пор	7	2
37	как мы увидим	2	2
38	совершенно так же	4	2
39	есть не что	2	2
40	в этом случае	8	2
41	это и есть	2	2
42	мы уже видели	3	2
43	независимо от того	2	2
