N	2gram	Propp_Isto	VrazhdaK
1	не только	17	9
2	и что	13	8
3	в этом	20	8
4	и в	44	8
5	что в	18	7
6	но и	16	7
7	и все	4	7
8	то что	16	7
9	но в	7	6
10	как и	12	6
11	в котором	2	6
12	в нем	10	6
13	и с	8	6
14	о нем	3	6
15	все же	17	6
16	и даже	4	6
17	и не	19	5
18	не было	2	5
19	об этом	6	5
20	то же	9	5
21	в то	5	5
22	у него	7	5
23	для нас	6	4
24	уже в	4	4
25	целый ряд	4	4
26	несмотря на	3	4
27	в своих	4	4
28	это не	8	4
29	все это	4	4
30	при этом	4	4
31	о том	11	4
32	в ней	8	4
33	как бы	4	4
34	так же	14	4
35	что он	29	4
36	в истории	7	4
37	с ним	9	4
38	может быть	31	4
39	человека в	5	3
40	т е	27	3
41	и у	3	3
42	в том	13	3
43	одним из	4	3
44	его в	17	3
45	что у	6	3
46	и уже	2	3
47	в своем	3	3
48	том что	12	3
49	в его	16	3
50	в связи	6	3
51	и о	2	3
52	и его	15	3
53	и как	5	3
54	в этот	2	3
55	он был	2	3
56	в русской	8	3
57	он не	5	3
58	связи с	10	3
59	к этому	5	3
60	но он	2	3
61	чтобы он	3	3
62	на то	3	3
63	что есть	2	3
64	наряду с	7	3
65	с его	3	3
66	тем что	12	3
67	никогда не	5	2
68	и то	5	2
69	в них	3	2
70	уже не	14	2
71	одна из	6	2
72	к ним	2	2
73	в него	5	2
74	для него	2	2
75	при помощи	11	2
76	и это	5	2
77	мы знаем	12	2
78	а в	9	2
79	человека с	2	2
80	а также	5	2
81	в этой	5	2
82	его с	3	2
83	в нашей	2	2
84	в своей	3	2
85	же в	3	2
86	но как	2	2
87	и он	9	2
88	еще не	16	2
89	точки зрения	3	2
90	о чем	6	2
91	же как	12	2
92	после этого	3	2
93	таким образом	21	2
94	во время	12	2
95	его и	2	2
96	на место	2	2
97	в свою	3	2
98	так в	5	2
99	после смерти	3	2
100	их в	7	2
101	не может	10	2
102	из них	4	2
103	в это	3	2
104	не менее	6	2
105	его на	5	2
106	и стал	2	2
107	там же	2	2
108	но это	10	2
109	к себе	3	2
110	с которым	3	2
111	а с	2	2
112	не мог	3	2
113	этот момент	2	2
114	вместе с	26	2
115	отношение к	3	2
