N	2gram	Kanaev_Sov	Russkaja
1	не может	17	22
2	и не	6	19
3	в том	4	17
4	в этом	7	17
5	с другом	2	14
6	и в	7	14
7	друг с	2	14
8	точки зрения	12	11
9	то же	3	11
10	таким образом	11	11
11	не только	4	9
12	может быть	12	9
13	в себе	3	9
14	с точки	5	9
15	во всяком	2	9
16	прежде всего	5	8
17	мы должны	4	7
18	отнюдь не	3	7
19	самом деле	2	7
20	и к	3	6
21	всяком случае	2	6
22	все это	3	6
23	вопрос о	4	5
24	или иной	2	5
25	а в	4	5
26	было бы	3	5
27	из которых	2	5
28	между собой	3	5
29	при этом	3	5
30	в нем	3	5
31	он должен	2	5
32	что в	2	4
33	все же	3	4
34	не могут	2	4
35	не в	3	4
36	как и	6	4
37	как бы	4	4
38	приводит к	2	4
39	так как	4	4
40	что же	5	4
41	и т.д	3	4
42	которой он	2	4
43	жизни и	4	4
44	в его	2	4
45	то ни	2	4
46	точку зрения	4	4
47	в этой	3	4
48	вместе с	4	4
49	одна из	3	3
50	что все	2	3
51	что это	2	3
52	но мы	3	3
53	из этих	2	3
54	она может	2	3
55	ни одна	2	3
56	и потому	3	3
57	в конце	3	3
58	из них	4	3
59	в самом	2	3
60	знаем что	2	3
61	может не	3	3
62	и во	2	3
63	говорить о	2	3
64	и по	2	3
65	еще не	3	3
66	в виде	2	3
67	с этим	2	2
68	на этой	3	2
69	но в	3	2
70	не подлежит	3	2
71	что такое	2	2
72	их в	4	2
73	в настоящее	2	2
74	уже не	2	2
75	в некоторых	2	2
76	в результате	6	2
77	настоящее время	2	2
78	отличается от	3	2
79	и даже	2	2
80	а не	3	2
81	для нас	3	2
82	мы можем	6	2
83	не можем	7	2
84	к чему	2	2
85	и что	2	2
86	все эти	5	2
87	совершенно не	2	2
88	и наконец	5	2
89	в таком	2	2
90	и есть	2	2
91	в области	3	2
92	если же	2	2
93	быть и	2	2
94	у него	2	2
95	ясно что	3	2
