N	2gram	Bakhtin_Pr	Freidism
1	и не	66	34
2	таким образом	22	34
3	точки зрения	36	31
4	не может	31	30
5	и пр	3	29
6	может быть	38	28
7	и в	59	28
8	в этом	40	28
9	прежде всего	17	26
10	в его	44	25
11	и его	21	22
12	мы можем	3	20
13	как бы	40	19
14	как мы	10	18
15	то что	21	17
16	вовсе не	13	16
17	так как	11	15
18	точка зрения	14	15
19	с точки	21	15
20	все эти	12	15
21	самом деле	9	14
22	так и	13	14
23	в своей	17	14
24	с ним	13	14
25	во всех	8	13
26	и все	4	13
27	но в	7	13
28	как и	21	13
29	по отношению	17	13
30	точку зрения	9	12
31	и потому	9	12
32	том что	15	12
33	то же	15	12
34	что он	16	12
35	мы видели	3	12
36	ни в	5	12
37	в самом	19	12
38	и наконец	5	12
39	для него	23	12
40	все это	12	12
41	сказать что	9	11
42	его в	6	11
43	отношению к	17	11
44	только в	15	11
45	никогда не	19	10
46	и с	10	10
47	все те	2	10
48	за пределы	10	10
49	не только	26	10
50	но и	22	10
51	не в	10	10
52	он не	11	10
53	в том	17	10
54	мы уже	4	10
55	все что	6	10
56	один из	4	10
57	что же	5	10
58	тот же	4	10
59	конечно не	7	10
60	мы должны	6	9
61	могут быть	5	9
62	к этому	6	9
63	те же	3	9
64	совершенно не	2	9
65	к нему	13	9
66	в чем	2	9
67	уже не	14	9
68	и на	15	9
69	мы не	3	9
70	а не	30	9
71	во всяком	5	9
72	с его	14	9
73	все же	9	8
74	с этим	2	8
75	было бы	10	8
76	и вот	4	8
77	еще не	11	8
78	с другими	11	8
79	а в	9	8
80	в ней	8	8
81	всяком случае	3	8
82	при этом	5	8
83	в каком	2	7
84	так сказать	8	7
85	не могут	6	7
86	до конца	11	7
87	в жизни	7	7
88	в то	15	7
89	в себе	9	7
90	что в	14	7
91	и ее	5	7
92	хотя бы	5	7
93	и для	5	7
94	отношение к	4	7
95	роль в	2	7
96	я и	2	7
97	не является	2	7
98	того что	4	7
99	на протяжении	3	7
100	и у	6	7
101	его жизни	2	7
102	но не	13	7
103	что все	5	7
104	более того	5	7
105	с самого	3	7
106	об этом	4	7
107	в нем	38	7
108	и к	5	7
109	из них	8	7
110	и прежде	2	7
111	сознания с	3	7
112	жизни и	21	7
113	в этой	5	7
114	одно из	2	6
115	на самом	5	6
116	для этого	4	6
117	в высшей	2	6
118	мы имеем	2	6
119	из этих	2	6
120	в человеке	15	6
121	человека и	2	6
122	всех этих	3	6
123	сознания и	9	6
124	не менее	3	6
125	для того	3	6
126	в таком	2	6
127	и только	2	6
128	и о	5	6
129	в пределах	13	6
130	она не	9	6
131	можно сказать	3	6
132	чем же	2	6
133	сознанием и	2	6
134	зрения на	12	6
135	большинстве случаев	3	6
136	здесь в	3	6
137	как раз	9	6
138	и что	2	6
139	высшей степени	2	6
140	же время	10	6
141	в основе	6	6
142	по поводу	2	5
143	ничего не	8	5
144	со стороны	6	5
145	что она	6	5
146	с их	9	5
147	в которой	6	5
148	можем сказать	2	5
149	и по	4	5
150	другими словами	2	5
151	от того	4	5
152	потому и	2	5
153	между ними	4	5
154	в этих	5	5
155	как это	2	5
156	что может	2	5
157	не знает	5	5
158	самого начала	4	5
159	конечно и	5	5
160	что и	10	5
161	ее в	2	5
162	тому что	3	5
163	далеко не	3	5
164	в своих	5	5
165	в большинстве	3	5
166	сознание и	7	5
167	только то	3	5
168	это не	13	5
169	той же	7	5
170	в процессе	4	5
171	того чтобы	5	5
172	не было	5	5
173	в ее	4	5
174	с ними	3	5
175	он сам	9	5
176	и до	5	5
177	говорить о	3	5
178	заключается в	3	5
179	в себя	3	5
180	вместе с	2	5
181	данном случае	3	4
182	человека в	8	4
183	одна из	4	4
184	в мир	4	4
185	с которыми	2	4
186	все время	4	4
187	его к	4	4
188	так же	10	4
189	подхода к	2	4
190	нисколько не	2	4
191	но это	7	4
192	в области	3	4
193	мысли и	5	4
194	с ее	5	4
195	в этот	2	4
196	на него	4	4
197	этом отношении	7	4
198	если бы	12	4
199	это вовсе	2	4
200	именно и	2	4
201	в виду	2	4
202	в основном	2	4
203	нигде не	6	4
204	но ведь	4	4
205	это как	2	4
206	у него	9	4
207	как в	10	4
208	в своем	12	4
209	только с	2	4
210	и оно	2	4
211	органическое единство	2	4
212	а только	3	4
213	в котором	6	4
214	потому что	20	4
215	именно в	8	4
216	о себе	12	4
217	а потому	4	4
218	этот вопрос	3	4
219	что оно	2	4
220	и т.п	8	4
221	выражение в	6	4
222	из тех	3	4
223	по себе	13	4
224	из которого	2	4
225	в целом	8	4
226	нет и	4	4
227	зависимости от	5	4
228	по ту	2	4
229	ту сторону	2	4
230	отметить что	2	4
231	в зависимости	5	4
232	мы и	2	4
233	себя и	4	4
234	то ни	3	4
235	это и	10	4
236	войти в	2	4
237	в истории	3	4
238	в данном	3	4
239	слова и	2	4
240	я не	7	4
241	не дает	4	4
242	конечно в	2	3
243	и от	3	3
244	и притом	3	3
245	все то	5	3
246	бы он	3	3
247	о них	2	3
248	в сознании	4	3
249	жизни в	3	3
250	выйти за	3	3
251	в результате	6	3
252	борьба с	2	3
253	к себе	2	3
254	сознания это	2	3
255	и даже	4	3
256	и как	10	3
257	этот принцип	3	3
258	как не	9	3
259	нам важно	3	3
260	а как	8	3
261	ни один	5	3
262	одним из	11	3
263	у нас	2	3
264	и со	3	3
265	или как	5	3
266	как на	4	3
267	всем этим	2	3
268	себе и	3	3
269	же мы	2	3
270	сих пор	3	3
271	в какой	2	3
272	в искусстве	2	3
273	не поддается	3	3
274	и следовательно	7	3
275	к человеку	3	3
276	на этот	2	3
277	не так	3	3
278	ни на	2	3
279	о том	5	3
280	они не	5	3
281	в совершенно	2	3
282	оно может	2	3
283	на почве	5	3
284	все его	4	3
285	оно не	2	3
286	остается в	2	3
287	их в	8	3
288	на себя	3	3
289	но для	2	3
290	ответ на	2	3
291	приводит к	4	3
292	и становится	2	3
293	и этим	2	3
294	в объективном	2	3
295	разобраться в	2	3
296	в одном	14	3
297	что мы	2	3
298	в них	5	3
299	уже в	9	3
300	к сознанию	2	3
301	себя в	5	3
302	сознания в	2	3
303	на это	2	3
304	для них	3	3
305	раз и	4	3
306	со всею	3	3
307	находится в	2	3
308	мы видим	5	3
309	человека является	2	3
310	не совсем	2	3
311	в условиях	4	3
312	мир в	4	3
313	и есть	6	3
314	и сам	5	3
315	есть только	5	3
316	во всей	2	3
317	переходим к	2	3
318	них не	2	3
319	в нашем	3	3
320	до сих	3	3
321	между тем	5	3
322	представляется нам	2	3
323	себе самом	9	3
324	бы то	3	3
325	да и	3	2
326	принципиально не	2	2
327	для самого	2	2
328	в книге	4	2
329	лежат в	2	2
330	как ее	2	2
331	в отношении	3	2
332	вопрос о	4	2
333	не исчерпывается	3	2
334	следовательно и	2	2
335	или иной	3	2
336	внешнего мира	3	2
337	точками зрения	4	2
338	но эти	2	2
339	к этим	2	2
340	его с	2	2
341	не входит	3	2
342	в одной	9	2
343	по преимуществу	3	2
344	для своего	2	2
345	бы и	6	2
346	должно быть	4	2
347	бы в	7	2
348	превращается в	4	2
349	и через	2	2
350	это было	3	2
351	не как	15	2
352	его целом	8	2
353	ибо не	3	2
354	в науке	2	2
355	его и	4	2
356	отличается от	3	2
357	в отличие	3	2
358	в конце	9	2
359	и смерти	7	2
360	как к	3	2
361	есть и	2	2
362	для себя	5	2
363	или же	2	2
364	друг друга	10	2
365	этого сознания	2	2
366	нужно сказать	2	2
367	из всего	2	2
368	конце концов	7	2
369	и самое	4	2
370	и тем	2	2
371	все они	4	2
372	в их	5	2
373	другого человека	4	2
374	относится и	2	2
375	если и	2	2
376	только для	2	2
377	в прошлое	2	2
378	ни было	4	2
379	но именно	5	2
380	и другие	4	2
381	а именно	4	2
382	ничем не	2	2
383	для нас	3	2
384	в момент	4	2
385	что значит	2	2
386	всей его	2	2
387	жизни а	2	2
388	отличие от	3	2
389	сознание не	2	2
390	его не	2	2
391	должна быть	4	2
392	а с	4	2
393	образом в	2	2
394	о нем	16	2
395	для понимания	5	2
396	в мире	10	2
397	эти три	2	2
398	от этого	2	2
399	не имеет	2	2
400	относится к	2	2
401	значение для	2	2
402	не есть	2	2
403	говорить об	2	2
404	за пределами	2	2
405	же что	5	2
406	с другой	3	2
407	все остальное	2	2
408	правда в	2	2
409	и старается	3	2
410	личной жизни	2	2
411	они и	3	2
412	он в	3	2
413	заметить что	2	2
414	только при	3	2
415	не укладывается	2	2
416	социальной жизни	2	2
417	входит в	11	2
418	на которой	2	2
419	но все	8	2
420	а его	3	2
421	он и	9	2
422	внешний мир	2	2
423	которые он	3	2
424	является для	2	2
425	этом смысле	12	2
426	не позволяет	2	2
427	жизнь в	2	2
428	от других	2	2
429	тогда когда	2	2
430	художественной формы	6	2
431	из которых	3	2
432	и их	7	2
433	но как	4	2
434	подходе к	2	2
435	смысл и	2	2
436	идеи и	2	2
437	же основной	2	2
438	ли он	2	2
439	там где	12	2
440	же как	5	2
441	и уже	3	2
442	и во	2	2
443	мир по	2	2
444	могли бы	3	2
445	проникнуть в	2	2
446	в первом	3	2
447	отношения к	4	2
448	как его	2	2
449	в дальнейшем	2	2
450	опоры для	2	2
451	если же	3	2
452	выходит за	2	2
453	рядом с	16	2
454	мира в	6	2
455	ведь только	2	2
456	на языке	2	2
457	отсюда и	2	2
458	у самого	3	2
459	мы остановимся	3	2
460	художественный образ	2	2
