N	3gram	Vygotskiy_	Tvorches
1	и т д	6	17
2	в том что	20	11
3	о том что	8	8
4	не может быть	3	6
5	и т п	7	5
6	в самом деле	29	5
7	в наше время	2	5
8	с точки зрения	11	4
9	с самого начала	10	4
10	до сих пор	6	4
11	точно так же	3	3
12	это значит что	2	3
13	с другой стороны	5	3
14	сами по себе	3	3
15	во всяком случае	6	3
16	что он не	4	2
17	на самом деле	3	2
18	и в конце	2	2
19	потому что он	3	2
20	для того чтобы	17	2
21	та же самая	3	2
22	не то что	4	2
23	мы уже говорили	4	2
24	вместе с тем	3	2
25	заключается в том	10	2
26	так же как	2	2
27	в данном случае	5	2
28	и что в	2	2
29	только то что	3	2
30	и та же	3	2
31	и в самом	15	2
32	к тому же	2	2
33	что у него	2	2
34	в свою очередь	3	2
35	и в другом	2	2
