N	3gram	Losev_Vesc	Tvorches
1	в то же	5	25
2	то же время	4	24
3	и т д	36	17
4	в том что	9	11
5	о том что	4	8
6	и в то	3	7
7	не может быть	22	6
8	в самом деле	7	5
9	по крайней мере	10	4
10	с точки зрения	6	4
11	дело в том	4	4
12	это значит что	25	3
13	с другой стороны	3	3
14	сами по себе	3	3
15	во всяком случае	2	3
16	тем не менее	11	2
17	не только в	5	2
18	для того чтобы	2	2
19	содержит в себе	11	2
20	можно сказать что	3	2
21	в другом смысле	2	2
22	вместе с тем	3	2
23	заключается в том	3	2
24	в конце концов	2	2
25	так же как	2	2
26	как бы ни	2	2
27	в данном случае	2	2
28	только то что	3	2
29	а не то	2	2
30	все же не	3	2
31	не потому что	5	2
32	в свою очередь	5	2
