N	3gram	Berdyaev_M	Formalny
1	не может быть	22	29
2	по отношению к	4	12
3	и не может	2	9
4	для того чтобы	4	8
5	до сих пор	5	8
6	вместе с тем	5	8
7	в высшей степени	4	7
8	может быть и	2	6
9	с тем что	3	6
10	в том что	3	6
11	прежде всего в	2	5
12	в значительной степени	2	5
13	к тому чтобы	2	5
14	и те же	2	5
15	в конце концов	3	4
16	а не в	4	4
17	не могут быть	2	4
18	подобно тому как	2	4
19	но и в	4	4
20	у нас не	2	3
21	потому что он	3	3
22	и в этой	5	3
23	мы увидим что	4	3
24	в том смысле	2	3
25	но для этого	2	2
26	от того что	4	2
27	оно не может	2	2
28	в отношении к	3	2
29	в своем творчестве	3	2
30	как и в	2	2
31	что это не	2	2
32	так и не	2	2
33	между тем как	2	2
34	нас не было	2	2
35	не только в	2	2
36	ни в чем	2	2
37	хотя бы и	2	2
38	что и в	3	2
39	в своей книге	2	2
