N	3gram	Bakhtin_Pr	Problemy
1	то же время	3	26
2	в то же	3	26
3	с точки зрения	6	25
4	по отношению к	19	18
5	и т п	13	18
6	в этом смысле	3	16
7	на самом деле	3	15
8	не может быть	11	14
9	в большинстве случаев	5	12
10	в самом деле	3	9
11	с другой стороны	4	9
12	и не может	2	8
13	в его целом	5	8
14	в том что	3	8
15	бы то ни	3	7
16	и в то	2	7
17	к нему и	2	7
18	не входит в	4	6
19	в отличие от	5	6
20	то ни было	2	6
21	между тем как	5	6
22	той или иной	2	5
23	и в нем	3	5
24	можно было бы	3	5
25	в высшей степени	5	5
26	и прежде всего	5	4
27	тем не менее	3	4
28	так и в	2	4
29	в этом отношении	2	4
30	все то что	3	3
31	в данном случае	4	3
32	как мы увидим	3	3
33	можно сказать что	2	3
34	то же самое	2	2
35	никогда не может	2	2
36	в художественном творчестве	9	2
37	за их пределы	2	2
38	в чем не	2	2
39	в лучшем случае	2	2
40	не только в	2	2
41	в том же	2	2
42	ни в чем	2	2
43	для того чтобы	2	2
44	лишь там где	2	2
45	мы можем сказать	2	2
46	должно отметить что	5	2
