N	2gram	Vygotskiy_	Problema
1	и в	38	182
2	и не	16	152
3	вовсе не	5	145
4	то что	27	144
5	не есть	5	113
6	не только	16	104
7	потому что	14	89
8	в этом	35	88
9	может быть	25	82
10	том что	44	81
11	в том	59	81
12	не просто	3	80
13	только в	16	73
14	сказать что	10	72
15	но и	9	70
16	в виде	4	69
17	также и	3	68
18	и даже	4	66
19	по себе	11	64
20	не менее	8	58
21	о том	6	57
22	так и	11	56
23	тем не	6	56
24	а не	7	56
25	но в	4	55
26	так что	3	52
27	ни в	12	51
28	для нас	6	50
29	отнюдь не	6	48
30	в себе	9	48
31	при помощи	3	47
32	смысле слова	5	47
33	было бы	15	46
34	в своей	9	45
35	прежде всего	6	45
36	что в	31	44
37	в его	22	44
38	все эти	9	43
39	не в	10	43
40	таким образом	36	42
41	то же	18	42
42	если мы	12	42
43	так как	19	40
44	что мы	18	40
45	и то	9	40
46	что он	13	40
47	и что	15	40
48	не может	11	39
49	в этой	7	39
50	такого рода	7	39
51	и тем	8	39
52	во всяком	10	39
53	как бы	17	39
54	той или	2	38
55	хотя бы	2	37
56	того что	17	37
57	в нем	4	37
58	еще не	6	36
59	точки зрения	27	36
60	и все	5	36
61	когда мы	2	35
62	в виду	4	34
63	и с	5	34
64	указывает на	3	34
65	как и	20	34
66	уже не	3	34
67	не является	13	33
68	или иной	3	33
69	в таком	4	33
70	же самое	9	33
71	в то	5	32
72	здесь не	2	32
73	едва ли	6	32
74	но не	7	32
75	в своем	9	31
76	связи с	14	31
77	все это	8	31
78	так же	26	31
79	но это	7	31
80	ясно что	4	30
81	с другой	11	30
82	и для	4	30
83	как мы	14	29
84	перед нами	15	29
85	все же	11	29
86	об этом	2	29
87	в связи	9	29
88	можно сказать	2	29
89	мы не	14	28
90	а в	7	28
91	и как	11	27
92	и это	7	27
93	хотя и	2	27
94	ничего общего	4	27
95	еще и	2	26
96	в результате	6	26
97	вместе с	18	26
98	это не	5	26
99	другой стороны	5	26
100	и его	5	26
101	тем самым	6	25
102	с точки	11	25
103	и на	9	25
104	мы можем	13	25
105	всяком случае	10	25
106	тем более	2	24
107	не имеет	3	24
108	с тем	18	24
109	в нашем	2	24
110	только и	2	23
111	мы находим	3	23
112	на то	7	23
113	содержит в	2	23
114	при этом	13	23
115	в качестве	25	23
116	по своему	14	23
117	то и	5	23
118	никогда не	11	22
119	и является	2	22
120	сам по	2	22
121	его в	8	22
122	только на	2	22
123	значит что	6	22
124	что и	14	22
125	можно ли	2	22
126	и от	5	22
127	другими словами	3	22
128	всех этих	2	22
129	и к	9	22
130	мы должны	15	21
131	а также	6	21
132	для себя	2	21
133	в самом	8	21
134	и только	4	21
135	и потому	2	20
136	но как	4	20
137	для того	14	20
138	именно в	6	20
139	можно было	10	20
140	или в	4	20
141	тем что	12	20
142	в отношении	14	19
143	в каком	3	19
144	но если	2	19
145	того или	2	19
146	то в	3	19
147	если бы	12	19
148	это значит	6	19
149	но только	3	19
150	он не	6	19
151	с ним	4	19
152	уже в	10	19
153	самом деле	4	19
154	в них	3	19
155	как в	14	19
156	этом смысле	7	19
157	того же	12	18
158	не будет	2	18
159	того чтобы	15	18
160	в этих	4	18
161	мы и	4	18
162	в ней	3	18
163	что здесь	2	17
164	мы уже	8	17
165	и здесь	5	17
166	в языке	3	17
167	что они	23	17
168	во всех	3	17
169	к тому	8	16
170	но все	4	16
171	же в	3	16
172	далеко не	2	16
173	для этого	3	16
174	как это	16	16
175	точно так	4	16
176	что она	7	16
177	в чем	2	15
178	общего с	3	15
179	здесь в	2	15
180	и более	4	15
181	в частности	4	15
182	у него	3	15
183	с этим	6	15
184	в той	2	15
185	и сам	4	15
186	не что	2	14
187	что все	2	14
188	в дальнейшем	3	14
189	уже и	5	14
190	иное как	2	14
191	все равно	4	14
192	что иное	2	14
193	сих пор	3	14
194	нас в	4	14
195	этом случае	4	14
196	в котором	3	14
197	нас не	2	14
198	с другими	3	14
199	до сих	3	14
200	только при	2	13
201	который в	4	13
202	в других	2	13
203	или даже	2	13
204	в их	12	13
205	бы и	2	13
206	тому что	3	13
207	мы имеем	6	13
208	в области	9	13
209	или иного	2	13
210	должны сказать	2	13
211	мы в	3	13
212	же и	2	13
213	сами по	4	13
214	ни на	3	13
215	из них	5	13
216	нисколько не	3	12
217	знаком и	2	12
218	не являются	4	12
219	что этот	2	12
220	в которой	4	12
221	на первый	5	12
222	в другом	3	12
223	с одной	8	12
224	значения и	6	12
225	или по	2	12
226	в целом	22	12
227	для них	3	12
228	что это	8	12
229	в начале	5	12
230	время как	5	12
231	в смысле	9	12
232	или иначе	2	12
233	то время	5	12
234	никак нельзя	2	11
235	могли бы	16	11
236	и во	4	11
237	в нашей	4	11
238	в истории	9	11
239	вообще не	3	11
240	только не	2	11
241	тот же	10	11
242	не могут	5	11
243	одной стороны	8	11
244	и у	7	11
245	по этому	6	11
246	и тогда	2	11
247	и другое	7	11
248	и их	4	11
249	заключается в	22	11
250	не имеют	2	10
251	все еще	2	10
252	один из	8	10
253	однако в	2	10
254	все время	6	10
255	отличается от	5	10
256	слова и	8	10
257	что у	3	10
258	в одном	4	10
259	которые мы	3	10
260	или менее	5	10
261	что оно	8	10
262	внимание на	4	10
263	и которые	5	10
264	со всеми	9	10
265	на том	3	10
266	более или	3	10
267	из которых	6	10
268	вопрос о	2	9
269	или как	2	9
270	тогда когда	10	9
271	здесь мы	4	9
272	которые в	5	9
273	этому поводу	4	9
274	представить себе	3	9
275	в тех	2	9
276	был бы	2	9
277	в своих	3	9
278	их в	6	9
279	мы говорили	5	9
280	вообще и	2	9
281	однако не	3	9
282	в которых	3	9
283	того как	5	9
284	что если	3	9
285	между знаком	2	9
286	бы в	5	9
287	с ней	4	9
288	о котором	2	9
289	в жизни	3	9
290	бы мы	2	8
291	а потом	2	8
292	были бы	3	8
293	как он	8	8
294	между собой	15	8
295	от этого	6	8
296	является для	2	8
297	на его	5	8
298	и по	5	8
299	для него	6	8
300	если в	3	8
301	значение в	5	8
302	только что	5	8
303	с этой	6	8
304	в силу	9	8
305	себе и	2	8
306	и понятие	3	8
307	входит в	7	8
308	еще в	2	8
309	и особенно	4	8
310	является не	6	8
311	тем же	8	8
312	является в	4	8
313	из этих	5	8
314	во всей	3	8
315	с самого	6	8
316	только потому	2	8
317	которые не	5	8
318	с ее	5	8
319	которое мы	2	8
320	как они	5	8
321	и при	3	8
322	ни было	2	8
323	но для	2	8
324	во всем	7	8
325	мы будем	4	8
326	что при	3	8
327	что на	2	7
328	и поэтому	4	7
329	в понятии	6	7
330	друг друга	7	7
331	самого начала	6	7
332	и значение	2	7
333	а с	4	7
334	на этой	7	7
335	виде как	3	7
336	в основе	32	7
337	же не	3	7
338	однако и	2	7
339	что понятие	4	7
340	все они	2	7
341	нашего исследования	2	7
342	с понятием	4	7
343	в какой	5	7
344	в такой	3	7
345	оно не	3	7
346	в случае	3	7
347	даже в	5	7
348	не на	2	7
349	вообще говоря	2	7
350	но что	3	7
351	с полным	3	7
352	к другому	2	7
353	же как	10	7
354	этой области	2	7
355	на этот	5	7
356	ее в	2	7
357	предметов и	6	7
358	не можем	4	7
359	тому же	6	7
360	мы могли	14	7
361	функции в	2	6
362	не как	3	6
363	с той	3	6
364	знака в	3	6
365	то мы	2	6
366	уже по	2	6
367	в известном	6	6
368	слова то	3	6
369	в зависимости	6	6
370	само по	3	6
371	только к	2	6
372	в новое	2	6
373	на него	2	6
374	по своей	12	6
375	этого слова	13	6
376	когда он	5	6
377	этот вопрос	5	6
378	том смысле	3	6
379	та или	3	6
380	которую мы	5	6
381	и того	5	6
382	факт что	7	6
383	что именно	3	6
384	первый план	5	6
385	одним и	5	6
386	заставляет нас	2	6
387	до конца	2	6
388	в действительности	3	6
389	самого себя	2	6
390	есть и	2	6
391	понятия и	8	6
392	по существу	4	6
393	который мы	2	6
394	могут быть	9	6
395	мы его	2	6
396	и может	4	6
397	во время	3	6
398	что слово	6	6
399	бы быть	2	6
400	с его	3	6
401	под этим	3	6
402	с которыми	4	6
403	мышления и	39	6
404	и той	7	6
405	независимо от	5	6
406	как оно	5	6
407	особенно в	2	6
408	все другие	2	6
409	к ней	2	6
410	в него	4	6
411	уже у	2	6
412	зависимости от	7	6
413	этом отношении	9	6
414	как на	2	6
415	не мог	4	6
416	и речи	27	6
417	в слове	3	6
418	в область	2	5
419	в первую	2	5
420	говорили что	3	5
421	не больше	2	5
422	человека и	6	5
423	одна из	2	5
424	но по	3	5
425	нами в	4	5
426	с первого	3	5
427	из всех	2	5
428	анализа и	2	5
429	по одному	3	5
430	одно и	7	5
431	первого взгляда	2	5
432	и тот	6	5
433	в наших	2	5
434	от его	2	5
435	том чтобы	2	5
436	виде и	2	5
437	для обозначения	4	5
438	все что	4	5
439	или другого	2	5
440	тому как	2	5
441	не знаем	2	5
442	которой он	2	5
443	данное слово	3	5
444	во внимание	2	5
445	без этого	2	5
446	что эта	2	5
447	если только	2	5
448	которого он	2	5
449	для его	2	5
450	в собственном	12	5
451	между тем	10	5
452	от того	8	5
453	ничем не	2	5
454	во многих	3	5
455	для всего	2	5
456	в настоящем	2	5
457	мы видели	8	5
458	о нем	2	5
459	том виде	4	5
460	говорили выше	4	5
461	том числе	3	5
462	на себя	2	5
463	или иная	3	5
464	с теми	2	5
465	там где	4	5
466	когда в	3	5
467	и когда	3	5
468	знака или	3	5
469	что с	8	5
470	этот раз	2	5
