N	2gram	Tiupa_Hudo	VelikijI
1	и не	16	20
2	и в	23	16
3	то что	5	9
4	еще не	4	8
5	и потому	2	7
6	а не	13	7
7	человека и	2	6
8	в мире	24	5
9	как бы	11	5
10	но и	14	5
11	все это	2	5
12	по пути	4	5
13	хотя и	4	5
14	того что	5	5
15	как и	3	4
16	потому что	3	4
17	в нем	6	4
18	во мне	2	4
19	в его	11	4
20	говорить о	4	4
21	в этом	12	4
22	что он	5	4
23	так и	12	4
24	никогда не	2	3
25	превращается в	2	3
26	в жизни	3	3
27	что в	7	3
28	в том	20	3
29	и для	3	3
30	тому что	2	3
31	но в	10	3
32	к тому	4	3
33	ни в	5	3
34	их в	3	3
35	оно не	2	3
36	в своей	7	3
37	во всех	3	3
38	личности и	3	3
39	в них	2	3
40	что и	2	3
41	лишь в	7	3
42	и что	4	3
43	не в	9	3
44	все эти	2	3
45	в этих	4	3
46	к бытию	2	3
47	в чем	2	3
48	с его	6	3
49	и то	4	2
50	одна из	2	2
51	но не	13	2
52	не могли	2	2
53	тот кто	2	2
54	и это	2	2
55	это не	4	2
56	ее в	2	2
57	не только	20	2
58	а в	13	2
59	том что	9	2
60	вслед за	2	2
61	уже не	6	2
62	могут быть	5	2
63	я думаю	2	2
64	значения и	2	2
65	один из	2	2
66	не будет	3	2
67	того чтобы	5	2
68	мира в	2	2
69	только в	7	2
70	ведет по	2	2
71	и сам	3	2
72	в форме	4	2
73	в себя	4	2
74	прежде всего	5	2
75	с ним	2	2
76	между тем	4	2
77	а с	2	2
78	для него	5	2
79	не с	2	2
