N	2gram	Bakhtin_sl	Myshleni
1	в том	7	195
2	внутренней речи	3	191
3	в этом	21	167
4	то что	2	166
5	и в	69	162
6	том что	6	161
7	таким образом	16	147
8	точки зрения	24	143
9	с помощью	5	131
10	что в	3	119
11	мышления и	6	117
12	не только	37	116
13	того что	4	109
14	в процессе	14	101
15	так же	2	100
16	речи и	4	99
17	и речи	4	96
18	потому что	2	95
19	может быть	40	89
20	с точки	11	89
21	что он	2	86
22	не может	27	81
23	как и	8	79
24	так как	7	78
25	для того	2	78
26	и не	32	78
27	только в	9	75
28	в целом	3	74
29	как мы	15	72
30	но и	37	70
31	речи в	5	70
32	в его	19	67
33	сказать что	4	65
34	как бы	16	64
35	вместе с	3	62
36	в качестве	4	60
37	и что	2	60
38	было бы	3	60
39	то же	17	58
40	в основе	8	58
41	в отношении	9	55
42	могли бы	2	54
43	между собой	3	53
44	в самом	6	52
45	в сущности	18	51
46	к тому	3	49
47	что они	2	48
48	мы не	4	47
49	тогда когда	2	47
50	но не	7	45
51	с другой	8	45
52	по отношению	2	45
53	же как	2	43
54	как это	3	42
55	тому что	2	42
56	отношению к	2	42
57	не является	3	41
58	по своей	2	40
59	одной стороны	7	40
60	о том	5	40
61	так и	22	39
62	никогда не	9	39
63	с одной	7	39
64	мы видели	3	38
65	не в	14	37
66	если мы	2	37
67	и к	9	37
68	мы видим	2	37
69	речи как	3	36
70	в своем	9	36
71	все эти	15	36
72	и его	45	36
73	как в	18	36
74	а не	29	36
75	того же	7	35
76	друг с	2	35
77	с другом	2	35
78	можно было	2	35
79	он не	5	35
80	в которой	4	35
81	в себе	3	35
82	и как	3	34
83	связи с	4	34
84	приводит к	2	34
85	при этом	12	33
86	прежде всего	14	33
87	по себе	4	33
88	что и	2	32
89	именно в	5	32
90	по своему	2	32
91	но в	13	32
92	слова и	21	32
93	той же	3	32
94	и тем	3	32
95	что оно	4	32
96	и на	17	32
97	и то	2	31
98	все же	10	31
99	этом отношении	2	30
100	на то	2	30
101	между тем	5	29
102	могут быть	25	29
103	этого слова	2	29
104	к слову	2	28
105	с этим	5	28
106	что все	2	27
107	в своей	8	27
108	речи но	2	27
109	с этой	3	27
110	в результате	4	27
111	в то	17	27
112	перед нами	7	27
113	этом случае	4	27
114	другой стороны	5	27
115	и с	10	27
116	в их	6	26
117	в частности	3	26
118	для него	8	26
119	в собственном	2	26
120	собственном смысле	2	26
121	все это	14	25
122	еще не	9	25
123	уже в	2	25
124	это не	8	25
125	только не	2	25
126	в чем	2	25
127	можно сказать	2	25
128	мы уже	4	25
129	так что	2	24
130	целый ряд	2	24
131	в какой	2	24
132	в нем	44	24
133	того как	2	24
134	зависимости от	4	24
135	в слове	11	24
136	как уже	2	24
137	в смысле	7	24
138	в сфере	2	24
139	как он	2	23
140	друг друга	3	23
141	слова в	19	23
142	ни в	4	23
143	в известном	2	22
144	во всяком	9	22
145	в зависимости	4	22
146	уже сказано	2	22
147	не могут	7	22
148	столь же	2	22
149	то время	2	22
150	отношение к	8	21
151	в истории	6	21
152	человеческой речи	2	21
153	все время	4	21
154	и более	3	21
155	его в	7	21
156	там где	10	21
157	к этому	3	21
158	и все	9	21
159	между ними	2	21
160	и следовательно	8	21
161	и ее	3	21
162	с таким	3	21
163	в сознании	3	21
164	в свете	3	21
165	речи не	2	20
166	в котором	2	20
167	в виду	2	20
168	и других	5	20
169	речь и	3	20
170	по существу	3	20
171	а в	10	20
172	должно быть	3	20
173	время как	2	20
174	из них	3	20
175	как раз	3	20
176	в другом	4	20
177	и их	6	20
178	на этом	4	20
179	не менее	4	20
180	из этих	3	20
181	но мы	2	19
182	речь в	2	19
183	мы говорили	2	19
184	в данном	5	19
185	словом и	9	19
186	в себя	3	19
187	с ним	12	19
188	в той	13	19
189	а с	2	19
190	и по	3	19
191	во всех	25	19
192	мы и	2	19
193	один из	9	19
194	в связи	2	19
195	отличие от	13	18
196	во всем	3	18
197	слов и	5	18
198	чем в	3	18
199	всяком случае	7	18
200	но это	3	18
201	в отличие	12	18
202	для этого	4	17
203	сих пор	4	17
204	и для	7	17
205	в свою	4	17
206	в одном	4	17
207	и от	5	17
208	и есть	2	17
209	и только	2	17
210	ту же	5	17
211	не есть	2	17
212	в этих	8	17
213	до конца	25	17
214	и той	2	17
215	нами в	3	17
216	у него	5	17
217	до сих	4	17
218	языка и	18	16
219	вовсе не	16	16
220	значение в	2	16
221	и другие	3	16
222	для нас	7	16
223	которые в	4	16
224	слово и	5	16
225	то в	2	16
226	и даже	11	16
227	речи является	2	16
