N	2gram	Propp_Isto	VLabPisa
1	таким образом	13	32
2	в этом	13	29
3	не только	28	26
4	и в	40	26
5	и т	39	25
6	может быть	37	23
7	хотя бы	5	20
8	и не	19	20
9	т е	30	18
10	не может	19	17
11	т д	35	16
12	в том	12	15
13	в его	10	15
14	в силу	7	14
15	прежде всего	15	13
16	все это	6	13
17	в частности	3	12
18	как это	6	12
19	в качестве	8	12
20	что в	19	11
21	с другой	8	11
22	из них	5	11
23	то же	21	10
24	не могут	3	10
25	но и	21	10
26	и др	11	10
27	о том	12	10
28	по этому	2	10
29	к этому	2	9
30	об этом	11	9
31	для него	2	9
32	в своем	5	8
33	том что	11	8
34	ни один	8	8
35	могут быть	5	8
36	другой стороны	7	8
37	все эти	6	8
38	было бы	11	8
39	только в	16	8
40	вместе с	13	8
41	это не	8	7
42	из этих	2	7
43	во всех	3	7
44	по отношению	6	7
45	в основном	4	7
46	то что	17	7
47	отношению к	6	7
48	как и	5	7
49	их в	7	7
50	в нем	8	7
51	в конечном	2	7
52	главным образом	2	7
53	этому поводу	2	7
54	не было	3	7
55	говорит о	2	7
56	а не	18	7
57	не в	11	6
58	в то	4	6
59	в себе	6	6
60	или менее	5	6
61	все же	17	6
62	у него	5	6
63	так и	13	6
64	более или	5	6
65	приводит к	3	6
66	один из	10	6
67	в зависимости	3	6
68	и его	5	6
69	между тем	2	6
70	никогда не	25	5
71	даже в	5	5
72	сказать что	7	5
73	показывают что	7	5
74	в одном	8	5
75	перед нами	5	5
76	в результате	2	5
77	в пределах	4	5
78	зависимости от	3	5
79	в их	6	5
80	одним из	2	5
81	к тому	6	5
82	как бы	6	5
83	утверждать что	3	5
84	в них	2	5
85	в целом	3	5
86	связи с	10	5
87	вот почему	2	5
88	и есть	5	5
89	на основе	6	5
90	одна из	4	4
91	же говорит	4	4
92	в нашей	2	4
93	образов и	2	4
94	и ее	3	4
95	роль в	3	4
96	в виду	2	4
97	вот как	2	4
98	ее в	7	4
99	что он	32	4
100	по существу	7	4
101	с тем	13	4
102	когда он	9	4
103	должен быть	3	4
104	отнюдь не	2	4
105	приведенных выше	2	4
106	как раз	2	4
107	в ее	2	4
108	с ними	2	4
109	в своей	2	4
110	является не	2	4
111	в связи	7	4
112	во время	5	4
113	них не	2	4
114	в этой	9	4
115	и от	2	3
116	например в	7	3
117	при помощи	2	3
118	говорит в	2	3
119	с этим	5	3
120	мы имеем	25	3
121	так же	18	3
122	но как	2	3
123	и он	4	3
124	том как	3	3
125	вслед за	7	3
126	всех этих	4	3
127	бы в	2	3
128	в форме	3	3
129	его в	15	3
130	и как	3	3
131	тому как	3	3
132	если бы	8	3
133	это делает	2	3
134	подобно тому	3	3
135	как он	5	3
136	как о	2	3
137	и их	4	3
138	видно из	2	3
139	его не	3	3
140	мы знаем	10	3
141	того что	6	3
142	образом в	2	3
143	мы видели	4	3
144	этот вопрос	7	3
145	имеет свою	2	3
146	видели что	5	3
147	что у	3	3
148	она не	6	3
149	а в	15	3
150	или меньшей	2	3
151	в котором	5	3
152	именно в	5	3
153	что например	3	3
154	в которых	2	3
155	в работе	3	3
156	между ними	2	3
157	большей или	2	3
158	что не	2	3
159	того чтобы	3	3
160	что и	9	3
161	и по	4	3
162	или в	6	3
163	что они	13	3
164	же и	3	3
165	вовсе не	3	3
166	в целях	3	2
167	можно указать	2	2
168	относится к	2	2
169	также что	2	2
170	в книге	4	2
171	от его	2	2
172	да и	3	2
173	чтобы не	3	2
174	иметь в	2	2
175	на это	3	2
176	показывает что	7	2
177	и потому	3	2
178	производства в	2	2
179	которые в	3	2
180	еще и	2	2
181	с другими	2	2
182	три года	2	2
183	только у	2	2
184	то это	9	2
185	так сказать	3	2
186	другом месте	2	2
187	одной стороны	7	2
188	можно было	8	2
189	вплоть до	2	2
190	должно быть	2	2
191	что она	10	2
192	даже не	2	2
193	в другом	6	2
194	и даже	4	2
195	мысль о	2	2
196	связана с	7	2
197	а как	2	2
198	в особенности	3	2
199	конечном итоге	2	2
200	не всегда	9	2
201	в области	2	2
202	только для	3	2
203	и наконец	5	2
204	у них	2	2
205	еще не	14	2
206	после этого	5	2
207	начинается с	3	2
208	они должны	3	2
209	в которой	2	2
210	не по	2	2
211	например у	2	2
212	а для	2	2
213	сих пор	12	2
214	с одной	8	2
215	это видно	2	2
216	после того	2	2
217	же самое	3	2
218	всего сказанного	2	2
219	не с	3	2
220	одной из	6	2
221	так например	7	2
222	в жизни	2	2
223	к ним	4	2
224	том чтобы	2	2
225	но не	7	2
226	и для	5	2
227	также и	3	2
228	не менее	7	2
229	на него	7	2
230	только с	4	2
231	но в	13	2
232	они не	8	2
233	на то	6	2
234	он может	2	2
235	он в	5	2
236	что такое	3	2
237	зависит от	3	2
238	не вполне	3	2
239	знаем что	9	2
240	в ней	10	2
241	будто бы	4	2
242	на вопрос	4	2
243	и социальной	3	2
244	между прочим	3	2
245	на этом	3	2
246	к сожалению	3	2
247	тогда когда	2	2
248	из которых	3	2
249	в образе	3	2
250	он и	3	2
251	значит что	2	2
252	что мы	9	2
253	по себе	4	2
254	а затем	4	2
255	же как	7	2
256	должны быть	4	2
257	по одному	2	2
258	самый факт	2	2
259	по его	3	2
260	только о	2	2
261	он не	10	2
262	во всей	2	2
263	должна быть	5	2
264	но с	3	2
265	в пользу	2	2
266	что при	3	2
267	который в	2	2
268	как процесс	2	2
269	подчеркнуть что	2	2
270	до сих	11	2
271	того как	6	2
272	в системе	2	2
