N	2gram	Medvedev_U	Problemy
1	и в	14	106
2	и не	8	90
3	может быть	6	66
4	в его	2	56
5	в этом	7	52
6	не может	7	49
7	что он	2	44
8	как и	3	44
9	но и	4	40
10	для него	3	39
11	а не	10	38
12	не только	10	36
13	то же	5	36
14	то что	7	33
15	но в	3	33
16	прежде всего	8	32
17	в то	3	29
18	все это	5	29
19	не в	2	27
20	же время	3	26
21	в самом	2	25
22	и с	2	25
23	самом деле	2	24
24	не как	3	24
25	таким образом	2	22
26	по себе	2	22
27	все же	3	20
28	только в	2	20
29	с его	2	19
30	в себе	2	18
31	но не	2	18
32	это не	3	17
33	в том	2	17
34	если бы	2	16
35	в своей	3	16
36	этом смысле	2	16
37	и для	2	15
38	в конце	2	14
39	как раз	2	14
40	а как	2	14
41	том что	2	12
42	ничего не	2	12
43	между тем	2	12
44	что и	2	12
45	было бы	3	12
46	но это	2	12
47	не могут	2	11
48	конце концов	2	11
49	бы и	2	11
50	тем что	2	11
51	с другой	4	11
52	до сих	2	10
53	сих пор	2	10
54	могут быть	2	9
55	другой стороны	3	9
56	хотя бы	5	9
57	одним из	2	8
58	же не	2	8
59	должна быть	2	8
60	ни было	3	8
61	и у	2	8
62	не о	3	7
63	в их	4	7
64	его и	2	7
65	что все	2	7
66	то ни	3	7
67	бы то	3	7
68	что она	2	7
69	по существу	2	6
70	в художественном	5	6
71	должна была	2	6
72	для этого	3	6
73	превращается в	2	6
74	и только	5	6
75	в этой	4	6
76	конечно не	4	6
77	и то	3	5
78	крайней мере	2	5
79	мы не	2	5
80	по крайней	2	5
81	а между	2	5
82	художественного творчества	5	5
83	является в	2	4
84	смысле этого	2	4
85	в сторону	2	4
86	даже и	2	4
87	всех этих	2	4
88	это было	2	4
89	этом отношении	2	4
90	что такое	4	4
91	не есть	2	4
92	если не	2	4
93	перестает быть	5	4
94	мы и	2	4
95	о чем	2	3
96	а его	2	3
97	могли бы	2	3
98	именно как	2	3
99	меньшей степени	2	3
100	художественном творчестве	2	3
101	как такового	3	3
102	но конечно	2	3
103	все они	2	3
104	у нас	3	3
105	как таковой	2	3
106	сводится к	2	3
107	художественного задания	2	3
108	к сожалению	3	2
109	надо было	2	2
110	материал для	2	2
111	это уже	2	2
112	наконец он	2	2
113	в россии	4	2
114	не все	2	2
115	но даже	2	2
116	художественного произведения	2	2
117	установку на	2	2
118	или точнее	3	2
119	не столько	2	2
120	и является	2	2
121	не случайно	2	2
122	представляется нам	2	2
123	их и	2	2
124	не следует	3	2
125	же самое	2	2
