N	2gram	Tiupa_Vved	Hudozhes
1	в качестве	18	31
2	то есть	13	26
3	в мире	9	24
4	и в	23	23
5	не только	32	20
6	состоит в	23	20
7	в том	21	20
8	от лат	6	19
9	может быть	25	19
10	при этом	43	19
11	в частности	19	18
12	и не	24	16
13	тогда как	16	15
14	но и	31	14
15	в рамках	5	13
16	а в	15	13
17	в себе	15	13
18	художественного текста	2	13
19	но не	9	13
20	в тексте	11	13
21	а не	31	13
22	то же	8	12
23	такого рода	23	12
24	в этом	27	12
25	и его	9	12
26	так и	14	12
27	как бы	8	11
28	представляет собой	18	11
29	в его	9	11
30	сводится к	6	11
31	но в	14	10
32	по отношению	11	10
33	отношению к	11	10
34	не в	12	9
35	или иной	5	9
36	том что	16	9
37	коммуникативного события	8	9
38	художественного письма	9	9
39	присутствия в	7	9
40	не может	14	9
41	с другой	10	9
42	не сводится	7	9
43	своего рода	20	9
44	в то	5	8
45	себя в	4	8
46	в принципе	3	8
47	в области	5	8
48	в самом	6	7
49	и т.п	14	7
50	по своей	4	7
51	отношение к	5	7
52	внутреннего зрения	2	7
53	лишь в	4	7
54	в своей	10	7
55	только в	9	7
56	же время	4	7
57	как это	2	7
58	что в	6	7
59	отличие от	11	7
60	в отличие	11	7
61	в основе	6	7
62	не столько	5	7
63	в состав	5	6
64	всего лишь	7	6
65	более или	2	6
66	мы имеем	8	6
67	уже не	7	6
68	другой стороны	3	6
69	по сути	5	6
70	приводит к	2	6
71	а также	12	6
72	в нем	9	6
73	с ее	3	6
74	можно сказать	6	6
75	или менее	2	6
76	тем самым	6	5
77	той или	5	5
78	или иначе	2	5
79	картина мира	17	5
80	конечном счете	2	5
81	могут быть	5	5
82	в конечном	2	5
83	место в	2	5
84	не предполагает	2	5
85	иначе говоря	8	5
86	того чтобы	2	5
87	в виду	3	5
88	в ходе	3	5
89	а на	4	5
90	со стороны	15	5
91	в их	2	5
92	не является	7	5
93	героя и	5	5
94	что он	2	5
95	не на	3	5
96	то что	9	5
97	не менее	4	5
98	прежде всего	11	5
99	того что	7	5
100	для него	5	5
101	в слове	4	4
102	далеко не	5	4
103	это не	7	4
104	для себя	2	4
105	а только	3	4
106	так в	5	4
107	к тому	9	4
108	воспринимающего сознания	2	4
109	между тем	3	4
110	во времени	2	4
111	входит в	2	4
112	в данном	22	4
113	и т.д	6	4
114	во втором	4	4
115	жизни как	2	4
116	в другом	2	4
117	не знает	2	4
118	однако в	9	4
119	в силу	2	4
120	и как	2	4
121	еще не	8	4
122	к которому	2	4
123	и тем	3	4
124	и что	2	4
125	говорить о	5	4
126	сознания в	4	4
127	в этих	5	4
128	на смену	2	4
129	он не	6	4
130	не следует	3	4
131	и о	4	4
132	без исключения	2	4
133	например в	2	4
134	в своем	9	4
135	хотя и	10	4
136	со своей	4	4
137	даже в	3	3
138	в художественной	2	3
139	от себя	2	3
140	в жизни	7	3
141	к нему	2	3
142	и для	8	3
143	по своему	3	3
144	и притом	3	3
145	и ее	2	3
146	за пределами	3	3
147	в романе	6	3
148	в точке	4	3
149	в контексте	4	3
150	чем и	2	3
151	оказывается в	3	3
152	следует подчеркнуть	5	3
153	как и	21	3
154	их в	3	3
155	сводятся к	2	3
156	потому что	7	3
157	о чем	4	3
158	одной стороны	9	3
159	слова в	3	3
160	в целом	4	3
161	являет собой	5	3
162	к его	5	3
