N	2gram	Voloshinov	Vvedenie
1	в том	3	38
2	в этом	9	35
3	и в	16	35
4	том что	3	30
5	может быть	17	30
6	не только	7	26
7	таким образом	9	21
8	не может	8	19
9	то что	3	19
10	о том	2	16
11	только в	4	16
12	так как	4	15
13	в общем	3	14
14	и не	4	13
15	что в	3	13
16	в самом	2	13
17	в нем	4	13
18	что такое	5	12
19	точки зрения	8	12
20	в его	4	12
21	этом смысле	3	11
22	то же	2	11
23	как мы	4	11
24	прежде всего	9	10
25	но в	4	10
26	из этих	2	9
27	и как	3	9
28	не менее	2	9
29	самом деле	6	7
30	сих пор	3	7
31	как и	2	7
32	как бы	5	7
33	но и	4	7
34	только как	3	7
35	было бы	2	7
36	до сих	3	7
37	сказать что	7	6
38	его в	4	6
39	не могут	2	6
40	хотя бы	4	6
41	и даже	4	6
42	и это	6	6
43	а в	3	6
44	могут быть	3	6
45	один из	2	6
46	и его	8	6
47	все это	4	6
48	вместе с	3	6
49	с их	3	5
50	есть и	2	5
51	с этой	2	5
52	что он	2	5
53	что не	2	5
54	по своему	2	5
55	как это	3	5
56	а потому	4	5
57	не есть	2	5
58	в них	2	5
59	всяком случае	3	5
60	что и	2	5
61	говорить о	2	5
62	во всяком	3	5
63	по сравнению	3	4
64	и ее	4	4
65	в области	3	4
66	но ведь	2	4
67	еще не	5	4
68	по крайней	3	4
69	в чем	5	4
70	и для	2	4
71	в одном	3	4
72	с точки	6	4
73	крайней мере	3	4
74	в своей	2	4
75	сравнению с	3	4
76	можно сказать	4	4
77	никогда не	2	3
78	в каком	2	3
79	и вообще	2	3
80	что это	2	3
81	с этим	2	3
82	с историей	2	3
83	так же	2	3
84	в начале	2	3
85	для этого	2	3
86	к этому	2	3
87	отношение к	5	3
88	в свое	2	3
89	и вот	3	3
90	в этих	3	3
91	только на	3	3
92	в частности	2	3
93	вообще не	2	3
94	на этой	3	3
95	и на	4	3
96	того же	2	3
97	в конечном	3	3
98	и к	6	3
99	на этом	3	3
100	между ними	3	3
101	нуждается в	5	3
102	совсем не	2	3
103	же как	2	3
104	при этом	6	3
105	все эти	5	3
106	и есть	3	3
107	в этой	4	3
108	и других	2	3
109	таким путем	2	2
110	и потому	3	2
111	во всех	3	2
112	но как	2	2
113	при всей	2	2
114	момента в	2	2
115	не существует	2	2
116	мысли и	4	2
117	в этот	2	2
118	что оно	2	2
119	нашего времени	2	2
120	это делает	2	2
121	так и	4	2
122	и др	3	2
123	на протяжении	2	2
124	и так	2	2
125	что можно	2	2
126	и с	8	2
127	но это	2	2
128	что мы	2	2
129	мы можем	9	2
130	жизни и	3	2
131	мы не	2	2
132	учение о	3	2
133	мы уже	2	2
134	с помощью	2	2
135	но зато	2	2
