N	2gram	Losev_Vlad	DiskursI
1	в качестве	7	72
2	а не	5	60
3	может быть	12	56
4	не только	35	49
5	и в	56	49
6	как и	7	47
7	при этом	5	46
8	в том	26	44
9	и не	33	44
10	то есть	5	41
11	том что	22	40
12	в этом	30	38
13	в себе	5	37
14	в частности	4	36
15	но и	26	35
16	но не	5	31
17	со стороны	5	28
18	так и	11	28
19	но в	19	28
20	не может	12	27
21	по своей	4	26
22	как в	6	25
23	такого рода	4	24
24	еще не	2	23
25	отнюдь не	3	23
26	а также	12	20
27	все же	11	19
28	прежде всего	5	19
29	в нем	7	19
30	в своей	7	19
31	то же	10	17
32	с другой	3	17
33	точки зрения	4	16
34	только в	11	16
35	в его	18	15
36	то что	30	15
37	о том	13	15
38	это не	3	14
39	не в	12	14
40	не менее	9	14
41	можно сказать	10	14
42	ни к	2	14
43	в целом	3	13
44	для него	16	13
45	как бы	5	13
46	в своем	10	12
47	и все	8	12
48	того же	11	12
49	в своих	7	12
50	и на	7	12
51	что в	24	11
52	с его	15	11
53	и как	7	11
54	не было	12	11
55	для себя	6	10
56	а в	20	10
57	а с	5	10
58	не столько	4	10
59	также и	13	10
60	же время	7	10
61	тем самым	2	9
62	в то	15	9
63	в них	5	9
64	уже не	6	9
65	еще в	5	9
66	себя в	6	9
67	пока еще	2	9
68	этом отношении	2	8
69	и о	6	8
70	как уже	2	8
71	к тому	5	8
72	потому что	16	8
73	хотя и	9	8
74	и даже	23	8
75	жизни в	3	8
76	в этих	5	8
77	в котором	10	8
78	в одном	2	8
79	из них	3	8
80	он не	13	8
81	его в	3	7
82	о чем	6	7
83	одной из	2	7
84	и для	4	7
85	но это	6	7
86	что и	6	7
87	в этой	4	7
88	другой стороны	3	7
89	к этому	11	7
90	лишь в	3	7
91	ни в	4	7
92	я в	4	7
93	той же	6	7
94	и его	12	7
95	таким образом	6	7
96	тому же	3	7
97	никогда не	15	6
98	к его	5	6
99	отношение к	7	6
100	что он	22	6
101	именно в	4	6
102	времени в	2	6
103	что же	11	6
104	здесь не	6	6
105	в сущности	2	6
106	в истории	4	6
107	и то	13	6
108	то в	6	6
109	дело в	7	6
110	во всех	4	6
111	в особенности	4	6
112	в период	6	6
113	ничего не	4	5
114	к себе	2	5
115	в их	2	5
116	свою очередь	2	5
117	и потому	8	5
118	того что	6	5
119	о нем	9	5
120	для своего	2	5
121	несмотря на	7	5
122	же касается	8	5
123	один из	4	5
124	здесь в	2	5
125	того как	2	5
126	как будто	2	5
127	сказать что	14	5
128	но она	4	5
129	из этих	5	5
130	так сказать	2	5
131	за пределы	3	5
132	во второй	3	5
133	я и	2	5
134	себе не	2	5
135	что касается	6	5
136	к той	2	5
137	известной степени	2	5
138	в свою	3	5
139	можно говорить	2	5
140	на этом	3	5
141	не вполне	3	5
142	в той	2	5
143	как раз	7	5
144	не к	2	5
145	по своим	3	5
146	в ней	5	5
147	тем что	2	5
148	до конца	8	4
149	свое время	7	4
150	не могут	2	4
151	для меня	8	4
152	и тем	2	4
153	у них	2	4
154	в свое	6	4
155	по своему	5	4
156	в произведении	2	4
157	как это	11	4
158	и это	4	4
159	только на	3	4
160	в полной	3	4
161	его на	4	4
162	на его	7	4
163	что не	3	4
164	в году	54	4
165	к жизни	2	4
166	и до	4	4
167	и во	3	4
168	того и	3	4
169	что они	4	4
170	указать на	2	4
171	во всяком	8	4
172	особого рода	2	4
173	мы имеем	2	4
174	с ней	3	4
175	а к	24	4
176	это в	2	4
177	хотя в	2	4
178	в результате	6	4
179	тем не	8	4
180	я не	8	4
181	связи с	7	4
182	одним из	3	4
183	в жизни	4	4
184	но уже	3	4
185	во мне	2	4
186	в самом	3	4
187	будто бы	2	4
188	не есть	4	4
189	и к	10	4
190	а по	3	4
191	со своим	5	4
192	по себе	3	4
193	и весьма	2	4
194	и есть	2	4
195	с ним	10	4
196	еще и	10	3
197	и притом	5	3
198	истории в	2	3
199	указывает на	2	3
200	в тех	3	3
201	вплоть до	4	3
202	там же	24	3
203	это и	2	3
204	в новом	2	3
205	в области	3	3
206	на основании	3	3
207	в момент	2	3
208	как на	2	3
209	своего времени	2	3
210	но как	6	3
211	о котором	2	3
212	значение для	2	3
213	она не	3	3
214	он говорит	2	3
215	более или	5	3
216	об этом	13	3
217	заметить что	2	3
218	ему в	4	3
219	уже о	3	3
220	что на	2	3
221	на себя	3	3
222	не говоря	4	3
223	котором он	2	3
224	и он	7	3
225	о его	7	3
226	все эти	6	3
227	было бы	7	3
228	мы не	2	3
229	говоря уже	3	3
230	дело не	3	3
231	некоторого рода	2	3
232	как мы	17	3
233	да и	6	3
234	не столь	2	3
235	и от	6	3
236	тут же	7	3
237	произведения как	2	3
238	с этим	3	3
239	в начале	7	3
240	его как	2	3
241	особенно в	2	3
242	хотя бы	5	3
243	в которой	8	3
244	к ней	7	3
245	и по	10	3
246	на первый	4	3
247	и наконец	2	3
248	как у	3	3
249	чем не	2	3
250	дело с	2	3
251	или менее	5	3
252	но все	3	3
253	отношения к	4	3
254	не имеет	2	3
255	всей своей	2	3
256	их в	3	3
257	этом в	2	3
258	когда он	6	3
259	уже в	9	3
260	всяком случае	8	3
261	жизни и	8	3
262	к числу	2	3
263	то ни	2	3
264	место в	2	3
265	и сам	7	3
266	и что	11	3
267	и без	2	3
268	вместе с	9	3
269	ему не	2	2
270	в отношении	5	2
271	его к	3	2
272	мы должны	3	2
273	для всех	2	2
274	как было	2	2
275	или о	2	2
276	оба они	3	2
277	как к	4	2
278	едва ли	3	2
279	друг друга	3	2
280	он как	4	2
281	было сказано	2	2
282	бы его	2	2
283	начала и	2	2
284	он всегда	2	2
285	из трех	3	2
286	в науке	3	2
287	от своего	2	2
288	и при	2	2
289	в основном	5	2
290	к своему	4	2
291	в чем	4	2
292	его не	2	2
293	что даже	2	2
294	по существу	4	2
295	в россии	7	2
296	так например	3	2
297	к нему	6	2
298	в г	2	2
299	жизнь в	2	2
300	те же	2	2
301	свидетельствует о	3	2
302	разного рода	8	2
303	ответ на	2	2
304	вообще в	4	2
305	не то	3	2
306	не могло	2	2
307	что с	3	2
308	пушкина и	2	2
309	как нечто	2	2
310	все это	7	2
311	свидетельствуют о	4	2
312	вовсе не	8	2
313	бы то	2	2
314	но зато	2	2
315	и и	8	2
316	по поводу	15	2
317	представление о	2	2
318	и вообще	12	2
319	не могли	2	2
320	тех же	3	2
321	том чтобы	4	2
322	к которой	2	2
323	время в	4	2
324	тем более	4	2
325	что она	2	2
326	это было	9	2
327	мысли и	5	2
328	к концу	7	2
329	в теории	2	2
330	на него	3	2
331	если бы	2	2
332	в первый	2	2
333	в меру	2	2
334	народа и	2	2
335	и вполне	4	2
336	это делает	3	2
337	чем у	2	2
338	для того	4	2
339	с этой	4	2
340	не по	2	2
341	себе и	2	2
342	одновременно с	2	2
343	отношении к	2	2
344	нас в	2	2
345	не был	6	2
346	на этот	9	2
347	у него	28	2
348	ни с	6	2
349	человека с	2	2
350	всей его	2	2
351	со своими	4	2
352	на то	7	2
353	еще более	3	2
354	под названием	5	2
355	время и	3	2
356	и с	27	2
357	и относительно	2	2
358	личности и	2	2
359	но на	3	2
360	обратить внимание	2	2
361	со своей	5	2
362	теми же	2	2
363	тем кто	2	2
364	и теперь	4	2
365	он сам	3	2
366	не знаю	2	2
367	впрочем не	5	2
368	по его	3	2
369	во всем	4	2
370	поскольку в	3	2
371	в нашем	5	2
372	этих двух	2	2
373	чтобы стать	2	2
