N	3gram	Potebnia_M	Stilisti
1	в то же	8	9
2	то же время	8	7
3	для того чтобы	5	7
4	и то же	7	5
5	с точки зрения	2	5
6	одно и то	7	5
7	заключает в себе	10	4
8	то же самое	3	4
9	одной и той	4	4
10	и той же	4	4
11	то что мы	3	4
12	в свою очередь	6	4
13	в этом случае	2	3
14	на самом деле	4	3
15	не только в	4	3
16	но и в	4	3
17	что мы называем	2	3
18	вместе с тем	5	2
19	все то что	2	2
20	мы не знаем	3	2
21	то же слово	2	2
22	только потому что	5	2
23	и как бы	2	2
24	и тем же	4	2
25	в этом отношении	2	2
26	не было бы	2	2
27	к тому что	3	2
28	можно сказать что	3	2
29	с тем и	3	2
30	по отношению к	10	2
31	смысле этого слова	9	2
32	о том что	5	2
33	не может быть	7	2
34	равно как и	2	2
